# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_5/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=1		POL=1		POL=1		POL=0		POL=5		POL=1		POL=0		POL=1		POL=0		POL=3		POL=1		POL=5	
1	2.600e+01	5.099e+00	2.190e+02	1.480e+01	1.560e+02	1.249e+01	2.090e+02	1.446e+01	1.970e+02	1.404e+01	1.750e+02	1.323e+01	1.690e+02	1.300e+01	2.960e+02	1.720e+01	2.280e+02	1.510e+01	2.200e+02	1.483e+01	1.970e+02	1.404e+01	2.100e+02	1.449e+01
2	2.100e+01	4.583e+00	2.180e+02	1.476e+01	1.830e+02	1.353e+01	2.440e+02	1.562e+01	2.050e+02	1.432e+01	1.810e+02	1.345e+01	1.530e+02	1.237e+01	3.030e+02	1.741e+01	2.650e+02	1.628e+01	2.520e+02	1.587e+01	1.990e+02	1.411e+01	2.680e+02	1.637e+01
3	2.100e+01	4.583e+00	2.140e+02	1.463e+01	1.520e+02	1.233e+01	2.150e+02	1.466e+01	2.500e+02	1.581e+01	1.850e+02	1.360e+01	1.440e+02	1.200e+01	2.970e+02	1.723e+01	2.750e+02	1.658e+01	2.590e+02	1.609e+01	1.910e+02	1.382e+01	2.440e+02	1.562e+01
4	1.800e+01	4.243e+00	2.140e+02	1.463e+01	1.850e+02	1.360e+01	2.300e+02	1.517e+01	2.310e+02	1.520e+01	2.010e+02	1.418e+01	1.940e+02	1.393e+01	2.790e+02	1.670e+01	2.780e+02	1.667e+01	2.270e+02	1.507e+01	1.900e+02	1.378e+01	2.530e+02	1.591e+01
5	1.200e+01	3.464e+00	1.770e+02	1.330e+01	1.520e+02	1.233e+01	2.820e+02	1.679e+01	2.290e+02	1.513e+01	1.990e+02	1.411e+01	1.670e+02	1.292e+01	3.070e+02	1.752e+01	2.450e+02	1.565e+01	2.560e+02	1.600e+01	1.750e+02	1.323e+01	2.840e+02	1.685e+01
6	1.700e+01	4.123e+00	1.970e+02	1.404e+01	1.760e+02	1.327e+01	2.670e+02	1.634e+01	2.300e+02	1.517e+01	1.900e+02	1.378e+01	1.560e+02	1.249e+01	3.170e+02	1.780e+01	2.630e+02	1.622e+01	2.170e+02	1.473e+01	2.000e+02	1.414e+01	2.400e+02	1.549e+01
7	1.800e+01	4.243e+00	1.910e+02	1.382e+01	1.480e+02	1.217e+01	2.340e+02	1.530e+01	1.900e+02	1.378e+01	1.760e+02	1.327e+01	1.720e+02	1.311e+01	3.030e+02	1.741e+01	2.180e+02	1.476e+01	2.740e+02	1.655e+01	1.830e+02	1.353e+01	2.490e+02	1.578e+01
8	1.600e+01	4.000e+00	1.990e+02	1.411e+01	1.570e+02	1.253e+01	2.350e+02	1.533e+01	1.990e+02	1.411e+01	1.840e+02	1.356e+01	1.650e+02	1.285e+01	2.660e+02	1.631e+01	2.350e+02	1.533e+01	2.180e+02	1.476e+01	1.650e+02	1.285e+01	2.150e+02	1.466e+01
9	1.400e+01	3.742e+00	1.800e+02	1.342e+01	1.660e+02	1.288e+01	2.010e+02	1.418e+01	1.720e+02	1.311e+01	1.740e+02	1.319e+01	1.600e+02	1.265e+01	2.500e+02	1.581e+01	2.280e+02	1.510e+01	2.210e+02	1.487e+01	1.590e+02	1.261e+01	2.180e+02	1.476e+01
10	1.200e+01	3.464e+00	1.770e+02	1.330e+01	1.370e+02	1.170e+01	2.280e+02	1.510e+01	1.920e+02	1.386e+01	1.810e+02	1.345e+01	1.560e+02	1.249e+01	2.530e+02	1.591e+01	2.480e+02	1.575e+01	2.340e+02	1.530e+01	1.610e+02	1.269e+01	2.220e+02	1.490e+01
