# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.307e+00	5.158e-01	1.458e+00	5.553e-01	1.251e+00	4.318e-01	1.000e+00	2.844e-01	1.246e+00	3.479e-01	1.544e+00	7.782e-01	3.300e-01	4.675e-01	7.219e-01	2.485e-01	8.529e-01	4.283e-01	1.150e+00	2.269e-01	9.818e-01	2.358e-01	4.878e-01	3.993e-01	8.803e-01	3.954e-01	1.113e+00	3.632e-01	1.255e+00	7.293e-01	1.029e+00	2.765e-01	1.587e+00	1.306e+00	1.257e+00	2.903e-01	7.692e-01	4.458e-01	1.481e+00	4.400e-01	1.297e+00	3.694e-01	1.249e+00	3.880e-01	1.196e+00	4.719e-01	1.647e+00	8.877e-01	2.342e-01	3.316e-01	6.579e-01	3.811e-01	1.100e+00	3.498e-01	9.434e-01	4.239e-01	1.012e+00	4.550e-01	8.861e-01	2.422e-01	1.278e+00	3.970e-01	1.376e+00	4.619e-01	1.339e+00	2.643e-01	1.182e+00	5.318e-01	7.704e-01	2.446e-01	1.342e+00	3.746e-01	1.107e+00	1.607e-01
2	1.593e+00	5.209e-01	1.490e+00	5.149e-01	7.602e-01	3.254e-01	8.547e-01	2.428e-01	1.117e+00	2.949e-01	1.214e+00	4.318e-01	3.390e-01	4.802e-01	9.766e-01	2.534e-01	6.993e-01	3.751e-01	1.271e+00	2.335e-01	1.347e+00	2.660e-01	7.194e-01	5.105e-01	1.139e+00	4.495e-01	1.023e+00	3.888e-01	1.190e+00	6.914e-01	1.173e+00	2.575e-01	1.020e+00	1.026e+00	8.048e-01	2.020e-01	7.812e-01	3.922e-01	8.301e-01	3.044e-01	9.376e-01	2.778e-01	1.020e+00	3.023e-01	1.810e+00	5.273e-01	1.299e+00	6.987e-01	1.006e+00	6.395e-01	1.654e+00	5.561e-01	1.179e+00	3.227e-01	7.647e-01	3.618e-01	1.157e+00	5.206e-01	1.106e+00	2.922e-01	1.025e+00	3.533e-01	9.266e-01	3.651e-01	1.062e+00	2.388e-01	3.359e-01	2.748e-01	8.496e-01	2.516e-01	8.460e-01	2.687e-01	9.721e-01	1.323e-01
3	9.637e-01	3.798e-01	1.550e+00	5.357e-01	9.467e-01	3.363e-01	1.174e+00	2.608e-01	6.307e-01	2.109e-01	1.058e+00	3.138e-01	3.717e-01	5.267e-01	1.428e+00	2.935e-01	1.380e+00	5.926e-01	9.330e-01	1.976e-01	9.014e-01	2.134e-01	1.684e+00	7.593e-01	3.914e-01	2.773e-01	9.449e-01	3.876e-01	1.894e+00	8.551e-01	9.948e-01	2.182e-01	2.326e+00	1.488e+00	1.019e+00	2.113e-01	1.280e+00	4.295e-01	9.320e-01	2.961e-01	1.012e+00	2.822e-01	1.021e+00	2.902e-01	1.100e+00	3.795e-01	1.840e+00	7.584e-01	8.929e-01	6.342e-01	1.449e+00	4.866e-01	1.132e+00	2.891e-01	8.166e-01	3.496e-01	1.013e+00	5.089e-01	1.016e+00	2.948e-01	1.093e+00	3.770e-01	1.157e+00	4.248e-01	1.000e+00	2.513e-01	1.284e+00	6.091e-01	1.205e+00	3.499e-01	7.994e-01	2.477e-01	1.029e+00	1.303e-01
4	1.133e+00	3.907e-01	1.084e+00	4.118e-01	1.296e+00	3.765e-01	1.064e+00	2.392e-01	1.032e+00	2.592e-01	1.032e+00	2.994e-01	1.408e+00	1.003e+00	1.171e+00	2.511e-01	1.235e+00	5.856e-01	1.463e+00	2.439e-01	1.340e+00	2.505e-01	1.053e+00	5.656e-01	9.479e-01	4.762e-01	1.367e+00	5.027e-01	6.734e-01	4.778e-01	1.057e+00	2.104e-01	5.128e-01	7.271e-01	1.236e+00	2.182e-01	1.030e+00	3.550e-01	1.100e+00	3.010e-01	9.973e-01	2.588e-01	1.283e+00	3.132e-01	8.881e-01	3.257e-01	1.258e+00	6.329e-01	1.109e+00	7.051e-01	1.142e+00	4.341e-01	9.151e-01	2.414e-01	1.158e+00	4.254e-01	1.574e+00	6.764e-01	1.096e+00	3.057e-01	1.512e+00	4.493e-01	9.574e-01	4.102e-01	1.028e+00	2.714e-01	1.823e+00	6.954e-01	8.283e-01	3.037e-01	9.619e-01	2.538e-01	1.075e+00	1.321e-01
5	1.379e+00	4.285e-01	1.116e+00	4.243e-01	1.146e+00	3.328e-01	8.679e-01	2.027e-01	9.646e-01	2.386e-01	1.236e+00	3.063e-01	3.690e-01	5.228e-01	1.076e+00	2.306e-01	1.316e+00	5.923e-01	9.061e-01	1.941e-01	1.277e+00	2.367e-01	1.329e+00	6.689e-01	1.157e+00	5.206e-01	1.065e+00	4.199e-01	7.143e-01	5.069e-01	1.053e+00	1.966e-01	4.525e-01	6.414e-01	1.302e+00	2.099e-01	1.402e+00	3.707e-01	8.904e-01	2.638e-01	7.959e-01	2.136e-01	1.567e+00	3.293e-01	1.299e+00	3.697e-01	8.696e-01	5.042e-01	1.397e+00	7.521e-01	9.665e-01	3.810e-01	7.582e-01	2.071e-01	8.000e-01	3.425e-01	1.280e+00	6.074e-01	8.257e-01	2.764e-01	8.442e-01	3.615e-01	8.950e-01	3.834e-01	1.305e+00	3.393e-01	1.460e+00	6.004e-01	1.200e+00	4.140e-01	1.009e+00	2.535e-01	1.000e+00	1.298e-01
6	9.674e-01	3.437e-01	1.180e+00	4.197e-01	1.450e+00	3.444e-01	1.240e+00	2.317e-01	8.483e-01	2.066e-01	1.220e+00	2.894e-01	1.017e+00	8.346e-01	9.201e-01	1.971e-01	1.326e+00	5.971e-01	1.128e+00	2.124e-01	9.174e-01	1.862e-01	4.878e-01	3.993e-01	4.454e-01	3.157e-01	1.246e+00	4.433e-01	3.289e-01	3.295e-01	1.145e+00	2.005e-01	6.135e-01	8.703e-01	1.117e+00	1.834e-01	1.173e+00	3.152e-01	9.292e-01	2.589e-01	9.866e-01	2.245e-01	1.010e+00	2.393e-01	1.053e+00	3.191e-01	1.550e+00	6.379e-01	4.032e-01	4.040e-01	7.267e-01	3.262e-01	1.355e+00	2.626e-01	4.670e-01	2.502e-01	1.341e+00	6.366e-01	1.047e+00	3.103e-01	8.696e-01	3.566e-01	1.246e+00	4.737e-01	1.036e+00	3.139e-01	1.515e+00	5.771e-01	1.240e+00	4.280e-01	1.302e+00	2.762e-01	1.070e+00	1.335e-01
7	1.173e+00	3.479e-01	1.438e+00	4.700e-01	9.736e-01	2.615e-01	1.102e+00	2.057e-01	1.102e+00	2.238e-01	1.192e+00	2.715e-01	8.547e-01	8.584e-01	1.254e+00	2.232e-01	1.528e+00	6.038e-01	1.313e+00	2.204e-01	1.033e+00	1.849e-01	1.572e+00	7.088e-01	1.158e+00	5.492e-01	1.239e+00	4.551e-01	1.230e+00	6.617e-01	1.008e+00	1.806e-01	5.291e-01	7.502e-01	1.046e+00	1.717e-01	9.036e-01	2.620e-01	1.264e+00	2.881e-01	1.152e+00	2.294e-01	1.064e+00	2.421e-01	1.218e+00	3.113e-01	9.009e-01	4.837e-01	1.310e+00	7.614e-01	1.247e+00	4.305e-01	9.618e-01	2.084e-01	1.066e+00	3.675e-01	7.541e-01	4.788e-01	1.274e+00	3.426e-01	1.211e+00	4.448e-01	9.360e-01	3.839e-01	1.134e+00	3.439e-01	9.653e-01	4.338e-01	9.449e-01	3.876e-01	9.267e-01	2.225e-01	1.147e+00	1.421e-01
8	1.085e+00	3.218e-01	8.910e-01	3.511e-01	1.131e+00	2.542e-01	1.120e+00	1.992e-01	1.093e+00	2.135e-01	9.068e-01	2.243e-01	7.576e-01	7.605e-01	9.426e-01	1.840e-01	1.096e+00	4.931e-01	7.852e-01	1.662e-01	1.017e+00	1.691e-01	1.395e+00	6.624e-01	8.295e-01	3.927e-01	9.144e-01	3.917e-01	1.131e+00	6.079e-01	9.263e-01	1.658e-01	9.804e-01	9.852e-01	1.021e+00	1.593e-01	9.314e-01	2.547e-01	1.192e+00	2.909e-01	9.320e-01	1.932e-01	9.930e-01	2.232e-01	1.111e+00	2.752e-01	5.501e-01	3.488e-01	1.200e+00	6.970e-01	1.194e+00	4.247e-01	8.146e-01	1.807e-01	8.790e-01	3.463e-01	1.173e+00	5.900e-01	9.836e-01	3.051e-01	1.538e+00	4.903e-01	7.004e-01	3.313e-01	1.431e+00	3.854e-01	1.475e+00	5.426e-01	1.632e+00	4.961e-01	1.060e+00	2.353e-01	1.076e+00	1.414e-01
9	1.167e+00	3.256e-01	1.252e+00	4.199e-01	9.422e-01	2.201e-01	1.196e+00	1.992e-01	8.316e-01	1.801e-01	9.886e-01	2.222e-01	6.667e-01	6.689e-01	1.035e+00	1.869e-01	1.075e+00	4.835e-01	1.034e+00	1.898e-01	9.996e-01	1.619e-01	7.752e-01	4.922e-01	1.263e+00	5.190e-01	1.190e+00	4.527e-01	1.355e+00	6.101e-01	1.037e+00	1.648e-01	1.224e+00	1.006e+00	8.976e-01	1.435e-01	1.202e+00	2.811e-01	1.219e+00	2.932e-01	1.013e+00	1.925e-01	8.672e-01	1.972e-01	1.115e+00	2.606e-01	1.260e+00	5.407e-01	1.682e+00	7.998e-01	1.567e+00	4.762e-01	8.435e-01	1.711e-01	1.009e+00	3.702e-01	1.235e+00	6.211e-01	8.975e-01	2.925e-01	1.190e+00	4.370e-01	1.611e+00	4.896e-01	1.077e+00	3.266e-01	9.507e-01	4.073e-01	7.530e-01	3.380e-01	1.149e+00	2.411e-01	1.087e+00	1.474e-01
10	8.340e-01	2.648e-01	1.195e+00	4.122e-01	8.938e-01	1.983e-01	1.091e+00	1.804e-01	1.284e+00	2.110e-01	1.026e+00	2.127e-01	1.277e+00	1.049e+00	9.349e-01	1.674e-01	1.237e+00	5.082e-01	1.422e+00	2.159e-01	9.816e-01	1.513e-01	1.333e+00	6.712e-01	1.420e+00	5.405e-01	1.918e+00	5.712e-01	1.091e+00	5.171e-01	1.159e+00	1.665e-01	9.174e-01	9.217e-01	1.028e+00	1.461e-01	8.219e-01	2.382e-01	1.513e+00	3.144e-01	1.171e+00	1.991e-01	1.148e+00	2.243e-01	1.182e+00	2.507e-01	1.112e+00	5.274e-01	1.083e+00	6.287e-01	9.284e-01	3.525e-01	9.201e-01	1.731e-01	1.529e+00	4.358e-01	1.609e+00	6.620e-01	1.136e+00	3.299e-01	1.337e+00	4.488e-01	1.565e+00	4.755e-01	1.297e+00	3.490e-01	1.172e+00	4.625e-01	9.886e-01	3.897e-01	1.120e+00	2.323e-01	1.013e+00	1.447e-01
