# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	3.255e-01	7.901e-02	5.076e-01	2.167e-01	4.128e-01	9.481e-02	4.234e-01	7.612e-02	4.586e-01	7.259e-02	0.000e+00	0.000e+00	3.155e-01	1.997e-01	3.157e-01	5.720e-02	5.576e-01	1.723e-01	3.135e-01	5.124e-02	3.484e-01	5.413e-02	3.657e-01	1.726e-01	3.686e-01	1.088e-01	3.656e-01	7.892e-02	4.184e-01	2.094e-01	3.553e-01	5.520e-02	3.327e-01	2.106e-01	2.918e-01	4.801e-02	2.096e-01	1.211e-01	3.703e-01	7.727e-02	3.657e-01	6.917e-02	3.308e-01	8.409e-02	3.525e-01	9.110e-02	4.482e-01	2.115e-01	2.837e-01	2.839e-01	6.652e-01	2.056e-01	3.146e-01	5.950e-02	2.680e-01	1.696e-01	2.418e-01	1.530e-01	4.501e-01	1.250e-01	3.324e-01	1.488e-01	3.908e-01	1.749e-01	3.846e-01	1.029e-01	2.838e-01	2.319e-01	4.305e-01	1.437e-01	3.732e-01	7.189e-02	4.410e-01	6.509e-02
2	3.085e-01	6.992e-02	2.060e-01	1.457e-01	4.353e-01	9.509e-02	3.203e-01	6.169e-02	3.497e-01	5.793e-02	4.043e-01	3.305e-01	5.232e-01	2.800e-01	4.004e-01	5.612e-02	4.161e-01	1.521e-01	3.965e-01	5.884e-02	3.777e-01	5.097e-02	2.371e-01	1.500e-01	3.210e-01	1.071e-01	4.595e-01	1.055e-01	4.520e-01	2.262e-01	3.643e-01	5.319e-02	1.486e-01	1.486e-01	4.196e-01	5.003e-02	4.482e-01	1.638e-01	4.475e-01	8.543e-02	4.288e-01	6.585e-02	2.830e-01	6.255e-02	3.473e-01	9.129e-02	1.369e-01	1.118e-01	4.934e-01	4.034e-01	3.697e-01	1.511e-01	3.746e-01	5.653e-02	2.192e-01	1.551e-01	2.776e-01	1.964e-01	2.762e-01	1.129e-01	5.248e-01	2.061e-01	5.577e-01	2.191e-01	3.215e-01	9.701e-02	5.894e-01	3.408e-01	4.669e-01	1.442e-01	3.731e-01	7.122e-02	3.407e-01	5.326e-02
3	3.253e-01	7.372e-02	4.249e-01	2.127e-01	4.839e-01	1.021e-01	3.456e-01	6.316e-02	4.283e-01	6.465e-02	8.072e-01	3.813e-01	1.622e-01	1.623e-01	3.360e-01	5.158e-02	4.243e-01	1.666e-01	3.463e-01	5.698e-02	4.964e-01	5.919e-02	1.074e-01	1.074e-01	3.140e-01	1.111e-01	3.829e-01	1.043e-01	4.397e-01	2.353e-01	4.630e-01	5.794e-02	0.000e+00	0.000e+00	3.765e-01	4.457e-02	4.181e-01	1.528e-01	3.426e-01	7.867e-02	3.542e-01	6.125e-02	3.064e-01	6.393e-02	4.591e-01	1.069e-01	3.365e-01	1.800e-01	1.712e-01	2.423e-01	2.830e-01	1.335e-01	3.419e-01	5.410e-02	2.382e-01	1.686e-01	1.621e-01	1.621e-01	4.344e-01	1.492e-01	3.208e-01	1.716e-01	4.513e-01	2.020e-01	3.409e-01	1.079e-01	3.693e-01	2.614e-01	3.832e-01	1.401e-01	3.984e-01	7.281e-02	4.147e-01	5.649e-02
4	4.331e-01	8.759e-02	3.233e-01	1.868e-01	3.932e-01	9.277e-02	4.005e-01	7.033e-02	4.326e-01	6.722e-02	1.646e-01	1.647e-01	7.640e-01	3.608e-01	4.364e-01	5.918e-02	3.594e-01	1.534e-01	3.888e-01	6.192e-02	3.891e-01	5.276e-02	2.753e-01	1.743e-01	3.544e-01	1.254e-01	3.369e-01	1.017e-01	3.509e-01	2.221e-01	3.816e-01	5.222e-02	9.346e-02	1.322e-01	2.889e-01	3.953e-02	4.979e-01	1.617e-01	3.588e-01	8.238e-02	4.091e-01	6.643e-02	4.337e-01	7.736e-02	3.132e-01	9.048e-02	4.453e-01	2.102e-01	0.000e+00	0.000e+00	3.449e-01	1.544e-01	4.175e-01	6.129e-02	1.161e-01	1.161e-01	2.809e-01	2.295e-01	3.900e-01	1.426e-01	2.867e-01	1.656e-01	5.834e-01	2.385e-01	2.287e-01	9.344e-02	3.704e-01	2.621e-01	3.903e-01	1.532e-01	5.073e-01	8.240e-02	3.099e-01	4.934e-02
5	3.599e-01	8.374e-02	3.390e-01	1.959e-01	3.262e-01	8.575e-02	3.807e-01	6.900e-02	4.677e-01	7.141e-02	6.481e-01	3.470e-01	2.669e-01	2.181e-01	4.203e-01	5.806e-02	5.203e-01	1.902e-01	3.810e-01	6.400e-02	4.359e-01	5.611e-02	4.805e-01	2.405e-01	3.135e-01	1.186e-01	3.145e-01	1.021e-01	4.277e-01	2.472e-01	3.078e-01	4.698e-02	9.681e-02	1.369e-01	3.275e-01	4.267e-02	3.868e-01	1.369e-01	2.970e-01	8.090e-02	4.151e-01	6.742e-02	3.768e-01	7.258e-02	3.960e-01	1.041e-01	3.992e-01	1.998e-01	1.946e-01	2.753e-01	4.559e-01	1.863e-01	3.682e-01	5.864e-02	3.650e-01	2.109e-01	3.268e-01	2.670e-01	4.755e-01	1.633e-01	4.543e-01	2.144e-01	5.609e-01	2.395e-01	4.717e-01	1.493e-01	5.747e-01	3.076e-01	3.988e-01	1.702e-01	3.338e-01	6.891e-02	2.903e-01	4.875e-02
6	4.635e-01	9.892e-02	5.900e-01	2.642e-01	4.861e-01	1.062e-01	3.727e-01	6.926e-02	4.714e-01	7.326e-02	4.129e-01	2.614e-01	6.757e-01	3.618e-01	4.104e-01	5.810e-02	4.257e-01	1.740e-01	4.602e-01	7.285e-02	3.327e-01	4.992e-02	3.151e-01	1.994e-01	5.652e-01	1.669e-01	5.246e-01	1.356e-01	4.612e-01	2.666e-01	3.992e-01	5.489e-02	9.872e-02	1.396e-01	4.161e-01	4.943e-02	4.028e-01	1.383e-01	3.488e-01	9.013e-02	3.377e-01	6.070e-02	3.773e-01	7.406e-02	4.652e-01	1.147e-01	5.867e-01	2.505e-01	0.000e+00	0.000e+00	3.568e-01	1.786e-01	4.202e-01	6.379e-02	2.681e-01	1.897e-01	0.000e+00	0.000e+00	3.695e-01	1.510e-01	3.339e-01	1.929e-01	3.277e-01	1.893e-01	3.713e-01	1.458e-01	3.147e-01	2.227e-01	4.023e-01	1.801e-01	4.209e-01	7.892e-02	3.454e-01	5.433e-02
7	3.053e-01	8.023e-02	1.913e-01	1.563e-01	3.813e-01	9.396e-02	3.744e-01	7.082e-02	4.554e-01	7.348e-02	7.353e-01	3.473e-01	3.027e-01	2.474e-01	3.303e-01	5.259e-02	4.522e-01	1.776e-01	3.346e-01	6.274e-02	3.171e-01	4.868e-02	6.373e-01	2.855e-01	2.649e-01	1.185e-01	3.631e-01	1.149e-01	6.601e-01	3.306e-01	3.840e-01	5.490e-02	6.459e-01	3.735e-01	3.549e-01	4.684e-02	4.843e-01	1.573e-01	4.312e-01	1.032e-01	3.641e-01	6.441e-02	3.713e-01	7.432e-02	4.183e-01	1.100e-01	3.256e-01	1.881e-01	5.671e-01	4.637e-01	3.441e-01	1.841e-01	4.195e-01	6.480e-02	2.965e-01	2.098e-01	1.529e-01	2.163e-01	4.260e-01	1.612e-01	4.437e-01	2.221e-01	2.755e-01	1.744e-01	2.218e-01	1.186e-01	1.442e-01	1.442e-01	2.049e-01	1.297e-01	5.345e-01	9.047e-02	4.018e-01	6.098e-02
8	2.832e-01	8.180e-02	3.151e-01	1.994e-01	5.174e-01	1.092e-01	4.684e-01	8.103e-02	3.625e-01	6.681e-02	1.786e-01	1.787e-01	3.215e-01	2.628e-01	4.387e-01	6.119e-02	5.544e-01	1.963e-01	3.624e-01	6.678e-02	4.260e-01	5.699e-02	3.446e-01	2.181e-01	2.657e-01	1.189e-01	4.898e-01	1.387e-01	5.208e-01	3.011e-01	4.080e-01	5.834e-02	3.181e-01	2.600e-01	3.405e-01	4.617e-02	4.384e-01	1.505e-01	3.256e-01	9.406e-02	3.256e-01	6.214e-02	3.867e-01	7.666e-02	3.854e-01	1.050e-01	2.274e-01	1.609e-01	0.000e+00	0.000e+00	3.284e-01	1.898e-01	4.029e-01	6.543e-02	3.779e-01	2.392e-01	1.536e-01	2.173e-01	3.151e-01	1.410e-01	3.073e-01	1.945e-01	1.758e-01	1.436e-01	3.436e-01	1.538e-01	3.774e-01	2.389e-01	2.957e-01	1.582e-01	3.839e-01	8.012e-02	3.823e-01	6.208e-02
9	3.747e-01	9.526e-02	3.119e-01	1.974e-01	4.552e-01	1.019e-01	2.864e-01	6.329e-02	3.429e-01	6.667e-02	1.603e-01	1.603e-01	2.203e-01	2.204e-01	4.199e-01	6.035e-02	5.413e-01	1.979e-01	3.629e-01	6.865e-02	3.459e-01	5.220e-02	5.461e-01	2.734e-01	4.680e-01	1.656e-01	3.484e-01	1.196e-01	4.677e-01	2.703e-01	4.654e-01	6.312e-02	4.246e-01	3.006e-01	4.178e-01	5.248e-02	2.924e-01	1.248e-01	2.628e-01	8.766e-02	4.177e-01	7.067e-02	4.116e-01	8.003e-02	4.642e-01	1.180e-01	3.771e-01	2.179e-01	3.759e-01	3.763e-01	4.574e-01	2.290e-01	3.650e-01	6.220e-02	5.978e-01	3.200e-01	3.279e-01	3.281e-01	5.324e-01	1.885e-01	3.019e-01	1.911e-01	5.028e-01	2.373e-01	2.893e-01	1.448e-01	2.362e-01	1.930e-01	5.252e-01	2.147e-01	3.856e-01	8.230e-02	3.269e-01	5.924e-02
10	4.172e-01	1.028e-01	2.618e-01	1.852e-01	4.054e-01	9.843e-02	3.924e-01	7.490e-02	3.645e-01	6.895e-02	5.540e-01	3.203e-01	2.288e-01	2.290e-01	4.697e-01	6.400e-02	5.078e-01	1.922e-01	4.770e-01	8.016e-02	4.682e-01	6.155e-02	3.621e-01	2.292e-01	6.133e-01	1.896e-01	3.593e-01	1.234e-01	2.616e-01	2.137e-01	3.623e-01	5.629e-02	3.279e-01	2.679e-01	3.276e-01	4.708e-02	3.029e-01	1.292e-01	3.355e-01	1.012e-01	4.031e-01	7.078e-02	4.428e-01	8.531e-02	2.304e-01	8.152e-02	3.979e-01	2.299e-01	1.923e-01	2.721e-01	6.017e-01	2.695e-01	4.342e-01	6.916e-02	3.697e-01	2.616e-01	5.376e-01	4.396e-01	3.837e-01	1.638e-01	1.316e-01	1.316e-01	2.885e-01	1.826e-01	4.192e-01	1.789e-01	2.295e-01	1.875e-01	4.207e-01	1.883e-01	4.639e-01	9.197e-02	2.934e-01	5.814e-02
