# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=1		POL=1		POL=4		POL=4		POL=3		POL=3		POL=5		POL=2		POL=0		POL=1		POL=4		POL=3		POL=2		POL=2		POL=1		POL=4		POL=2		POL=2		POL=5		POL=2		POL=5		POL=2		POL=3		POL=1		POL=4		POL=1		POL=2		POL=1		POL=5		POL=1		POL=3		POL=4		POL=2		POL=2		POL=4		POL=1		POL=2	
1	2.200e+02	1.483e+01	9.400e+01	9.695e+00	2.300e+02	1.517e+01	3.380e+02	1.838e+01	3.680e+02	1.918e+01	2.150e+02	1.466e+01	3.000e+01	5.477e+00	4.160e+02	2.040e+01	1.140e+02	1.068e+01	4.940e+02	2.223e+01	6.270e+02	2.504e+01	6.200e+01	7.874e+00	1.360e+02	1.166e+01	1.250e+02	1.118e+01	4.500e+01	6.708e+00	3.700e+02	1.924e+01	1.200e+01	3.464e+00	7.250e+02	2.693e+01	1.030e+02	1.015e+01	1.490e+02	1.221e+01	3.230e+02	1.797e+01	3.100e+02	1.761e+01	1.250e+02	1.118e+01	3.300e+01	5.745e+00	4.100e+01	6.403e+00	1.060e+02	1.030e+01	3.430e+02	1.852e+01	7.400e+01	8.602e+00	5.600e+01	7.483e+00	1.920e+02	1.386e+01	1.330e+02	1.153e+01	8.900e+01	9.434e+00	2.070e+02	1.439e+01	5.000e+01	7.071e+00	1.210e+02	1.100e+01	2.210e+02	1.487e+01	5.560e+02	2.358e+01
2	1.540e+02	1.241e+01	6.600e+01	8.124e+00	2.280e+02	1.510e+01	3.210e+02	1.792e+01	3.390e+02	1.841e+01	2.150e+02	1.466e+01	1.400e+01	3.742e+00	4.270e+02	2.066e+01	9.700e+01	9.849e+00	3.820e+02	1.954e+01	5.460e+02	2.337e+01	5.500e+01	7.416e+00	9.300e+01	9.644e+00	6.500e+01	8.062e+00	3.000e+01	5.477e+00	3.750e+02	1.936e+01	1.200e+01	3.464e+00	7.180e+02	2.680e+01	8.700e+01	9.327e+00	1.020e+02	1.010e+01	2.830e+02	1.682e+01	2.560e+02	1.600e+01	1.220e+02	1.105e+01	3.700e+01	6.083e+00	2.100e+01	4.583e+00	8.500e+01	9.220e+00	3.180e+02	1.783e+01	8.200e+01	9.055e+00	4.000e+01	6.325e+00	1.230e+02	1.109e+01	9.200e+01	9.592e+00	7.700e+01	8.775e+00	1.540e+02	1.241e+01	5.400e+01	7.348e+00	1.040e+02	1.020e+01	2.170e+02	1.473e+01	5.920e+02	2.433e+01
3	1.650e+02	1.285e+01	5.700e+01	7.550e+00	2.140e+02	1.463e+01	3.360e+02	1.833e+01	3.320e+02	1.822e+01	1.930e+02	1.389e+01	1.500e+01	3.873e+00	4.320e+02	2.078e+01	7.000e+01	8.367e+00	3.550e+02	1.884e+01	5.750e+02	2.398e+01	5.200e+01	7.211e+00	1.110e+02	1.054e+01	6.900e+01	8.307e+00	3.600e+01	6.000e+00	5.200e+02	2.280e+01	6.000e+00	2.449e+00	6.850e+02	2.617e+01	7.300e+01	8.544e+00	1.130e+02	1.063e+01	2.920e+02	1.709e+01	2.730e+02	1.652e+01	1.120e+02	1.058e+01	3.200e+01	5.657e+00	2.000e+01	4.472e+00	6.800e+01	8.246e+00	2.990e+02	1.729e+01	7.400e+01	8.602e+00	5.200e+01	7.211e+00	9.900e+01	9.950e+00	8.100e+01	9.000e+00	6.600e+01	8.124e+00	1.230e+02	1.109e+01	5.300e+01	7.280e+00	7.900e+01	8.888e+00	1.970e+02	1.404e+01	6.690e+02	2.587e+01
4	1.600e+02	1.265e+01	6.500e+01	8.062e+00	2.570e+02	1.603e+01	3.550e+02	1.884e+01	3.460e+02	1.860e+01	1.900e+02	1.378e+01	1.900e+01	4.359e+00	4.290e+02	2.071e+01	5.700e+01	7.550e+00	3.700e+02	1.924e+01	5.670e+02	2.381e+01	4.900e+01	7.000e+00	8.700e+01	9.327e+00	5.100e+01	7.141e+00	3.500e+01	5.916e+00	5.370e+02	2.317e+01	1.300e+01	3.606e+00	6.950e+02	2.636e+01	9.900e+01	9.950e+00	1.210e+02	1.100e+01	2.970e+02	1.723e+01	2.670e+02	1.634e+01	1.470e+02	1.212e+01	3.600e+01	6.000e+00	2.600e+01	5.099e+00	7.900e+01	8.888e+00	2.980e+02	1.726e+01	9.400e+01	9.695e+00	3.400e+01	5.831e+00	1.160e+02	1.077e+01	5.900e+01	7.681e+00	6.100e+01	7.810e+00	8.700e+01	9.327e+00	6.500e+01	8.062e+00	6.000e+01	7.746e+00	2.490e+02	1.578e+01	7.380e+02	2.717e+01
5	1.610e+02	1.269e+01	6.700e+01	8.185e+00	2.400e+02	1.549e+01	3.560e+02	1.887e+01	3.460e+02	1.860e+01	2.060e+02	1.435e+01	7.000e+00	2.646e+00	4.660e+02	2.159e+01	7.300e+01	8.544e+00	3.660e+02	1.913e+01	6.380e+02	2.526e+01	5.300e+01	7.280e+00	7.700e+01	8.775e+00	6.100e+01	7.810e+00	3.600e+01	6.000e+00	6.120e+02	2.474e+01	8.000e+00	2.828e+00	7.180e+02	2.680e+01	1.200e+02	1.095e+01	1.370e+02	1.170e+01	3.630e+02	1.905e+01	3.020e+02	1.738e+01	1.680e+02	1.296e+01	5.400e+01	7.348e+00	3.000e+01	5.477e+00	1.140e+02	1.068e+01	3.520e+02	1.876e+01	7.500e+01	8.660e+00	3.300e+01	5.745e+00	9.000e+01	9.487e+00	7.300e+01	8.544e+00	6.000e+01	7.746e+00	1.020e+02	1.010e+01	6.300e+01	7.937e+00	4.400e+01	6.633e+00	2.710e+02	1.646e+01	7.510e+02	2.740e+01
6	1.770e+02	1.330e+01	9.400e+01	9.695e+00	2.950e+02	1.718e+01	3.940e+02	1.985e+01	4.060e+02	2.015e+01	1.950e+02	1.396e+01	1.400e+01	3.742e+00	4.900e+02	2.214e+01	7.600e+01	8.718e+00	3.620e+02	1.903e+01	6.590e+02	2.567e+01	5.600e+01	7.483e+00	7.700e+01	8.775e+00	4.000e+01	6.325e+00	3.800e+01	6.164e+00	6.680e+02	2.585e+01	5.000e+00	2.236e+00	7.260e+02	2.694e+01	1.620e+02	1.273e+01	1.280e+02	1.131e+01	3.550e+02	1.884e+01	2.960e+02	1.720e+01	1.600e+02	1.265e+01	3.600e+01	6.000e+00	3.100e+01	5.568e+00	1.010e+02	1.005e+01	3.640e+02	1.908e+01	9.000e+01	9.487e+00	4.200e+01	6.481e+00	9.900e+01	9.950e+00	6.800e+01	8.246e+00	4.300e+01	6.557e+00	1.040e+02	1.020e+01	5.700e+01	7.550e+00	5.600e+01	7.483e+00	2.580e+02	1.606e+01	7.550e+02	2.748e+01
7	2.060e+02	1.435e+01	7.200e+01	8.485e+00	3.140e+02	1.772e+01	4.020e+02	2.005e+01	4.030e+02	2.007e+01	2.580e+02	1.606e+01	1.000e+01	3.162e+00	5.120e+02	2.263e+01	7.900e+01	8.888e+00	4.120e+02	2.030e+01	7.170e+02	2.678e+01	4.600e+01	6.782e+00	8.400e+01	9.165e+00	5.900e+01	7.681e+00	3.400e+01	5.831e+00	6.630e+02	2.575e+01	7.000e+00	2.646e+00	7.280e+02	2.698e+01	1.560e+02	1.249e+01	1.490e+02	1.221e+01	4.000e+02	2.000e+01	3.220e+02	1.794e+01	1.680e+02	1.296e+01	3.700e+01	6.083e+00	2.900e+01	5.385e+00	8.500e+01	9.220e+00	3.740e+02	1.934e+01	8.100e+01	9.000e+00	3.800e+01	6.164e+00	1.050e+02	1.025e+01	7.100e+01	8.426e+00	5.100e+01	7.141e+00	9.900e+01	9.950e+00	6.600e+01	8.124e+00	6.100e+01	7.810e+00	2.840e+02	1.685e+01	7.810e+02	2.795e+01
8	1.820e+02	1.349e+01	8.600e+01	9.274e+00	3.550e+02	1.884e+01	4.050e+02	2.012e+01	4.220e+02	2.054e+01	3.130e+02	1.769e+01	1.000e+01	3.162e+00	5.210e+02	2.283e+01	9.100e+01	9.539e+00	4.220e+02	2.054e+01	7.810e+02	2.795e+01	6.100e+01	7.810e+00	1.110e+02	1.054e+01	4.900e+01	7.000e+00	4.600e+01	6.782e+00	6.940e+02	2.634e+01	4.000e+00	2.000e+00	8.340e+02	2.888e+01	2.090e+02	1.446e+01	1.510e+02	1.229e+01	4.100e+02	2.025e+01	3.220e+02	1.794e+01	2.080e+02	1.442e+01	4.500e+01	6.708e+00	4.400e+01	6.633e+00	9.700e+01	9.849e+00	4.150e+02	2.037e+01	1.050e+02	1.025e+01	5.700e+01	7.550e+00	7.800e+01	8.832e+00	8.800e+01	9.381e+00	6.300e+01	7.937e+00	9.100e+01	9.539e+00	7.000e+01	8.367e+00	5.400e+01	7.348e+00	2.820e+02	1.679e+01	7.470e+02	2.733e+01
9	2.020e+02	1.421e+01	8.700e+01	9.327e+00	3.620e+02	1.903e+01	5.000e+02	2.236e+01	4.380e+02	2.093e+01	2.860e+02	1.691e+01	1.300e+01	3.606e+00	5.590e+02	2.364e+01	9.500e+01	9.747e+00	3.760e+02	1.939e+01	8.410e+02	2.900e+01	6.400e+01	8.000e+00	8.500e+01	9.220e+00	6.000e+01	7.746e+00	3.300e+01	5.745e+00	7.540e+02	2.746e+01	1.100e+01	3.317e+00	8.250e+02	2.872e+01	2.300e+02	1.517e+01	1.860e+02	1.364e+01	4.120e+02	2.030e+01	3.550e+02	1.884e+01	2.290e+02	1.513e+01	4.500e+01	6.708e+00	4.000e+01	6.325e+00	1.160e+02	1.077e+01	4.460e+02	2.112e+01	9.200e+01	9.592e+00	4.900e+01	7.000e+00	1.310e+02	1.145e+01	8.200e+01	9.055e+00	7.100e+01	8.426e+00	1.070e+02	1.034e+01	1.000e+02	1.000e+01	6.500e+01	8.062e+00	3.080e+02	1.755e+01	7.760e+02	2.786e+01
10	2.310e+02	1.520e+01	7.500e+01	8.660e+00	4.120e+02	2.030e+01	5.270e+02	2.296e+01	5.100e+02	2.258e+01	3.330e+02	1.825e+01	1.400e+01	3.742e+00	5.940e+02	2.437e+01	8.800e+01	9.381e+00	4.220e+02	2.054e+01	8.750e+02	2.958e+01	4.500e+01	6.708e+00	7.500e+01	8.660e+00	5.400e+01	7.348e+00	4.400e+01	6.633e+00	8.480e+02	2.912e+01	1.000e+00	1.000e+00	9.170e+02	3.028e+01	1.930e+02	1.389e+01	1.750e+02	1.323e+01	4.430e+02	2.105e+01	3.540e+02	1.881e+01	2.620e+02	1.619e+01	3.000e+01	5.477e+00	4.500e+01	6.708e+00	1.120e+02	1.058e+01	3.990e+02	1.997e+01	9.600e+01	9.798e+00	4.700e+01	6.856e+00	1.220e+02	1.105e+01	9.400e+01	9.695e+00	7.100e+01	8.426e+00	1.180e+02	1.086e+01	9.200e+01	9.592e+00	6.100e+01	7.810e+00	3.570e+02	1.889e+01	7.870e+02	2.805e+01
11	2.480e+02	1.575e+01	8.500e+01	9.220e+00	4.640e+02	2.154e+01	5.840e+02	2.417e+01	5.290e+02	2.300e+01	3.740e+02	1.934e+01	1.300e+01	3.606e+00	5.980e+02	2.445e+01	9.100e+01	9.539e+00	4.460e+02	2.112e+01	9.160e+02	3.027e+01	5.500e+01	7.416e+00	9.400e+01	9.695e+00	4.000e+01	6.325e+00	5.100e+01	7.141e+00	9.770e+02	3.126e+01	1.300e+01	3.606e+00	8.810e+02	2.968e+01	2.310e+02	1.520e+01	1.790e+02	1.338e+01	4.720e+02	2.173e+01	3.810e+02	1.952e+01	2.580e+02	1.606e+01	5.100e+01	7.141e+00	3.000e+01	5.477e+00	1.030e+02	1.015e+01	4.830e+02	2.198e+01	1.320e+02	1.149e+01	6.600e+01	8.124e+00	1.380e+02	1.175e+01	9.600e+01	9.798e+00	7.500e+01	8.660e+00	1.310e+02	1.145e+01	1.120e+02	1.058e+01	5.500e+01	7.416e+00	3.570e+02	1.889e+01	7.650e+02	2.766e+01
12	2.320e+02	1.523e+01	8.800e+01	9.381e+00	4.960e+02	2.227e+01	6.360e+02	2.522e+01	5.920e+02	2.433e+01	3.890e+02	1.972e+01	1.100e+01	3.317e+00	6.850e+02	2.617e+01	8.100e+01	9.000e+00	4.580e+02	2.140e+01	9.030e+02	3.005e+01	6.600e+01	8.124e+00	8.300e+01	9.110e+00	5.300e+01	7.280e+00	3.900e+01	6.245e+00	1.047e+03	3.236e+01	4.000e+00	2.000e+00	9.810e+02	3.132e+01	2.270e+02	1.507e+01	1.920e+02	1.386e+01	5.820e+02	2.412e+01	4.070e+02	2.017e+01	2.820e+02	1.679e+01	5.100e+01	7.141e+00	5.100e+01	7.141e+00	1.060e+02	1.030e+01	5.270e+02	2.296e+01	1.010e+02	1.005e+01	5.700e+01	7.550e+00	1.340e+02	1.158e+01	8.600e+01	9.274e+00	7.200e+01	8.485e+00	1.230e+02	1.109e+01	9.200e+01	9.592e+00	7.400e+01	8.602e+00	4.110e+02	2.027e+01	7.590e+02	2.755e+01
