# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=2		POL=2		POL=1		POL=1		POL=1		POL=0		POL=2		POL=5		POL=2		POL=3		POL=1		POL=4		POL=4		POL=3		POL=4		POL=5		POL=3		POL=4		POL=3		POL=3		POL=1		POL=4		POL=4		POL=2		POL=2		POL=4		POL=4		POL=2		POL=0		POL=0		POL=2		POL=3		POL=3		POL=1		POL=3		POL=5		POL=5	
1	1.041e+04	1.020e+02	2.156e+03	4.643e+01	9.167e+03	9.574e+01	1.458e+04	1.208e+02	1.736e+04	1.318e+02	3.370e+02	1.836e+01	1.580e+03	3.975e+01	1.926e+04	1.388e+02	3.745e+03	6.120e+01	2.385e+04	1.544e+02	2.374e+04	1.541e+02	2.452e+03	4.952e+01	6.217e+03	7.885e+01	1.172e+04	1.082e+02	1.904e+03	4.363e+01	2.328e+04	1.526e+02	1.498e+03	3.870e+01	2.528e+04	1.590e+02	2.856e+03	5.344e+01	1.238e+04	1.113e+02	1.526e+04	1.235e+02	9.341e+03	9.665e+01	8.480e+03	9.209e+01	1.999e+03	4.471e+01	7.030e+02	2.651e+01	3.136e+03	5.600e+01	1.774e+04	1.332e+02	1.861e+03	4.314e+01	2.063e+03	4.542e+01	5.751e+03	7.584e+01	2.998e+03	5.475e+01	2.549e+03	5.049e+01	7.253e+03	8.516e+01	1.054e+03	3.247e+01	4.163e+03	6.452e+01	1.442e+04	1.201e+02	2.077e+04	1.441e+02
2	1.260e+04	1.123e+02	1.938e+03	4.402e+01	9.607e+03	9.802e+01	1.681e+04	1.296e+02	2.080e+04	1.442e+02	7.390e+02	2.718e+01	1.331e+03	3.648e+01	2.537e+04	1.593e+02	3.590e+03	5.992e+01	2.286e+04	1.512e+02	2.902e+04	1.703e+02	2.104e+03	4.587e+01	5.589e+03	7.476e+01	8.232e+03	9.073e+01	1.762e+03	4.198e+01	2.571e+04	1.603e+02	1.344e+03	3.666e+01	3.346e+04	1.829e+02	3.332e+03	5.772e+01	1.224e+04	1.106e+02	1.974e+04	1.405e+02	1.445e+04	1.202e+02	8.321e+03	9.122e+01	2.189e+03	4.679e+01	6.050e+02	2.460e+01	3.234e+03	5.687e+01	2.340e+04	1.530e+02	1.821e+03	4.267e+01	1.437e+03	3.791e+01	4.332e+03	6.582e+01	2.464e+03	4.964e+01	2.318e+03	4.815e+01	6.821e+03	8.259e+01	1.012e+03	3.181e+01	4.477e+03	6.691e+01	1.469e+04	1.212e+02	2.398e+04	1.549e+02
3	1.195e+04	1.093e+02	1.875e+03	4.330e+01	9.254e+03	9.620e+01	1.730e+04	1.315e+02	2.046e+04	1.430e+02	1.106e+03	3.326e+01	1.231e+03	3.509e+01	2.522e+04	1.588e+02	3.051e+03	5.524e+01	2.129e+04	1.459e+02	2.826e+04	1.681e+02	1.861e+03	4.314e+01	5.079e+03	7.127e+01	7.025e+03	8.382e+01	1.585e+03	3.981e+01	2.752e+04	1.659e+02	1.204e+03	3.470e+01	3.783e+04	1.945e+02	3.573e+03	5.977e+01	1.105e+04	1.051e+02	1.885e+04	1.373e+02	1.497e+04	1.223e+02	8.023e+03	8.957e+01	2.073e+03	4.553e+01	5.830e+02	2.415e+01	3.171e+03	5.631e+01	2.332e+04	1.527e+02	1.675e+03	4.093e+01	1.232e+03	3.510e+01	3.896e+03	6.242e+01	2.175e+03	4.664e+01	2.206e+03	4.697e+01	5.847e+03	7.647e+01	1.079e+03	3.285e+01	3.899e+03	6.244e+01	1.500e+04	1.225e+02	2.594e+04	1.610e+02
4	1.127e+04	1.061e+02	1.850e+03	4.301e+01	9.120e+03	9.550e+01	1.616e+04	1.271e+02	1.910e+04	1.382e+02	1.213e+03	3.483e+01	1.169e+03	3.419e+01	2.487e+04	1.577e+02	3.050e+03	5.523e+01	2.024e+04	1.423e+02	2.790e+04	1.670e+02	1.811e+03	4.256e+01	4.499e+03	6.707e+01	6.508e+03	8.067e+01	1.420e+03	3.768e+01	2.793e+04	1.671e+02	1.069e+03	3.270e+01	3.693e+04	1.922e+02	3.797e+03	6.162e+01	1.055e+04	1.027e+02	1.850e+04	1.360e+02	1.446e+04	1.203e+02	7.639e+03	8.740e+01	2.012e+03	4.486e+01	4.660e+02	2.159e+01	2.889e+03	5.375e+01	2.218e+04	1.489e+02	1.721e+03	4.148e+01	1.065e+03	3.263e+01	3.831e+03	6.190e+01	2.087e+03	4.568e+01	2.045e+03	4.522e+01	5.234e+03	7.235e+01	1.076e+03	3.280e+01	3.318e+03	5.760e+01	1.491e+04	1.221e+02	2.542e+04	1.594e+02
5	1.024e+04	1.012e+02	1.764e+03	4.200e+01	8.860e+03	9.413e+01	1.596e+04	1.263e+02	1.830e+04	1.353e+02	1.073e+03	3.276e+01	1.121e+03	3.348e+01	2.488e+04	1.577e+02	2.868e+03	5.355e+01	1.856e+04	1.363e+02	2.764e+04	1.662e+02	1.657e+03	4.071e+01	4.451e+03	6.672e+01	6.022e+03	7.760e+01	1.397e+03	3.738e+01	2.785e+04	1.669e+02	1.032e+03	3.212e+01	3.591e+04	1.895e+02	4.121e+03	6.420e+01	9.063e+03	9.520e+01	1.823e+04	1.350e+02	1.428e+04	1.195e+02	7.295e+03	8.541e+01	1.996e+03	4.468e+01	5.130e+02	2.265e+01	2.620e+03	5.119e+01	2.138e+04	1.462e+02	1.638e+03	4.047e+01	9.150e+02	3.025e+01	3.558e+03	5.965e+01	1.972e+03	4.441e+01	1.950e+03	4.416e+01	4.220e+03	6.496e+01	1.211e+03	3.480e+01	2.747e+03	5.241e+01	1.403e+04	1.185e+02	2.439e+04	1.562e+02
6	9.450e+03	9.721e+01	1.685e+03	4.105e+01	8.599e+03	9.273e+01	1.551e+04	1.245e+02	1.752e+04	1.324e+02	1.206e+03	3.473e+01	1.029e+03	3.208e+01	2.427e+04	1.558e+02	2.807e+03	5.298e+01	1.730e+04	1.315e+02	2.666e+04	1.633e+02	1.582e+03	3.977e+01	4.046e+03	6.361e+01	5.689e+03	7.543e+01	1.295e+03	3.599e+01	2.644e+04	1.626e+02	1.012e+03	3.181e+01	3.399e+04	1.844e+02	4.203e+03	6.483e+01	8.572e+03	9.259e+01	1.830e+04	1.353e+02	1.373e+04	1.172e+02	7.061e+03	8.403e+01	1.864e+03	4.317e+01	4.770e+02	2.184e+01	2.234e+03	4.727e+01	2.062e+04	1.436e+02	1.488e+03	3.857e+01	8.520e+02	2.919e+01	3.236e+03	5.689e+01	1.791e+03	4.232e+01	1.825e+03	4.272e+01	3.488e+03	5.906e+01	1.267e+03	3.559e+01	2.476e+03	4.976e+01	1.349e+04	1.161e+02	2.337e+04	1.529e+02
7	9.471e+03	9.732e+01	1.565e+03	3.956e+01	8.622e+03	9.285e+01	1.490e+04	1.221e+02	1.683e+04	1.297e+02	1.215e+03	3.486e+01	9.880e+02	3.143e+01	2.384e+04	1.544e+02	2.862e+03	5.350e+01	1.698e+04	1.303e+02	2.672e+04	1.635e+02	1.559e+03	3.948e+01	3.765e+03	6.136e+01	5.488e+03	7.408e+01	1.204e+03	3.470e+01	2.543e+04	1.595e+02	9.230e+02	3.038e+01	3.229e+04	1.797e+02	3.904e+03	6.248e+01	8.081e+03	8.989e+01	1.752e+04	1.323e+02	1.342e+04	1.158e+02	6.903e+03	8.308e+01	1.837e+03	4.286e+01	5.260e+02	2.293e+01	2.027e+03	4.502e+01	1.994e+04	1.412e+02	1.345e+03	3.667e+01	6.530e+02	2.555e+01	3.272e+03	5.720e+01	1.795e+03	4.237e+01	1.810e+03	4.254e+01	3.149e+03	5.612e+01	1.385e+03	3.722e+01	2.435e+03	4.935e+01	1.303e+04	1.141e+02	2.157e+04	1.469e+02
8	8.452e+03	9.193e+01	1.582e+03	3.977e+01	8.653e+03	9.302e+01	1.424e+04	1.193e+02	1.622e+04	1.273e+02	1.118e+03	3.344e+01	9.300e+02	3.050e+01	2.338e+04	1.529e+02	2.870e+03	5.357e+01	1.622e+04	1.274e+02	2.618e+04	1.618e+02	1.446e+03	3.803e+01	3.754e+03	6.127e+01	5.079e+03	7.127e+01	1.146e+03	3.385e+01	2.392e+04	1.547e+02	9.400e+02	3.066e+01	3.190e+04	1.786e+02	3.861e+03	6.214e+01	7.348e+03	8.572e+01	1.684e+04	1.298e+02	1.314e+04	1.146e+02	6.979e+03	8.354e+01	1.755e+03	4.189e+01	4.810e+02	2.193e+01	1.821e+03	4.267e+01	1.878e+04	1.371e+02	1.318e+03	3.630e+01	6.500e+02	2.550e+01	3.164e+03	5.625e+01	1.622e+03	4.027e+01	1.703e+03	4.127e+01	2.900e+03	5.385e+01	1.320e+03	3.633e+01	2.360e+03	4.858e+01	1.194e+04	1.093e+02	1.980e+04	1.407e+02
9	8.243e+03	9.079e+01	1.598e+03	3.997e+01	8.747e+03	9.353e+01	1.428e+04	1.195e+02	1.540e+04	1.241e+02	1.246e+03	3.530e+01	9.060e+02	3.010e+01	2.301e+04	1.517e+02	2.756e+03	5.250e+01	1.537e+04	1.240e+02	2.535e+04	1.592e+02	1.457e+03	3.817e+01	3.403e+03	5.834e+01	4.862e+03	6.973e+01	1.277e+03	3.574e+01	2.331e+04	1.527e+02	9.380e+02	3.063e+01	3.027e+04	1.740e+02	3.751e+03	6.125e+01	6.831e+03	8.265e+01	1.669e+04	1.292e+02	1.282e+04	1.132e+02	6.647e+03	8.153e+01	1.585e+03	3.981e+01	5.300e+02	2.302e+01	1.741e+03	4.173e+01	1.884e+04	1.372e+02	1.164e+03	3.412e+01	6.080e+02	2.466e+01	2.989e+03	5.467e+01	1.651e+03	4.063e+01	1.781e+03	4.220e+01	2.757e+03	5.251e+01	1.267e+03	3.559e+01	2.273e+03	4.768e+01	1.137e+04	1.066e+02	1.860e+04	1.364e+02
10	7.877e+03	8.875e+01	1.524e+03	3.904e+01	8.352e+03	9.139e+01	1.396e+04	1.182e+02	1.531e+04	1.237e+02	1.077e+03	3.282e+01	8.720e+02	2.953e+01	2.288e+04	1.513e+02	2.743e+03	5.237e+01	1.481e+04	1.217e+02	2.466e+04	1.570e+02	1.376e+03	3.709e+01	3.403e+03	5.834e+01	4.714e+03	6.866e+01	1.144e+03	3.382e+01	2.283e+04	1.511e+02	9.120e+02	3.020e+01	2.951e+04	1.718e+02	3.621e+03	6.017e+01	6.536e+03	8.085e+01	1.606e+04	1.267e+02	1.214e+04	1.102e+02	6.927e+03	8.323e+01	1.502e+03	3.876e+01	5.190e+02	2.278e+01	1.652e+03	4.064e+01	1.812e+04	1.346e+02	1.078e+03	3.283e+01	5.550e+02	2.356e+01	2.856e+03	5.344e+01	1.518e+03	3.896e+01	1.728e+03	4.157e+01	2.613e+03	5.112e+01	1.304e+03	3.611e+01	2.367e+03	4.865e+01	1.094e+04	1.046e+02	1.733e+04	1.317e+02
11	7.303e+03	8.546e+01	1.602e+03	4.002e+01	8.327e+03	9.125e+01	1.338e+04	1.157e+02	1.554e+04	1.247e+02	1.105e+03	3.324e+01	8.350e+02	2.890e+01	2.195e+04	1.481e+02	2.732e+03	5.227e+01	1.430e+04	1.196e+02	2.405e+04	1.551e+02	1.469e+03	3.833e+01	3.252e+03	5.703e+01	4.796e+03	6.925e+01	1.138e+03	3.373e+01	2.238e+04	1.496e+02	9.150e+02	3.025e+01	2.870e+04	1.694e+02	3.414e+03	5.843e+01	6.227e+03	7.891e+01	1.528e+04	1.236e+02	1.157e+04	1.076e+02	6.598e+03	8.123e+01	1.522e+03	3.901e+01	5.300e+02	2.302e+01	1.575e+03	3.969e+01	1.840e+04	1.356e+02	1.170e+03	3.421e+01	5.590e+02	2.364e+01	2.902e+03	5.387e+01	1.582e+03	3.977e+01	1.753e+03	4.187e+01	2.574e+03	5.073e+01	1.387e+03	3.724e+01	2.407e+03	4.906e+01	1.063e+04	1.031e+02	1.658e+04	1.288e+02
12	7.237e+03	8.507e+01	1.591e+03	3.989e+01	8.045e+03	8.969e+01	1.329e+04	1.153e+02	1.554e+04	1.246e+02	1.119e+03	3.345e+01	8.500e+02	2.915e+01	2.228e+04	1.493e+02	2.645e+03	5.143e+01	1.420e+04	1.192e+02	2.377e+04	1.542e+02	1.470e+03	3.834e+01	3.311e+03	5.754e+01	4.824e+03	6.946e+01	1.105e+03	3.324e+01	2.197e+04	1.482e+02	9.260e+02	3.043e+01	2.870e+04	1.694e+02	3.250e+03	5.701e+01	5.898e+03	7.680e+01	1.564e+04	1.250e+02	1.133e+04	1.064e+02	6.228e+03	7.892e+01	1.465e+03	3.828e+01	5.240e+02	2.289e+01	1.426e+03	3.776e+01	1.757e+04	1.325e+02	1.074e+03	3.277e+01	7.040e+02	2.653e+01	3.008e+03	5.485e+01	1.542e+03	3.927e+01	1.762e+03	4.198e+01	2.723e+03	5.218e+01	1.300e+03	3.606e+01	2.536e+03	5.036e+01	1.041e+04	1.020e+02	1.535e+04	1.239e+02
13	7.199e+03	8.485e+01	1.549e+03	3.936e+01	8.341e+03	9.133e+01	1.367e+04	1.169e+02	1.522e+04	1.234e+02	1.140e+03	3.376e+01	8.370e+02	2.893e+01	2.242e+04	1.497e+02	2.684e+03	5.181e+01	1.394e+04	1.181e+02	2.282e+04	1.511e+02	1.401e+03	3.743e+01	3.282e+03	5.729e+01	5.065e+03	7.117e+01	1.012e+03	3.181e+01	2.190e+04	1.480e+02	9.780e+02	3.127e+01	2.868e+04	1.693e+02	3.051e+03	5.524e+01	6.006e+03	7.750e+01	1.554e+04	1.247e+02	1.184e+04	1.088e+02	6.100e+03	7.810e+01	1.488e+03	3.857e+01	5.680e+02	2.383e+01	1.494e+03	3.865e+01	1.751e+04	1.323e+02	1.000e+03	3.162e+01	6.420e+02	2.534e+01	2.799e+03	5.291e+01	1.542e+03	3.927e+01	1.910e+03	4.370e+01	2.623e+03	5.122e+01	1.262e+03	3.552e+01	2.415e+03	4.914e+01	9.945e+03	9.972e+01	1.468e+04	1.212e+02
14	7.000e+03	8.367e+01	1.611e+03	4.014e+01	8.055e+03	8.975e+01	1.352e+04	1.163e+02	1.518e+04	1.232e+02	1.153e+03	3.396e+01	8.130e+02	2.851e+01	2.304e+04	1.518e+02	2.637e+03	5.135e+01	1.366e+04	1.169e+02	2.294e+04	1.515e+02	1.491e+03	3.861e+01	3.560e+03	5.967e+01	5.494e+03	7.412e+01	1.044e+03	3.231e+01	2.236e+04	1.495e+02	1.017e+03	3.189e+01	2.880e+04	1.697e+02	2.957e+03	5.438e+01	5.667e+03	7.528e+01	1.509e+04	1.228e+02	1.166e+04	1.080e+02	6.176e+03	7.859e+01	1.518e+03	3.896e+01	5.390e+02	2.322e+01	1.438e+03	3.792e+01	1.768e+04	1.330e+02	1.016e+03	3.187e+01	6.720e+02	2.592e+01	2.981e+03	5.460e+01	1.551e+03	3.938e+01	1.919e+03	4.381e+01	2.679e+03	5.176e+01	1.343e+03	3.665e+01	2.560e+03	5.060e+01	1.006e+04	1.003e+02	1.438e+04	1.199e+02
15	6.795e+03	8.243e+01	1.599e+03	3.999e+01	7.906e+03	8.892e+01	1.290e+04	1.136e+02	1.477e+04	1.215e+02	1.180e+03	3.435e+01	8.000e+02	2.828e+01	2.248e+04	1.499e+02	2.565e+03	5.065e+01	1.341e+04	1.158e+02	2.233e+04	1.494e+02	1.373e+03	3.705e+01	3.528e+03	5.940e+01	5.725e+03	7.566e+01	1.060e+03	3.256e+01	2.180e+04	1.477e+02	1.088e+03	3.298e+01	2.864e+04	1.692e+02	2.705e+03	5.201e+01	5.585e+03	7.473e+01	1.472e+04	1.213e+02	1.130e+04	1.063e+02	5.845e+03	7.645e+01	1.414e+03	3.760e+01	5.600e+02	2.366e+01	1.486e+03	3.855e+01	1.765e+04	1.328e+02	9.990e+02	3.161e+01	7.100e+02	2.665e+01	2.847e+03	5.336e+01	1.624e+03	4.030e+01	1.971e+03	4.440e+01	2.695e+03	5.191e+01	1.368e+03	3.699e+01	2.574e+03	5.073e+01	9.704e+03	9.851e+01	1.360e+04	1.166e+02
16	6.827e+03	8.263e+01	1.654e+03	4.067e+01	8.149e+03	9.027e+01	1.309e+04	1.144e+02	1.512e+04	1.229e+02	1.129e+03	3.360e+01	8.280e+02	2.877e+01	2.269e+04	1.506e+02	2.694e+03	5.190e+01	1.321e+04	1.149e+02	2.193e+04	1.481e+02	1.471e+03	3.835e+01	3.737e+03	6.113e+01	6.189e+03	7.867e+01	9.870e+02	3.142e+01	2.238e+04	1.496e+02	1.099e+03	3.315e+01	2.942e+04	1.715e+02	2.416e+03	4.915e+01	5.489e+03	7.409e+01	1.497e+04	1.224e+02	1.154e+04	1.074e+02	5.643e+03	7.512e+01	1.482e+03	3.850e+01	5.650e+02	2.377e+01	1.497e+03	3.869e+01	1.770e+04	1.330e+02	9.990e+02	3.161e+01	7.180e+02	2.680e+01	3.086e+03	5.555e+01	1.687e+03	4.107e+01	2.123e+03	4.608e+01	3.020e+03	5.495e+01	1.402e+03	3.744e+01	2.782e+03	5.274e+01	9.630e+03	9.813e+01	1.268e+04	1.126e+02
17	6.751e+03	8.216e+01	1.616e+03	4.020e+01	7.748e+03	8.802e+01	1.286e+04	1.134e+02	1.454e+04	1.206e+02	1.069e+03	3.270e+01	8.590e+02	2.931e+01	2.306e+04	1.519e+02	2.899e+03	5.384e+01	1.280e+04	1.131e+02	2.128e+04	1.459e+02	1.385e+03	3.722e+01	3.755e+03	6.128e+01	6.488e+03	8.055e+01	1.022e+03	3.197e+01	2.206e+04	1.485e+02	1.128e+03	3.359e+01	2.930e+04	1.712e+02	2.274e+03	4.769e+01	5.352e+03	7.316e+01	1.443e+04	1.201e+02	1.101e+04	1.049e+02	5.263e+03	7.255e+01	1.494e+03	3.865e+01	5.940e+02	2.437e+01	1.473e+03	3.838e+01	1.702e+04	1.304e+02	1.099e+03	3.315e+01	8.120e+02	2.850e+01	3.023e+03	5.498e+01	1.750e+03	4.183e+01	2.066e+03	4.545e+01	2.977e+03	5.456e+01	1.425e+03	3.775e+01	2.753e+03	5.247e+01	9.201e+03	9.592e+01	1.265e+04	1.125e+02
18	6.513e+03	8.070e+01	1.591e+03	3.989e+01	7.119e+03	8.437e+01	1.243e+04	1.115e+02	1.422e+04	1.192e+02	1.113e+03	3.336e+01	8.910e+02	2.985e+01	2.242e+04	1.497e+02	2.970e+03	5.450e+01	1.264e+04	1.124e+02	2.097e+04	1.448e+02	1.435e+03	3.788e+01	3.751e+03	6.125e+01	6.816e+03	8.256e+01	9.880e+02	3.143e+01	2.124e+04	1.457e+02	1.289e+03	3.590e+01	2.891e+04	1.700e+02	2.150e+03	4.637e+01	5.260e+03	7.253e+01	1.467e+04	1.211e+02	1.086e+04	1.042e+02	5.126e+03	7.160e+01	1.488e+03	3.857e+01	6.810e+02	2.610e+01	1.599e+03	3.999e+01	1.730e+04	1.315e+02	1.129e+03	3.360e+01	7.570e+02	2.751e+01	3.150e+03	5.612e+01	1.834e+03	4.283e+01	2.130e+03	4.615e+01	3.285e+03	5.731e+01	1.462e+03	3.824e+01	2.852e+03	5.340e+01	8.962e+03	9.467e+01	1.209e+04	1.100e+02
19	6.466e+03	8.041e+01	1.743e+03	4.175e+01	7.148e+03	8.455e+01	1.198e+04	1.094e+02	1.404e+04	1.185e+02	1.106e+03	3.326e+01	1.017e+03	3.189e+01	2.372e+04	1.540e+02	2.877e+03	5.364e+01	1.261e+04	1.123e+02	2.106e+04	1.451e+02	1.353e+03	3.678e+01	3.749e+03	6.123e+01	7.087e+03	8.418e+01	8.620e+02	2.936e+01	2.218e+04	1.489e+02	1.353e+03	3.678e+01	2.945e+04	1.716e+02	1.973e+03	4.442e+01	5.145e+03	7.173e+01	1.497e+04	1.224e+02	1.142e+04	1.069e+02	4.942e+03	7.030e+01	1.423e+03	3.772e+01	7.290e+02	2.700e+01	1.563e+03	3.953e+01	1.728e+04	1.315e+02	1.169e+03	3.419e+01	8.180e+02	2.860e+01	3.136e+03	5.600e+01	1.958e+03	4.425e+01	2.061e+03	4.540e+01	3.351e+03	5.789e+01	1.493e+03	3.864e+01	2.863e+03	5.351e+01	9.138e+03	9.559e+01	1.171e+04	1.082e+02
