# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=1		POL=1		POL=4		POL=4		POL=3		POL=1		POL=3		POL=2		POL=4		POL=1		POL=4		POL=0		POL=2		POL=5		POL=1		POL=5		POL=2		POL=2		POL=4		POL=2		POL=3		POL=1		POL=3		POL=1		POL=3		POL=3		POL=1		POL=3		POL=2		POL=5		POL=2		POL=2		POL=4		POL=1		POL=3		POL=3		POL=1	
1	4.910e+02	2.216e+01	4.730e+02	2.175e+01	6.710e+02	2.590e+01	1.237e+03	3.517e+01	1.030e+03	3.209e+01	2.550e+02	1.597e+01	1.510e+02	1.229e+01	1.169e+03	3.419e+01	4.650e+02	2.156e+01	2.234e+03	4.727e+01	1.765e+03	4.201e+01	3.060e+02	1.749e+01	5.630e+02	2.373e+01	8.440e+02	2.905e+01	2.360e+02	1.536e+01	1.346e+03	3.669e+01	9.300e+01	9.644e+00	1.492e+03	3.863e+01	3.870e+02	1.967e+01	7.650e+02	2.766e+01	9.510e+02	3.084e+01	8.300e+02	2.881e+01	5.370e+02	2.317e+01	2.090e+02	1.446e+01	2.130e+02	1.459e+01	4.530e+02	2.128e+01	8.990e+02	2.998e+01	5.250e+02	2.291e+01	4.890e+02	2.211e+01	1.510e+03	3.886e+01	8.110e+02	2.848e+01	6.450e+02	2.540e+01	1.916e+03	4.377e+01	4.180e+02	2.045e+01	1.288e+03	3.589e+01	9.560e+02	3.092e+01	4.287e+03	6.548e+01
2	5.870e+02	2.423e+01	5.620e+02	2.371e+01	7.180e+02	2.680e+01	1.450e+03	3.808e+01	1.284e+03	3.583e+01	6.510e+02	2.551e+01	1.470e+02	1.212e+01	1.521e+03	3.900e+01	4.970e+02	2.229e+01	2.331e+03	4.828e+01	1.904e+03	4.363e+01	2.760e+02	1.661e+01	5.640e+02	2.375e+01	6.770e+02	2.602e+01	2.490e+02	1.578e+01	1.769e+03	4.206e+01	9.700e+01	9.849e+00	1.972e+03	4.441e+01	5.080e+02	2.254e+01	8.960e+02	2.993e+01	1.215e+03	3.486e+01	1.116e+03	3.341e+01	6.510e+02	2.551e+01	2.660e+02	1.631e+01	2.460e+02	1.568e+01	5.350e+02	2.313e+01	1.132e+03	3.365e+01	5.840e+02	2.417e+01	4.270e+02	2.066e+01	1.296e+03	3.600e+01	8.210e+02	2.865e+01	6.950e+02	2.636e+01	1.863e+03	4.316e+01	4.450e+02	2.110e+01	1.342e+03	3.663e+01	1.172e+03	3.423e+01	5.552e+03	7.451e+01
3	6.680e+02	2.585e+01	5.400e+02	2.324e+01	8.370e+02	2.893e+01	1.726e+03	4.155e+01	1.418e+03	3.766e+01	1.075e+03	3.279e+01	1.340e+02	1.158e+01	1.657e+03	4.071e+01	3.930e+02	1.982e+01	2.389e+03	4.888e+01	1.979e+03	4.449e+01	2.920e+02	1.709e+01	5.090e+02	2.256e+01	6.290e+02	2.508e+01	2.590e+02	1.609e+01	2.090e+03	4.572e+01	1.050e+02	1.025e+01	2.283e+03	4.778e+01	6.940e+02	2.634e+01	1.063e+03	3.260e+01	1.271e+03	3.565e+01	1.212e+03	3.481e+01	7.640e+02	2.764e+01	3.200e+02	1.789e+01	2.220e+02	1.490e+01	6.120e+02	2.474e+01	1.354e+03	3.680e+01	6.680e+02	2.585e+01	3.910e+02	1.977e+01	1.169e+03	3.419e+01	7.690e+02	2.773e+01	6.410e+02	2.532e+01	1.584e+03	3.980e+01	3.460e+02	1.860e+01	9.840e+02	3.137e+01	1.303e+03	3.610e+01	6.061e+03	7.785e+01
4	7.420e+02	2.724e+01	6.390e+02	2.528e+01	9.140e+02	3.023e+01	1.860e+03	4.313e+01	1.535e+03	3.918e+01	1.151e+03	3.393e+01	1.400e+02	1.183e+01	1.857e+03	4.309e+01	3.600e+02	1.897e+01	2.459e+03	4.959e+01	2.135e+03	4.621e+01	3.290e+02	1.814e+01	4.180e+02	2.045e+01	5.410e+02	2.326e+01	2.950e+02	1.718e+01	2.387e+03	4.886e+01	9.700e+01	9.849e+00	2.596e+03	5.095e+01	8.170e+02	2.858e+01	1.214e+03	3.484e+01	1.489e+03	3.859e+01	1.308e+03	3.617e+01	8.370e+02	2.893e+01	3.140e+02	1.772e+01	2.230e+02	1.493e+01	6.060e+02	2.462e+01	1.570e+03	3.962e+01	6.400e+02	2.530e+01	3.440e+02	1.855e+01	1.173e+03	3.425e+01	7.490e+02	2.737e+01	5.690e+02	2.385e+01	1.396e+03	3.736e+01	3.770e+02	1.942e+01	8.980e+02	2.997e+01	1.493e+03	3.864e+01	6.164e+03	7.851e+01
5	7.510e+02	2.740e+01	6.200e+02	2.490e+01	1.035e+03	3.217e+01	2.113e+03	4.597e+01	1.694e+03	4.116e+01	1.318e+03	3.630e+01	1.350e+02	1.162e+01	2.023e+03	4.498e+01	3.750e+02	1.936e+01	2.406e+03	4.905e+01	2.280e+03	4.775e+01	2.970e+02	1.723e+01	4.270e+02	2.066e+01	6.040e+02	2.458e+01	2.780e+02	1.667e+01	2.724e+03	5.219e+01	1.100e+02	1.049e+01	2.956e+03	5.437e+01	1.020e+03	3.194e+01	1.280e+03	3.578e+01	1.745e+03	4.177e+01	1.445e+03	3.801e+01	9.500e+02	3.082e+01	3.420e+02	1.849e+01	2.470e+02	1.572e+01	6.660e+02	2.581e+01	1.767e+03	4.204e+01	6.820e+02	2.612e+01	3.470e+02	1.863e+01	1.081e+03	3.288e+01	6.460e+02	2.542e+01	6.090e+02	2.468e+01	1.134e+03	3.367e+01	4.050e+02	2.012e+01	7.000e+02	2.646e+01	1.570e+03	3.962e+01	5.938e+03	7.706e+01
6	8.190e+02	2.862e+01	6.700e+02	2.588e+01	1.223e+03	3.497e+01	2.310e+03	4.806e+01	1.987e+03	4.458e+01	1.457e+03	3.817e+01	1.460e+02	1.208e+01	2.369e+03	4.867e+01	3.720e+02	1.929e+01	2.499e+03	4.999e+01	2.646e+03	5.144e+01	3.060e+02	1.749e+01	4.470e+02	2.114e+01	6.340e+02	2.518e+01	3.030e+02	1.741e+01	2.849e+03	5.338e+01	8.100e+01	9.000e+00	3.321e+03	5.763e+01	1.180e+03	3.435e+01	1.386e+03	3.723e+01	1.957e+03	4.424e+01	1.764e+03	4.200e+01	1.034e+03	3.216e+01	3.810e+02	1.952e+01	2.470e+02	1.572e+01	6.830e+02	2.613e+01	1.965e+03	4.433e+01	7.460e+02	2.731e+01	3.310e+02	1.819e+01	1.087e+03	3.297e+01	6.840e+02	2.615e+01	5.550e+02	2.356e+01	1.051e+03	3.242e+01	4.550e+02	2.133e+01	6.770e+02	2.602e+01	1.706e+03	4.130e+01	6.007e+03	7.750e+01
7	9.690e+02	3.113e+01	6.510e+02	2.551e+01	1.424e+03	3.774e+01	2.603e+03	5.102e+01	2.199e+03	4.689e+01	1.617e+03	4.021e+01	1.160e+02	1.077e+01	2.519e+03	5.019e+01	4.190e+02	2.047e+01	2.705e+03	5.201e+01	3.019e+03	5.495e+01	3.130e+02	1.769e+01	3.840e+02	1.960e+01	5.980e+02	2.445e+01	2.810e+02	1.676e+01	3.092e+03	5.561e+01	9.400e+01	9.695e+00	3.547e+03	5.956e+01	1.316e+03	3.628e+01	1.523e+03	3.903e+01	2.189e+03	4.679e+01	1.814e+03	4.259e+01	1.257e+03	3.545e+01	3.850e+02	1.962e+01	2.260e+02	1.503e+01	6.730e+02	2.594e+01	2.214e+03	4.705e+01	7.890e+02	2.809e+01	3.290e+02	1.814e+01	1.085e+03	3.294e+01	6.120e+02	2.474e+01	6.350e+02	2.520e+01	9.590e+02	3.097e+01	5.130e+02	2.265e+01	6.290e+02	2.508e+01	1.871e+03	4.326e+01	5.686e+03	7.541e+01
8	1.048e+03	3.237e+01	7.230e+02	2.689e+01	1.749e+03	4.182e+01	2.824e+03	5.314e+01	2.398e+03	4.897e+01	1.803e+03	4.246e+01	1.310e+02	1.145e+01	2.785e+03	5.277e+01	4.510e+02	2.124e+01	2.843e+03	5.332e+01	3.554e+03	5.962e+01	3.180e+02	1.783e+01	5.380e+02	2.319e+01	5.960e+02	2.441e+01	3.060e+02	1.749e+01	3.369e+03	5.804e+01	1.010e+02	1.005e+01	4.024e+03	6.344e+01	1.436e+03	3.789e+01	1.409e+03	3.754e+01	2.498e+03	4.998e+01	1.994e+03	4.465e+01	1.468e+03	3.831e+01	4.520e+02	2.126e+01	2.470e+02	1.572e+01	6.620e+02	2.573e+01	2.496e+03	4.996e+01	7.330e+02	2.707e+01	3.370e+02	1.836e+01	1.057e+03	3.251e+01	6.400e+02	2.530e+01	6.380e+02	2.526e+01	9.640e+02	3.105e+01	5.010e+02	2.238e+01	6.630e+02	2.575e+01	1.914e+03	4.375e+01	5.379e+03	7.334e+01
9	1.101e+03	3.318e+01	7.100e+02	2.665e+01	1.945e+03	4.410e+01	3.015e+03	5.491e+01	2.564e+03	5.064e+01	2.003e+03	4.475e+01	1.490e+02	1.221e+01	2.964e+03	5.444e+01	4.600e+02	2.145e+01	2.871e+03	5.358e+01	3.813e+03	6.175e+01	3.200e+02	1.789e+01	4.690e+02	2.166e+01	5.810e+02	2.410e+01	3.640e+02	1.908e+01	3.817e+03	6.178e+01	1.210e+02	1.100e+01	4.361e+03	6.604e+01	1.521e+03	3.900e+01	1.418e+03	3.766e+01	2.735e+03	5.230e+01	2.229e+03	4.721e+01	1.641e+03	4.051e+01	4.310e+02	2.076e+01	2.630e+02	1.622e+01	6.910e+02	2.629e+01	2.880e+03	5.367e+01	7.360e+02	2.713e+01	3.200e+02	1.789e+01	1.049e+03	3.239e+01	6.230e+02	2.496e+01	6.720e+02	2.592e+01	1.010e+03	3.178e+01	5.730e+02	2.394e+01	6.590e+02	2.567e+01	1.978e+03	4.447e+01	5.003e+03	7.073e+01
10	1.189e+03	3.448e+01	7.030e+02	2.651e+01	2.273e+03	4.768e+01	3.353e+03	5.791e+01	2.883e+03	5.369e+01	2.267e+03	4.761e+01	1.160e+02	1.077e+01	3.338e+03	5.778e+01	4.790e+02	2.189e+01	3.050e+03	5.523e+01	4.287e+03	6.548e+01	2.960e+02	1.720e+01	4.860e+02	2.205e+01	5.880e+02	2.425e+01	4.080e+02	2.020e+01	4.179e+03	6.465e+01	1.080e+02	1.039e+01	4.815e+03	6.939e+01	1.448e+03	3.805e+01	1.530e+03	3.912e+01	2.954e+03	5.435e+01	2.282e+03	4.777e+01	1.881e+03	4.337e+01	4.000e+02	2.000e+01	2.740e+02	1.655e+01	7.470e+02	2.733e+01	3.069e+03	5.540e+01	8.050e+02	2.837e+01	3.670e+02	1.916e+01	1.044e+03	3.231e+01	6.640e+02	2.577e+01	6.920e+02	2.631e+01	1.065e+03	3.263e+01	5.480e+02	2.341e+01	6.510e+02	2.551e+01	2.075e+03	4.555e+01	4.838e+03	6.956e+01
