# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.345e+00	1.102e+00	0.000e+00	0.000e+00	4.329e-01	6.129e-01	2.950e-01	4.175e-01	5.405e-01	5.413e-01	1.376e+00	1.128e+00	3.226e+00	4.600e+00	1.887e+00	9.479e-01	1.724e+00	1.732e+00	6.036e-01	4.936e-01	7.911e-01	5.014e-01	0.000e+00	0.000e+00	7.299e-01	1.034e+00	7.937e-01	1.125e+00	0.000e+00	0.000e+00	1.596e+00	9.250e-01	0.000e+00	0.000e+00	8.208e-01	4.749e-01	9.615e-01	1.363e+00	6.667e-01	9.444e-01	1.524e+00	9.678e-01	1.274e+00	9.037e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	9.346e-01	1.325e+00	5.797e-01	5.806e-01	0.000e+00	0.000e+00	1.754e+00	2.492e+00	5.181e-01	7.337e-01	7.463e-01	1.057e+00	3.261e+00	2.685e+00	9.569e-01	9.592e-01	0.000e+00	0.000e+00	8.197e-01	1.162e+00	4.505e-01	6.378e-01	8.913e-01	5.650e-01
2	1.282e+00	1.286e+00	1.493e+00	2.119e+00	1.724e+00	1.224e+00	6.192e-01	6.202e-01	5.865e-01	5.874e-01	9.217e-01	9.238e-01	0.000e+00	0.000e+00	2.336e-01	3.306e-01	1.020e+00	1.447e+00	2.611e-01	3.695e-01	1.087e+00	6.293e-01	0.000e+00	0.000e+00	2.105e+00	2.117e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.937e-01	6.493e-01	0.000e+00	0.000e+00	1.102e+00	5.525e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	7.018e-01	7.030e-01	1.538e+00	1.092e+00	8.130e-01	1.152e+00	2.632e+00	3.747e+00	4.545e+00	6.504e+00	1.163e+00	1.649e+00	9.346e-01	7.649e-01	2.381e+00	2.395e+00	2.439e+00	3.471e+00	0.000e+00	0.000e+00	1.075e+00	1.525e+00	1.282e+00	1.819e+00	1.282e+00	1.286e+00	1.818e+00	2.583e+00	2.804e+00	2.306e+00	1.810e+00	1.286e+00	1.661e+00	7.460e-01
3	6.024e-01	8.532e-01	1.724e+00	2.449e+00	9.259e-01	9.281e-01	5.917e-01	5.926e-01	5.988e-01	5.997e-01	1.531e+00	1.255e+00	0.000e+00	0.000e+00	4.608e-01	4.614e-01	2.778e+00	2.798e+00	1.114e+00	7.901e-01	1.203e+00	6.449e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.429e+00	2.028e+00	2.703e+00	3.849e+00	5.736e-01	4.690e-01	0.000e+00	0.000e+00	7.246e-01	4.591e-01	0.000e+00	0.000e+00	8.772e-01	1.243e+00	1.351e+00	9.588e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.882e+00	5.974e+00	4.762e+00	6.818e+00	0.000e+00	0.000e+00	6.645e-01	6.656e-01	1.333e+00	1.892e+00	0.000e+00	0.000e+00	1.000e+00	1.418e+00	0.000e+00	0.000e+00	1.493e+00	2.119e+00	1.600e+00	1.606e+00	0.000e+00	0.000e+00	1.250e+00	1.773e+00	1.990e+00	1.414e+00	1.182e+00	5.926e-01
4	1.235e+00	1.238e+00	0.000e+00	0.000e+00	7.722e-01	7.737e-01	1.114e+00	7.901e-01	2.882e-01	4.078e-01	5.236e-01	7.414e-01	5.000e+00	7.164e+00	1.831e+00	9.196e-01	0.000e+00	0.000e+00	1.070e+00	7.583e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.923e+00	2.733e+00	0.000e+00	0.000e+00	7.394e-01	5.238e-01	0.000e+00	0.000e+00	7.143e-01	4.526e-01	1.980e+00	1.990e+00	0.000e+00	0.000e+00	1.000e+00	8.186e-01	7.435e-01	7.449e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.250e+00	1.773e+00	1.974e+00	1.145e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.547e-01	1.211e+00	1.667e+00	2.367e+00	1.613e+00	2.290e+00	4.396e+00	3.144e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.000e-01	5.663e-01	5.391e-01	3.817e-01
5	6.173e-01	8.743e-01	5.634e+00	4.043e+00	8.264e-01	8.282e-01	8.357e-01	6.837e-01	1.425e+00	9.042e-01	4.831e-01	6.840e-01	0.000e+00	0.000e+00	6.397e-01	5.231e-01	1.351e+00	1.918e+00	1.081e+00	7.665e-01	1.543e+00	6.928e-01	1.852e+00	2.631e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.449e+00	6.857e-01	0.000e+00	0.000e+00	1.102e+00	5.525e-01	1.639e+00	1.646e+00	0.000e+00	0.000e+00	1.359e+00	8.623e-01	3.300e-01	4.671e-01	5.917e-01	8.381e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.696e-01	1.232e+00	5.650e-01	5.658e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.099e+00	1.558e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.222e+00	3.161e+00	3.676e-01	5.204e-01	1.958e+00	7.186e-01
6	1.117e+00	1.120e+00	1.053e+00	1.493e+00	1.007e+00	8.241e-01	1.005e+00	7.125e-01	1.695e+00	9.099e-01	1.015e+00	1.018e+00	0.000e+00	0.000e+00	1.408e+00	7.555e-01	1.299e+00	1.843e+00	5.495e-01	5.502e-01	3.026e-01	3.028e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.952e-01	4.215e-01	0.000e+00	0.000e+00	9.550e-01	5.117e-01	6.135e-01	8.690e-01	1.538e+00	1.544e+00	1.389e+00	8.815e-01	1.003e+00	8.213e-01	6.211e-01	8.798e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.740e-01	3.877e-01	0.000e+00	0.000e+00	2.326e+00	3.308e+00	1.000e+00	1.418e+00	1.449e+00	2.057e+00	2.273e+00	3.233e+00	3.704e+00	2.644e+00	0.000e+00	0.000e+00	1.754e+00	2.492e+00	1.149e+00	9.412e-01	9.186e-01	4.922e-01
7	9.615e-01	9.639e-01	2.703e+00	2.721e+00	1.258e+00	8.923e-01	1.229e+00	7.794e-01	7.389e-01	6.044e-01	7.692e-01	7.707e-01	9.091e+00	1.317e+01	1.158e+00	6.707e-01	2.469e+00	2.485e+00	4.831e-01	4.837e-01	1.646e+00	6.748e-01	0.000e+00	0.000e+00	1.176e+00	1.669e+00	1.667e+00	2.367e+00	0.000e+00	0.000e+00	5.997e-01	4.247e-01	0.000e+00	0.000e+00	1.221e+00	5.774e-01	6.369e-01	9.022e-01	6.667e-01	9.444e-01	7.444e-01	6.090e-01	9.231e-01	7.554e-01	2.326e+00	1.654e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.058e+00	7.503e-01	2.410e+00	2.424e+00	2.564e+00	3.650e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.493e+00	2.119e+00	0.000e+00	0.000e+00	6.993e-01	7.005e-01	1.884e+00	6.914e-01
8	0.000e+00	0.000e+00	2.273e+00	2.286e+00	5.602e-01	5.610e-01	7.353e-01	6.015e-01	2.088e+00	9.896e-01	1.881e+00	1.091e+00	9.091e+00	1.317e+01	1.326e+00	7.110e-01	1.087e+00	1.541e+00	1.171e+00	7.428e-01	1.014e+00	5.083e-01	0.000e+00	0.000e+00	8.929e-01	1.266e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.140e+00	5.714e-01	0.000e+00	0.000e+00	9.501e-01	4.762e-01	1.415e+00	1.160e+00	1.307e+00	1.312e+00	1.442e+00	8.358e-01	3.096e-01	4.382e-01	4.785e-01	6.775e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.190e+00	7.552e-01	9.434e-01	1.337e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.087e+00	1.541e+00	1.408e+00	1.999e+00	0.000e+00	0.000e+00	1.742e+00	1.107e+00	1.060e+00	5.312e-01
9	9.804e-01	9.828e-01	0.000e+00	0.000e+00	1.630e+00	9.452e-01	9.901e-01	6.278e-01	9.050e-01	6.414e-01	6.944e-01	6.957e-01	0.000e+00	0.000e+00	2.273e+00	8.966e-01	0.000e+00	0.000e+00	1.053e+00	7.463e-01	1.175e+00	5.271e-01	3.030e+00	3.054e+00	1.163e+00	1.649e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.050e+00	5.263e-01	0.000e+00	0.000e+00	9.604e-01	4.814e-01	8.621e-01	8.639e-01	5.348e-01	7.573e-01	7.229e-01	5.913e-01	5.602e-01	5.610e-01	8.658e-01	8.677e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.327e+00	7.690e-01	2.128e+00	2.139e+00	2.000e+00	2.843e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.389e+00	1.971e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.515e+00	2.151e+00	9.646e-01	7.895e-01	1.020e+00	5.115e-01
10	8.584e-01	8.602e-01	0.000e+00	0.000e+00	4.831e-01	4.837e-01	1.679e+00	7.949e-01	5.848e-01	4.782e-01	8.929e-01	7.307e-01	0.000e+00	0.000e+00	5.025e-01	4.108e-01	1.124e+00	1.594e+00	4.717e-01	4.723e-01	1.018e+00	4.812e-01	0.000e+00	0.000e+00	2.597e+00	2.615e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.050e+00	4.964e-01	0.000e+00	0.000e+00	1.079e+00	4.837e-01	1.531e+00	1.255e+00	5.682e-01	8.047e-01	1.116e+00	7.079e-01	5.618e-01	5.626e-01	1.873e+00	1.190e+00	9.091e+00	7.606e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	4.988e-01	4.994e-01	1.031e+00	1.462e+00	2.083e+00	2.962e+00	1.613e+00	1.619e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	8.333e-01	6.818e-01	8.816e-01	4.723e-01
