# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=1		POL=2		POL=4		POL=2		POL=3		POL=1		POL=1		POL=1		POL=2		POL=2		POL=2		POL=5		POL=0		POL=2		POL=0		POL=1		POL=3		POL=1		POL=2		POL=2		POL=1		POL=1		POL=2		POL=0		POL=0		POL=2		POL=1		POL=5		POL=3		POL=2		POL=3		POL=5		POL=0		POL=2		POL=0		POL=2		POL=5	
1	5.600e+01	7.483e+00	1.360e+02	1.166e+01	6.000e+01	7.746e+00	9.700e+01	9.849e+00	1.620e+02	1.273e+01	1.100e+01	3.317e+00	1.650e+02	1.285e+01	1.160e+02	1.077e+01	6.800e+01	8.246e+00	3.110e+02	1.764e+01	2.010e+02	1.418e+01	1.500e+01	3.873e+00	3.220e+02	1.794e+01	4.313e+03	6.567e+01	2.300e+01	4.796e+00	1.080e+02	1.039e+01	2.000e+01	4.472e+00	2.770e+02	1.664e+01	1.300e+01	3.606e+00	5.700e+01	7.550e+00	8.900e+01	9.434e+00	7.600e+01	8.718e+00	4.900e+01	7.000e+00	2.100e+01	4.583e+00	2.300e+01	4.796e+00	2.300e+01	4.796e+00	8.000e+01	8.944e+00	4.200e+01	6.481e+00	5.300e+01	7.280e+00	2.160e+02	1.470e+01	9.300e+01	9.644e+00	6.100e+01	7.810e+00	2.690e+02	1.640e+01	3.700e+01	6.083e+00	1.980e+02	1.407e+01	6.500e+01	8.062e+00	5.510e+02	2.347e+01
2	5.400e+01	7.348e+00	1.640e+02	1.281e+01	5.300e+01	7.280e+00	9.700e+01	9.849e+00	1.750e+02	1.323e+01	2.400e+01	4.899e+00	2.170e+02	1.473e+01	1.050e+02	1.025e+01	9.000e+01	9.487e+00	3.540e+02	1.881e+01	2.080e+02	1.442e+01	3.700e+01	6.083e+00	4.200e+02	2.049e+01	5.562e+03	7.458e+01	3.100e+01	5.568e+00	1.050e+02	1.025e+01	1.800e+01	4.243e+00	2.490e+02	1.578e+01	1.600e+01	4.000e+00	6.600e+01	8.124e+00	8.600e+01	9.274e+00	5.400e+01	7.348e+00	3.800e+01	6.164e+00	1.400e+01	3.742e+00	1.900e+01	4.359e+00	3.300e+01	5.745e+00	7.400e+01	8.602e+00	5.400e+01	7.348e+00	5.500e+01	7.416e+00	1.530e+02	1.237e+01	8.900e+01	9.434e+00	5.200e+01	7.211e+00	2.250e+02	1.500e+01	2.500e+01	5.000e+00	1.730e+02	1.315e+01	6.900e+01	8.307e+00	6.280e+02	2.506e+01
3	4.100e+01	6.403e+00	1.700e+02	1.304e+01	6.000e+01	7.746e+00	1.270e+02	1.127e+01	1.740e+02	1.319e+01	3.300e+01	5.745e+00	2.500e+02	1.581e+01	1.210e+02	1.100e+01	1.220e+02	1.105e+01	3.040e+02	1.744e+01	2.480e+02	1.575e+01	3.500e+01	5.916e+00	4.190e+02	2.047e+01	6.680e+03	8.173e+01	2.600e+01	5.099e+00	1.440e+02	1.200e+01	3.900e+01	6.245e+00	2.610e+02	1.616e+01	1.700e+01	4.123e+00	7.000e+01	8.367e+00	9.300e+01	9.644e+00	5.200e+01	7.211e+00	4.600e+01	6.782e+00	1.900e+01	4.359e+00	2.700e+01	5.196e+00	3.600e+01	6.000e+00	6.600e+01	8.124e+00	4.500e+01	6.708e+00	6.000e+01	7.746e+00	1.300e+02	1.140e+01	6.800e+01	8.246e+00	4.200e+01	6.481e+00	1.950e+02	1.396e+01	2.700e+01	5.196e+00	1.080e+02	1.039e+01	9.600e+01	9.798e+00	8.090e+02	2.844e+01
4	4.000e+01	6.325e+00	2.110e+02	1.453e+01	5.700e+01	7.550e+00	1.080e+02	1.039e+01	1.750e+02	1.323e+01	4.200e+01	6.481e+00	2.350e+02	1.533e+01	1.260e+02	1.122e+01	1.530e+02	1.237e+01	3.740e+02	1.934e+01	2.480e+02	1.575e+01	4.800e+01	6.928e+00	5.370e+02	2.317e+01	7.903e+03	8.890e+01	2.400e+01	4.899e+00	1.370e+02	1.170e+01	3.700e+01	6.083e+00	2.570e+02	1.603e+01	1.800e+01	4.243e+00	9.100e+01	9.539e+00	9.100e+01	9.539e+00	6.700e+01	8.185e+00	6.000e+01	7.746e+00	3.100e+01	5.568e+00	1.700e+01	4.123e+00	3.500e+01	5.916e+00	1.040e+02	1.020e+01	5.400e+01	7.348e+00	6.000e+01	7.746e+00	1.190e+02	1.091e+01	6.300e+01	7.937e+00	6.100e+01	7.810e+00	1.700e+02	1.304e+01	3.100e+01	5.568e+00	9.100e+01	9.539e+00	1.180e+02	1.086e+01	7.800e+02	2.793e+01
5	6.800e+01	8.246e+00	1.990e+02	1.411e+01	7.800e+01	8.832e+00	1.210e+02	1.100e+01	1.760e+02	1.327e+01	3.100e+01	5.568e+00	2.510e+02	1.584e+01	1.450e+02	1.204e+01	1.580e+02	1.257e+01	3.710e+02	1.926e+01	2.790e+02	1.670e+01	6.100e+01	7.810e+00	4.830e+02	2.198e+01	8.322e+03	9.122e+01	3.000e+01	5.477e+00	1.740e+02	1.319e+01	3.300e+01	5.745e+00	2.860e+02	1.691e+01	2.300e+01	4.796e+00	9.300e+01	9.644e+00	1.080e+02	1.039e+01	7.500e+01	8.660e+00	6.400e+01	8.000e+00	2.700e+01	5.196e+00	1.800e+01	4.243e+00	4.600e+01	6.782e+00	1.030e+02	1.015e+01	5.300e+01	7.280e+00	5.100e+01	7.141e+00	1.110e+02	1.054e+01	7.500e+01	8.660e+00	4.900e+01	7.000e+00	1.330e+02	1.153e+01	3.900e+01	6.245e+00	7.900e+01	8.888e+00	1.310e+02	1.145e+01	7.790e+02	2.791e+01
6	6.300e+01	7.937e+00	2.780e+02	1.667e+01	9.000e+01	9.487e+00	1.480e+02	1.217e+01	2.550e+02	1.597e+01	3.300e+01	5.745e+00	2.790e+02	1.670e+01	1.660e+02	1.288e+01	1.740e+02	1.319e+01	3.810e+02	1.952e+01	3.540e+02	1.881e+01	6.600e+01	8.124e+00	5.080e+02	2.254e+01	9.912e+03	9.956e+01	3.200e+01	5.657e+00	1.820e+02	1.349e+01	3.900e+01	6.245e+00	2.690e+02	1.640e+01	4.000e+01	6.325e+00	8.900e+01	9.434e+00	1.310e+02	1.145e+01	7.900e+01	8.888e+00	8.400e+01	9.165e+00	4.300e+01	6.557e+00	2.400e+01	4.899e+00	4.600e+01	6.782e+00	1.160e+02	1.077e+01	6.300e+01	7.937e+00	7.300e+01	8.544e+00	1.320e+02	1.149e+01	7.400e+01	8.602e+00	6.100e+01	7.810e+00	1.320e+02	1.149e+01	4.600e+01	6.782e+00	5.900e+01	7.681e+00	1.330e+02	1.153e+01	7.030e+02	2.651e+01
7	5.500e+01	7.416e+00	2.350e+02	1.533e+01	1.130e+02	1.063e+01	1.720e+02	1.311e+01	2.400e+02	1.549e+01	4.200e+01	6.481e+00	3.510e+02	1.873e+01	1.910e+02	1.382e+01	1.830e+02	1.353e+01	3.710e+02	1.926e+01	3.920e+02	1.980e+01	6.500e+01	8.062e+00	5.020e+02	2.241e+01	1.012e+04	1.006e+02	3.500e+01	5.916e+00	1.940e+02	1.393e+01	5.400e+01	7.348e+00	3.120e+02	1.766e+01	4.400e+01	6.633e+00	1.050e+02	1.025e+01	1.530e+02	1.237e+01	1.010e+02	1.005e+01	9.200e+01	9.592e+00	3.700e+01	6.083e+00	2.200e+01	4.690e+00	6.000e+01	7.746e+00	1.420e+02	1.192e+01	5.900e+01	7.681e+00	5.300e+01	7.280e+00	1.350e+02	1.162e+01	5.400e+01	7.348e+00	5.400e+01	7.348e+00	9.900e+01	9.950e+00	4.800e+01	6.928e+00	6.300e+01	7.937e+00	1.360e+02	1.166e+01	6.340e+02	2.518e+01
8	8.300e+01	9.110e+00	2.680e+02	1.637e+01	1.100e+02	1.049e+01	1.740e+02	1.319e+01	2.530e+02	1.591e+01	4.200e+01	6.481e+00	3.700e+02	1.924e+01	2.140e+02	1.463e+01	2.100e+02	1.449e+01	4.010e+02	2.002e+01	3.940e+02	1.985e+01	7.000e+01	8.367e+00	5.260e+02	2.293e+01	1.076e+04	1.037e+02	4.000e+01	6.325e+00	1.950e+02	1.396e+01	5.600e+01	7.483e+00	3.200e+02	1.789e+01	5.100e+01	7.141e+00	1.240e+02	1.114e+01	1.370e+02	1.170e+01	1.180e+02	1.086e+01	1.090e+02	1.044e+01	3.900e+01	6.245e+00	2.800e+01	5.292e+00	6.500e+01	8.062e+00	1.710e+02	1.308e+01	5.800e+01	7.616e+00	4.700e+01	6.856e+00	1.110e+02	1.054e+01	7.800e+01	8.832e+00	5.700e+01	7.550e+00	9.800e+01	9.899e+00	5.700e+01	7.550e+00	6.000e+01	7.746e+00	1.130e+02	1.063e+01	5.310e+02	2.304e+01
9	6.500e+01	8.062e+00	2.590e+02	1.609e+01	1.430e+02	1.196e+01	2.140e+02	1.463e+01	3.040e+02	1.744e+01	4.300e+01	6.557e+00	3.180e+02	1.783e+01	2.080e+02	1.442e+01	1.790e+02	1.338e+01	3.820e+02	1.954e+01	4.220e+02	2.054e+01	6.500e+01	8.062e+00	5.180e+02	2.276e+01	1.123e+04	1.060e+02	3.000e+01	5.477e+00	2.910e+02	1.706e+01	4.600e+01	6.782e+00	3.200e+02	1.789e+01	3.800e+01	6.164e+00	1.340e+02	1.158e+01	1.740e+02	1.319e+01	1.290e+02	1.136e+01	1.030e+02	1.015e+01	4.100e+01	6.403e+00	3.600e+01	6.000e+00	5.700e+01	7.550e+00	1.540e+02	1.241e+01	7.100e+01	8.426e+00	5.200e+01	7.211e+00	1.480e+02	1.217e+01	7.200e+01	8.485e+00	5.600e+01	7.483e+00	1.030e+02	1.015e+01	4.300e+01	6.557e+00	8.000e+01	8.944e+00	1.440e+02	1.200e+01	5.100e+02	2.258e+01
10	6.300e+01	7.937e+00	2.800e+02	1.673e+01	1.530e+02	1.237e+01	2.380e+02	1.543e+01	3.440e+02	1.855e+01	5.000e+01	7.071e+00	3.200e+02	1.789e+01	2.330e+02	1.526e+01	1.900e+02	1.378e+01	3.870e+02	1.967e+01	4.840e+02	2.200e+01	6.200e+01	7.874e+00	4.780e+02	2.186e+01	1.096e+04	1.047e+02	3.300e+01	5.745e+00	3.040e+02	1.744e+01	5.200e+01	7.211e+00	3.640e+02	1.908e+01	4.400e+01	6.633e+00	1.570e+02	1.253e+01	1.770e+02	1.330e+01	1.300e+02	1.140e+01	1.220e+02	1.105e+01	3.500e+01	5.916e+00	3.900e+01	6.245e+00	4.900e+01	7.000e+00	1.790e+02	1.338e+01	7.100e+01	8.426e+00	4.800e+01	6.928e+00	1.390e+02	1.179e+01	8.300e+01	9.110e+00	7.300e+01	8.544e+00	1.170e+02	1.082e+01	6.000e+01	7.746e+00	8.100e+01	9.000e+00	1.500e+02	1.225e+01	4.360e+02	2.088e+01
11	8.200e+01	9.055e+00	2.560e+02	1.600e+01	1.670e+02	1.292e+01	2.140e+02	1.463e+01	3.650e+02	1.910e+01	3.800e+01	6.164e+00	4.160e+02	2.040e+01	2.670e+02	1.634e+01	1.960e+02	1.400e+01	3.910e+02	1.977e+01	5.040e+02	2.245e+01	6.800e+01	8.246e+00	5.620e+02	2.371e+01	1.149e+04	1.072e+02	4.500e+01	6.708e+00	2.870e+02	1.694e+01	4.600e+01	6.782e+00	3.850e+02	1.962e+01	5.100e+01	7.141e+00	1.310e+02	1.145e+01	1.750e+02	1.323e+01	1.190e+02	1.091e+01	1.320e+02	1.149e+01	3.700e+01	6.083e+00	2.700e+01	5.196e+00	7.200e+01	8.485e+00	1.830e+02	1.353e+01	7.300e+01	8.544e+00	5.800e+01	7.616e+00	1.630e+02	1.277e+01	7.400e+01	8.602e+00	6.800e+01	8.246e+00	1.100e+02	1.049e+01	5.200e+01	7.211e+00	8.000e+01	8.944e+00	1.590e+02	1.261e+01	3.990e+02	1.997e+01
