# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_sample17_3/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37
# plane	POL=0		POL=3		POL=3		POL=5		POL=4		POL=0		POL=0		POL=0		POL=5		POL=3		POL=5		POL=4		POL=3		POL=0		POL=2		POL=5		POL=0		POL=0		POL=3		POL=5		POL=0		POL=0		POL=3		POL=3		POL=3		POL=5		POL=0		POL=3		POL=3		POL=3		POL=4		POL=0		POL=3		POL=3		POL=5		POL=5		POL=3	
1	5.066e+03	7.118e+01	8.906e+03	9.437e+01	7.358e+03	8.578e+01	1.402e+04	1.184e+02	1.314e+04	1.146e+02	5.840e+02	2.417e+01	7.584e+03	8.709e+01	1.453e+04	1.206e+02	7.544e+03	8.686e+01	2.759e+04	1.661e+02	2.451e+04	1.566e+02	7.183e+03	8.475e+01	2.159e+04	1.469e+02	3.738e+04	1.934e+02	6.223e+03	7.889e+01	2.098e+04	1.449e+02	4.218e+03	6.495e+01	1.316e+04	1.147e+02	3.690e+03	6.075e+01	9.498e+03	9.746e+01	9.396e+03	9.693e+01	8.304e+03	9.113e+01	1.022e+04	1.011e+02	3.043e+03	5.516e+01	2.913e+03	5.397e+01	4.582e+03	6.769e+01	1.575e+04	1.255e+02	5.490e+03	7.409e+01	3.611e+03	6.009e+01	1.058e+04	1.028e+02	7.673e+03	8.760e+01	6.857e+03	8.281e+01	1.256e+04	1.121e+02	4.558e+03	6.751e+01	7.432e+03	8.621e+01	1.446e+04	1.202e+02	2.738e+04	1.655e+02
2	8.981e+03	9.477e+01	9.252e+03	9.619e+01	7.827e+03	8.847e+01	1.494e+04	1.222e+02	1.384e+04	1.176e+02	2.387e+03	4.886e+01	1.001e+04	1.001e+02	1.938e+04	1.392e+02	9.269e+03	9.628e+01	2.752e+04	1.659e+02	3.147e+04	1.774e+02	7.411e+03	8.609e+01	2.100e+04	1.449e+02	3.247e+04	1.802e+02	5.992e+03	7.741e+01	2.239e+04	1.496e+02	3.575e+03	5.979e+01	2.008e+04	1.417e+02	3.535e+03	5.946e+01	9.551e+03	9.773e+01	1.401e+04	1.184e+02	1.096e+04	1.047e+02	9.444e+03	9.718e+01	3.006e+03	5.483e+01	2.982e+03	5.461e+01	4.862e+03	6.973e+01	2.262e+04	1.504e+02	5.727e+03	7.568e+01	3.512e+03	5.926e+01	9.596e+03	9.796e+01	6.870e+03	8.289e+01	5.964e+03	7.723e+01	1.141e+04	1.068e+02	4.530e+03	6.731e+01	6.427e+03	8.017e+01	1.520e+04	1.233e+02	2.544e+04	1.595e+02
3	9.356e+03	9.673e+01	8.857e+03	9.411e+01	7.988e+03	8.938e+01	1.494e+04	1.222e+02	1.404e+04	1.185e+02	8.742e+03	9.350e+01	1.158e+04	1.076e+02	2.013e+04	1.419e+02	9.840e+03	9.920e+01	2.716e+04	1.648e+02	3.688e+04	1.920e+02	6.991e+03	8.361e+01	1.995e+04	1.412e+02	3.069e+04	1.752e+02	5.765e+03	7.593e+01	2.324e+04	1.525e+02	3.200e+03	5.657e+01	2.630e+04	1.622e+02	3.463e+03	5.885e+01	9.262e+03	9.624e+01	1.426e+04	1.194e+02	1.123e+04	1.060e+02	9.052e+03	9.514e+01	2.832e+03	5.322e+01	2.699e+03	5.195e+01	4.823e+03	6.945e+01	2.203e+04	1.484e+02	5.622e+03	7.498e+01	3.377e+03	5.811e+01	9.002e+03	9.488e+01	6.494e+03	8.059e+01	5.569e+03	7.463e+01	1.071e+04	1.035e+02	4.345e+03	6.592e+01	5.982e+03	7.734e+01	1.501e+04	1.225e+02	2.453e+04	1.566e+02
4	9.284e+03	9.635e+01	8.885e+03	9.426e+01	8.322e+03	9.122e+01	1.496e+04	1.223e+02	1.350e+04	1.162e+02	1.343e+04	1.159e+02	1.226e+04	1.107e+02	1.989e+04	1.410e+02	1.014e+04	1.007e+02	2.844e+04	1.687e+02	3.862e+04	1.965e+02	7.204e+03	8.488e+01	1.938e+04	1.392e+02	2.902e+04	1.704e+02	5.482e+03	7.404e+01	2.377e+04	1.542e+02	2.906e+03	5.391e+01	2.812e+04	1.677e+02	3.451e+03	5.875e+01	9.110e+03	9.545e+01	1.414e+04	1.189e+02	1.136e+04	1.066e+02	8.808e+03	9.385e+01	2.799e+03	5.291e+01	2.754e+03	5.248e+01	4.678e+03	6.840e+01	2.140e+04	1.463e+02	5.372e+03	7.329e+01	3.348e+03	5.786e+01	8.445e+03	9.190e+01	6.256e+03	7.909e+01	5.389e+03	7.341e+01	1.035e+04	1.017e+02	4.460e+03	6.678e+01	5.445e+03	7.379e+01	1.471e+04	1.213e+02	2.369e+04	1.539e+02
5	9.251e+03	9.618e+01	8.390e+03	9.160e+01	8.024e+03	8.958e+01	1.482e+04	1.217e+02	1.370e+04	1.171e+02	1.406e+04	1.186e+02	1.298e+04	1.139e+02	2.093e+04	1.447e+02	1.031e+04	1.015e+02	2.787e+04	1.669e+02	3.833e+04	1.958e+02	6.884e+03	8.297e+01	1.906e+04	1.380e+02	2.820e+04	1.679e+02	5.113e+03	7.151e+01	2.421e+04	1.556e+02	2.772e+03	5.265e+01	2.897e+04	1.702e+02	3.496e+03	5.913e+01	8.583e+03	9.264e+01	1.405e+04	1.185e+02	1.170e+04	1.082e+02	8.438e+03	9.186e+01	2.672e+03	5.169e+01	2.553e+03	5.053e+01	4.523e+03	6.725e+01	2.108e+04	1.452e+02	5.354e+03	7.317e+01	3.314e+03	5.757e+01	8.308e+03	9.115e+01	5.933e+03	7.703e+01	5.111e+03	7.149e+01	9.882e+03	9.941e+01	4.213e+03	6.491e+01	5.224e+03	7.228e+01	1.428e+04	1.195e+02	2.270e+04	1.507e+02
6	9.087e+03	9.533e+01	8.407e+03	9.169e+01	8.087e+03	8.993e+01	1.458e+04	1.207e+02	1.359e+04	1.166e+02	1.394e+04	1.181e+02	1.316e+04	1.147e+02	2.159e+04	1.469e+02	1.042e+04	1.021e+02	2.712e+04	1.647e+02	3.823e+04	1.955e+02	6.467e+03	8.042e+01	1.889e+04	1.375e+02	2.770e+04	1.664e+02	4.983e+03	7.059e+01	2.414e+04	1.554e+02	2.665e+03	5.162e+01	2.856e+04	1.690e+02	3.436e+03	5.862e+01	8.233e+03	9.074e+01	1.396e+04	1.182e+02	1.173e+04	1.083e+02	8.194e+03	9.052e+01	2.608e+03	5.107e+01	2.395e+03	4.894e+01	4.451e+03	6.672e+01	2.086e+04	1.444e+02	5.235e+03	7.235e+01	3.285e+03	5.731e+01	8.216e+03	9.064e+01	5.750e+03	7.583e+01	5.016e+03	7.082e+01	9.583e+03	9.789e+01	4.157e+03	6.447e+01	5.000e+03	7.071e+01	1.391e+04	1.179e+02	2.184e+04	1.478e+02
7	9.208e+03	9.596e+01	8.151e+03	9.028e+01	7.914e+03	8.896e+01	1.445e+04	1.202e+02	1.373e+04	1.172e+02	1.381e+04	1.175e+02	1.343e+04	1.159e+02	2.226e+04	1.492e+02	1.041e+04	1.020e+02	2.705e+04	1.645e+02	3.826e+04	1.956e+02	6.459e+03	8.037e+01	1.850e+04	1.360e+02	2.734e+04	1.653e+02	4.829e+03	6.949e+01	2.411e+04	1.553e+02	2.599e+03	5.098e+01	2.877e+04	1.696e+02	3.270e+03	5.718e+01	7.946e+03	8.914e+01	1.381e+04	1.175e+02	1.177e+04	1.085e+02	7.793e+03	8.828e+01	2.554e+03	5.054e+01	2.336e+03	4.833e+01	4.408e+03	6.639e+01	2.049e+04	1.432e+02	5.173e+03	7.192e+01	3.362e+03	5.798e+01	7.976e+03	8.931e+01	5.505e+03	7.420e+01	4.869e+03	6.978e+01	9.428e+03	9.710e+01	4.098e+03	6.402e+01	4.872e+03	6.980e+01	1.368e+04	1.170e+02	2.075e+04	1.441e+02
8	9.023e+03	9.499e+01	7.982e+03	8.934e+01	7.868e+03	8.870e+01	1.411e+04	1.188e+02	1.355e+04	1.164e+02	1.371e+04	1.171e+02	1.366e+04	1.169e+02	2.257e+04	1.502e+02	1.033e+04	1.017e+02	2.682e+04	1.638e+02	3.766e+04	1.941e+02	6.083e+03	7.799e+01	1.831e+04	1.353e+02	2.675e+04	1.636e+02	4.776e+03	6.911e+01	2.353e+04	1.534e+02	2.570e+03	5.070e+01	2.890e+04	1.700e+02	3.153e+03	5.615e+01	7.640e+03	8.741e+01	1.374e+04	1.172e+02	1.184e+04	1.088e+02	7.556e+03	8.693e+01	2.418e+03	4.917e+01	2.290e+03	4.785e+01	4.338e+03	6.586e+01	2.011e+04	1.418e+02	5.047e+03	7.104e+01	3.315e+03	5.758e+01	7.713e+03	8.782e+01	5.435e+03	7.372e+01	4.718e+03	6.869e+01	9.355e+03	9.672e+01	3.860e+03	6.213e+01	4.800e+03	6.928e+01	1.306e+04	1.143e+02	1.997e+04	1.413e+02
9	9.114e+03	9.547e+01	7.931e+03	8.906e+01	7.890e+03	8.883e+01	1.384e+04	1.177e+02	1.320e+04	1.149e+02	1.346e+04	1.160e+02	1.351e+04	1.162e+02	2.294e+04	1.515e+02	1.019e+04	1.009e+02	2.649e+04	1.628e+02	3.711e+04	1.926e+02	6.007e+03	7.750e+01	1.812e+04	1.346e+02	2.662e+04	1.632e+02	4.784e+03	6.917e+01	2.300e+04	1.517e+02	2.527e+03	5.027e+01	2.865e+04	1.693e+02	3.076e+03	5.546e+01	7.354e+03	8.576e+01	1.381e+04	1.175e+02	1.185e+04	1.089e+02	7.246e+03	8.512e+01	2.379e+03	4.877e+01	2.278e+03	4.773e+01	4.373e+03	6.613e+01	2.046e+04	1.430e+02	5.068e+03	7.119e+01	3.269e+03	5.718e+01	7.733e+03	8.794e+01	5.304e+03	7.283e+01	4.723e+03	6.872e+01	9.188e+03	9.585e+01	3.887e+03	6.235e+01	4.677e+03	6.839e+01	1.290e+04	1.136e+02	1.940e+04	1.393e+02
10	9.143e+03	9.562e+01	7.927e+03	8.903e+01	7.638e+03	8.740e+01	1.368e+04	1.169e+02	1.332e+04	1.154e+02	1.299e+04	1.140e+02	1.374e+04	1.172e+02	2.349e+04	1.533e+02	1.044e+04	1.022e+02	2.602e+04	1.613e+02	3.647e+04	1.910e+02	5.838e+03	7.641e+01	1.774e+04	1.332e+02	2.625e+04	1.620e+02	4.503e+03	6.710e+01	2.271e+04	1.507e+02	2.487e+03	4.987e+01	2.864e+04	1.692e+02	2.919e+03	5.403e+01	7.203e+03	8.487e+01	1.350e+04	1.162e+02	1.183e+04	1.088e+02	7.034e+03	8.387e+01	2.348e+03	4.846e+01	2.220e+03	4.712e+01	4.415e+03	6.645e+01	2.014e+04	1.419e+02	5.084e+03	7.130e+01	3.329e+03	5.770e+01	7.735e+03	8.795e+01	5.295e+03	7.277e+01	4.594e+03	6.778e+01	9.230e+03	9.607e+01	3.770e+03	6.140e+01	4.637e+03	6.810e+01	1.261e+04	1.123e+02	1.874e+04	1.369e+02
