# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_1/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=3		POL=4		POL=1		POL=2		POL=2		POL=5	
1	1.360e+02	1.166e+01	1.240e+02	1.114e+01	7.000e+01	8.367e+00	7.600e+01	8.718e+00	1.040e+02	1.020e+01	6.000e+00	2.449e+00	9.000e+00	3.000e+00	1.100e+01	3.317e+00	3.500e+01	5.916e+00	1.500e+01	3.873e+00	6.000e+00	2.449e+00	4.000e+00	2.000e+00
2	1.370e+02	1.170e+01	1.600e+02	1.265e+01	1.020e+02	1.010e+01	9.300e+01	9.644e+00	1.080e+02	1.039e+01	1.300e+01	3.606e+00	1.500e+01	3.873e+00	1.300e+01	3.606e+00	3.800e+01	6.164e+00	9.000e+00	3.000e+00	3.000e+00	1.732e+00	4.000e+00	2.000e+00
3	1.670e+02	1.292e+01	1.410e+02	1.187e+01	9.400e+01	9.695e+00	1.060e+02	1.030e+01	1.370e+02	1.170e+01	1.500e+01	3.873e+00	2.100e+01	4.583e+00	1.500e+01	3.873e+00	4.500e+01	6.708e+00	1.800e+01	4.243e+00	4.000e+00	2.000e+00	7.000e+00	2.646e+00
4	1.640e+02	1.281e+01	1.700e+02	1.304e+01	1.050e+02	1.025e+01	1.210e+02	1.100e+01	1.330e+02	1.153e+01	1.500e+01	3.873e+00	2.400e+01	4.899e+00	8.000e+00	2.828e+00	3.200e+01	5.657e+00	1.600e+01	4.000e+00	1.000e+01	3.162e+00	4.000e+00	2.000e+00
5	1.680e+02	1.296e+01	1.750e+02	1.323e+01	1.020e+02	1.010e+01	1.160e+02	1.077e+01	1.340e+02	1.158e+01	1.500e+01	3.873e+00	3.500e+01	5.916e+00	1.500e+01	3.873e+00	2.800e+01	5.292e+00	2.800e+01	5.292e+00	6.000e+00	2.449e+00	8.000e+00	2.828e+00
6	2.040e+02	1.428e+01	1.950e+02	1.396e+01	1.140e+02	1.068e+01	1.340e+02	1.158e+01	1.520e+02	1.233e+01	1.600e+01	4.000e+00	3.400e+01	5.831e+00	2.000e+00	1.414e+00	4.300e+01	6.557e+00	2.000e+01	4.472e+00	4.000e+00	2.000e+00	6.000e+00	2.449e+00
7	2.080e+02	1.442e+01	2.010e+02	1.418e+01	1.220e+02	1.105e+01	1.290e+02	1.136e+01	1.830e+02	1.353e+01	2.500e+01	5.000e+00	4.600e+01	6.782e+00	1.600e+01	4.000e+00	4.500e+01	6.708e+00	1.800e+01	4.243e+00	9.000e+00	3.000e+00	8.000e+00	2.828e+00
8	2.110e+02	1.453e+01	2.270e+02	1.507e+01	1.390e+02	1.179e+01	1.510e+02	1.229e+01	2.040e+02	1.428e+01	1.800e+01	4.243e+00	3.800e+01	6.164e+00	1.700e+01	4.123e+00	4.700e+01	6.856e+00	2.500e+01	5.000e+00	2.000e+00	1.414e+00	6.000e+00	2.449e+00
9	2.360e+02	1.536e+01	2.320e+02	1.523e+01	1.380e+02	1.175e+01	1.530e+02	1.237e+01	2.020e+02	1.421e+01	2.700e+01	5.196e+00	6.400e+01	8.000e+00	2.300e+01	4.796e+00	4.000e+01	6.325e+00	1.900e+01	4.359e+00	8.000e+00	2.828e+00	9.000e+00	3.000e+00
10	2.610e+02	1.616e+01	2.520e+02	1.587e+01	1.650e+02	1.285e+01	1.680e+02	1.296e+01	2.270e+02	1.507e+01	3.100e+01	5.568e+00	4.200e+01	6.481e+00	1.600e+01	4.000e+00	4.200e+01	6.481e+00	1.900e+01	4.359e+00	6.000e+00	2.449e+00	7.000e+00	2.646e+00
11	2.780e+02	1.667e+01	2.760e+02	1.661e+01	1.520e+02	1.233e+01	1.640e+02	1.281e+01	2.180e+02	1.476e+01	3.100e+01	5.568e+00	4.900e+01	7.000e+00	1.500e+01	3.873e+00	4.900e+01	7.000e+00	1.400e+01	3.742e+00	7.000e+00	2.646e+00	8.000e+00	2.828e+00
12	2.740e+02	1.655e+01	2.760e+02	1.661e+01	1.680e+02	1.296e+01	1.890e+02	1.375e+01	2.370e+02	1.539e+01	2.300e+01	4.796e+00	5.200e+01	7.211e+00	2.000e+01	4.472e+00	5.200e+01	7.211e+00	3.000e+01	5.477e+00	7.000e+00	2.646e+00	9.000e+00	3.000e+00
13	2.860e+02	1.691e+01	2.970e+02	1.723e+01	1.700e+02	1.304e+01	2.110e+02	1.453e+01	2.740e+02	1.655e+01	1.900e+01	4.359e+00	5.400e+01	7.348e+00	1.300e+01	3.606e+00	4.700e+01	6.856e+00	2.400e+01	4.899e+00	1.000e+01	3.162e+00	9.000e+00	3.000e+00
14	3.260e+02	1.806e+01	3.130e+02	1.769e+01	2.000e+02	1.414e+01	2.100e+02	1.449e+01	2.860e+02	1.691e+01	4.200e+01	6.481e+00	4.700e+01	6.856e+00	1.600e+01	4.000e+00	5.300e+01	7.280e+00	2.500e+01	5.000e+00	8.000e+00	2.828e+00	4.000e+00	2.000e+00
15	3.310e+02	1.819e+01	3.670e+02	1.916e+01	2.050e+02	1.432e+01	1.980e+02	1.407e+01	3.080e+02	1.755e+01	3.300e+01	5.745e+00	3.100e+01	5.568e+00	1.300e+01	3.606e+00	4.500e+01	6.708e+00	2.000e+01	4.472e+00	9.000e+00	3.000e+00	8.000e+00	2.828e+00
16	3.300e+02	1.817e+01	3.500e+02	1.871e+01	2.190e+02	1.480e+01	2.510e+02	1.584e+01	2.940e+02	1.715e+01	2.900e+01	5.385e+00	3.900e+01	6.245e+00	1.800e+01	4.243e+00	6.700e+01	8.185e+00	1.900e+01	4.359e+00	1.100e+01	3.317e+00	1.000e+01	3.162e+00
17	3.490e+02	1.868e+01	3.470e+02	1.863e+01	2.370e+02	1.539e+01	2.490e+02	1.578e+01	3.180e+02	1.783e+01	2.700e+01	5.196e+00	4.800e+01	6.928e+00	2.600e+01	5.099e+00	6.500e+01	8.062e+00	2.000e+01	4.472e+00	9.000e+00	3.000e+00	1.000e+01	3.162e+00
