# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_1/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=2		POL=3		POL=1		POL=2		POL=3		POL=1		POL=3		POL=3		POL=2		POL=2		POL=5		POL=1	
1	6.766e+03	8.226e+01	6.266e+03	7.916e+01	3.773e+03	6.142e+01	4.497e+03	6.706e+01	4.855e+03	6.968e+01	3.550e+02	1.884e+01	4.390e+02	2.095e+01	3.600e+02	1.897e+01	1.227e+03	3.503e+01	6.450e+02	2.540e+01	2.190e+02	1.480e+01	1.960e+02	1.400e+01
2	7.054e+03	8.399e+01	6.543e+03	8.089e+01	3.910e+03	6.253e+01	4.601e+03	6.783e+01	5.283e+03	7.268e+01	4.430e+02	2.105e+01	6.640e+02	2.577e+01	4.640e+02	2.154e+01	1.392e+03	3.731e+01	6.730e+02	2.594e+01	2.410e+02	1.552e+01	2.310e+02	1.520e+01
3	7.309e+03	8.549e+01	7.272e+03	8.528e+01	4.307e+03	6.563e+01	4.838e+03	6.956e+01	5.804e+03	7.618e+01	4.910e+02	2.216e+01	8.490e+02	2.914e+01	5.110e+02	2.261e+01	1.569e+03	3.961e+01	6.640e+02	2.577e+01	2.500e+02	1.581e+01	2.610e+02	1.616e+01
4	8.125e+03	9.014e+01	8.296e+03	9.108e+01	4.820e+03	6.943e+01	5.357e+03	7.319e+01	6.592e+03	8.119e+01	6.040e+02	2.458e+01	1.112e+03	3.335e+01	5.290e+02	2.300e+01	1.495e+03	3.867e+01	7.170e+02	2.678e+01	2.670e+02	1.634e+01	2.940e+02	1.715e+01
5	8.749e+03	9.354e+01	8.920e+03	9.445e+01	5.171e+03	7.191e+01	5.716e+03	7.560e+01	7.344e+03	8.570e+01	6.770e+02	2.602e+01	1.275e+03	3.571e+01	5.680e+02	2.383e+01	1.521e+03	3.900e+01	7.160e+02	2.676e+01	2.050e+02	1.432e+01	2.780e+02	1.667e+01
6	9.399e+03	9.695e+01	9.552e+03	9.773e+01	5.602e+03	7.485e+01	6.222e+03	7.888e+01	7.929e+03	8.904e+01	7.310e+02	2.704e+01	1.520e+03	3.899e+01	6.370e+02	2.524e+01	1.563e+03	3.953e+01	7.770e+02	2.787e+01	2.430e+02	1.559e+01	3.040e+02	1.744e+01
7	1.012e+04	1.006e+02	1.027e+04	1.013e+02	6.239e+03	7.899e+01	6.792e+03	8.241e+01	8.596e+03	9.271e+01	8.560e+02	2.926e+01	1.666e+03	4.082e+01	7.190e+02	2.681e+01	1.684e+03	4.104e+01	7.940e+02	2.818e+01	3.180e+02	1.783e+01	3.000e+02	1.732e+01
8	1.082e+04	1.040e+02	1.136e+04	1.066e+02	6.567e+03	8.104e+01	7.263e+03	8.522e+01	9.054e+03	9.515e+01	9.660e+02	3.108e+01	1.741e+03	4.173e+01	7.240e+02	2.691e+01	1.724e+03	4.152e+01	8.730e+02	2.955e+01	3.120e+02	1.766e+01	2.970e+02	1.723e+01
9	1.155e+04	1.075e+02	1.188e+04	1.090e+02	6.948e+03	8.335e+01	7.793e+03	8.828e+01	1.007e+04	1.003e+02	1.010e+03	3.178e+01	1.856e+03	4.308e+01	7.770e+02	2.787e+01	1.969e+03	4.437e+01	8.650e+02	2.941e+01	3.520e+02	1.876e+01	3.370e+02	1.836e+01
10	1.180e+04	1.086e+02	1.240e+04	1.113e+02	7.337e+03	8.566e+01	8.117e+03	9.009e+01	1.047e+04	1.023e+02	1.017e+03	3.189e+01	1.812e+03	4.257e+01	8.120e+02	2.850e+01	1.942e+03	4.407e+01	9.460e+02	3.076e+01	4.040e+02	2.010e+01	3.460e+02	1.860e+01
