# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_1/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.038e+00	4.656e-01	5.405e-01	3.423e-01	4.107e-01	4.111e-01	7.299e-01	4.625e-01	6.154e-01	4.358e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.961e+00	2.787e+00	2.128e+00	1.513e+00	1.282e+00	1.819e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
2	7.883e-01	4.222e-01	8.526e-01	4.567e-01	4.717e-01	4.723e-01	6.601e-01	4.675e-01	1.783e+00	7.636e-01	2.128e+00	3.025e+00	2.381e+00	2.395e+00	0.000e+00	0.000e+00	5.000e-01	7.080e-01	2.410e+00	2.424e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
3	6.985e-01	4.040e-01	1.220e+00	5.216e-01	4.338e-01	4.343e-01	1.592e+00	7.150e-01	4.566e-01	3.733e-01	0.000e+00	0.000e+00	2.362e+00	1.940e+00	1.389e+00	1.971e+00	0.000e+00	0.000e+00	3.704e+00	3.053e+00	2.273e+00	3.233e+00	0.000e+00	0.000e+00
4	6.682e-01	3.864e-01	6.390e-01	3.695e-01	3.922e-01	3.925e-01	7.194e-01	4.558e-01	1.342e+00	6.023e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.176e+00	1.669e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
5	5.263e-01	3.333e-01	7.937e-01	3.976e-01	1.275e+00	6.837e-01	8.772e-01	5.076e-01	6.180e-01	3.915e-01	2.469e+00	2.485e+00	2.051e+00	1.458e+00	2.899e+00	2.920e+00	8.197e-01	8.214e-01	1.149e+00	1.630e+00	2.703e+00	3.849e+00	3.922e+00	3.961e+00
6	9.165e-01	4.330e-01	6.530e-01	3.496e-01	5.319e-01	4.349e-01	1.099e+00	5.195e-01	9.434e-01	4.728e-01	2.857e+00	2.878e+00	1.271e+00	1.041e+00	0.000e+00	0.000e+00	8.264e-01	8.282e-01	9.434e-01	1.337e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
7	1.051e+00	4.492e-01	4.496e-01	2.847e-01	9.042e-01	5.731e-01	6.075e-01	3.848e-01	1.499e+00	5.904e-01	1.111e+00	1.576e+00	8.230e-01	8.248e-01	9.091e-01	1.289e+00	7.722e-01	7.737e-01	2.885e+00	2.373e+00	0.000e+00	0.000e+00	5.882e+00	5.974e+00
8	8.167e-01	3.858e-01	6.873e-01	3.442e-01	8.264e-01	5.238e-01	6.904e-01	3.993e-01	9.250e-01	4.371e-01	1.818e+00	1.827e+00	1.674e+00	1.188e+00	2.128e+00	2.139e+00	6.601e-01	6.612e-01	2.439e+00	2.004e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
9	8.881e-01	3.981e-01	9.547e-01	3.907e-01	6.525e-01	4.622e-01	7.726e-01	4.138e-01	7.976e-01	3.996e-01	1.681e+00	1.688e+00	8.929e-01	8.949e-01	0.000e+00	0.000e+00	9.317e-01	7.625e-01	4.348e+00	2.781e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
10	6.832e-01	3.422e-01	7.369e-01	3.302e-01	1.059e+00	5.676e-01	8.511e-01	4.264e-01	1.415e+00	5.186e-01	9.615e-01	1.363e+00	1.005e+00	1.008e+00	2.198e+00	2.210e+00	2.121e+00	1.140e+00	0.000e+00	0.000e+00	2.128e+00	3.025e+00	0.000e+00	0.000e+00
11	1.330e+00	4.718e-01	8.808e-01	3.462e-01	1.376e-01	1.946e-01	7.944e-01	3.980e-01	6.267e-01	3.355e-01	1.695e+00	1.702e+00	2.151e+00	1.529e+00	2.062e+00	2.073e+00	5.882e-01	5.891e-01	9.009e-01	1.277e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
12	9.098e-01	3.723e-01	8.772e-01	3.448e-01	5.195e-01	3.678e-01	1.475e+00	5.406e-01	1.259e+00	4.465e-01	9.091e-01	1.289e+00	1.005e+00	1.008e+00	0.000e+00	0.000e+00	2.674e-01	3.784e-01	1.562e+00	1.569e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
