# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_1/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=1		POL=1		POL=4		POL=1		POL=1		POL=2		POL=3		POL=2		POL=1		POL=3		POL=0		POL=2	
1	3.240e+02	1.800e+01	3.080e+02	1.755e+01	1.630e+02	1.277e+01	2.200e+02	1.483e+01	2.050e+02	1.432e+01	7.000e+00	2.646e+00	3.800e+01	6.164e+00	2.100e+01	4.583e+00	5.900e+01	7.681e+00	3.000e+01	5.477e+00	1.400e+01	3.742e+00	7.000e+00	2.646e+00
2	2.550e+02	1.597e+01	2.770e+02	1.664e+01	1.740e+02	1.319e+01	2.140e+02	1.463e+01	2.190e+02	1.480e+01	1.100e+01	3.317e+00	5.800e+01	7.616e+00	4.000e+01	6.325e+00	8.400e+01	9.165e+00	4.100e+01	6.403e+00	1.200e+01	3.464e+00	1.200e+01	3.464e+00
3	3.310e+02	1.819e+01	3.330e+02	1.825e+01	1.940e+02	1.393e+01	2.330e+02	1.526e+01	2.230e+02	1.493e+01	2.000e+01	4.472e+00	9.000e+01	9.487e+00	4.200e+01	6.481e+00	7.500e+01	8.660e+00	4.500e+01	6.708e+00	2.000e+01	4.472e+00	1.300e+01	3.606e+00
4	3.150e+02	1.775e+01	3.540e+02	1.881e+01	1.740e+02	1.319e+01	2.580e+02	1.606e+01	2.600e+02	1.612e+01	2.700e+01	5.196e+00	1.200e+02	1.095e+01	4.200e+01	6.481e+00	9.700e+01	9.849e+00	5.600e+01	7.483e+00	9.000e+00	3.000e+00	1.800e+01	4.243e+00
5	3.870e+02	1.967e+01	3.520e+02	1.876e+01	1.930e+02	1.389e+01	2.650e+02	1.628e+01	2.930e+02	1.712e+01	3.800e+01	6.164e+00	1.730e+02	1.315e+01	5.500e+01	7.416e+00	9.100e+01	9.539e+00	5.800e+01	7.616e+00	1.700e+01	4.123e+00	2.100e+01	4.583e+00
6	3.930e+02	1.982e+01	4.280e+02	2.069e+01	2.320e+02	1.523e+01	3.040e+02	1.744e+01	3.060e+02	1.749e+01	3.700e+01	6.083e+00	1.630e+02	1.277e+01	5.300e+01	7.280e+00	1.120e+02	1.058e+01	6.400e+01	8.000e+00	2.900e+01	5.385e+00	1.900e+01	4.359e+00
7	4.160e+02	2.040e+01	4.580e+02	2.140e+01	2.250e+02	1.500e+01	3.330e+02	1.825e+01	3.540e+02	1.881e+01	3.900e+01	6.245e+00	2.120e+02	1.456e+01	5.300e+01	7.280e+00	1.320e+02	1.149e+01	6.900e+01	8.307e+00	2.500e+01	5.000e+00	1.100e+01	3.317e+00
8	4.170e+02	2.042e+01	4.870e+02	2.207e+01	2.480e+02	1.575e+01	3.670e+02	1.916e+01	3.600e+02	1.897e+01	5.900e+01	7.681e+00	2.040e+02	1.428e+01	4.500e+01	6.708e+00	1.220e+02	1.105e+01	7.900e+01	8.888e+00	2.000e+01	4.472e+00	2.300e+01	4.796e+00
9	4.800e+02	2.191e+01	5.060e+02	2.249e+01	2.520e+02	1.587e+01	3.440e+02	1.855e+01	4.410e+02	2.100e+01	4.200e+01	6.481e+00	1.730e+02	1.315e+01	4.500e+01	6.708e+00	1.690e+02	1.300e+01	6.400e+01	8.000e+00	2.100e+01	4.583e+00	2.700e+01	5.196e+00
10	5.100e+02	2.258e+01	5.850e+02	2.419e+01	2.780e+02	1.667e+01	3.970e+02	1.992e+01	4.000e+02	2.000e+01	3.800e+01	6.164e+00	1.380e+02	1.175e+01	3.300e+01	5.745e+00	1.370e+02	1.170e+01	5.800e+01	7.616e+00	1.200e+01	3.464e+00	3.000e+01	5.477e+00
