# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_1/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=5		POL=1		POL=1		POL=3		POL=5		POL=3		POL=2		POL=2		POL=1		POL=5		POL=4		POL=1	
1	3.822e+04	1.955e+02	4.788e+04	2.188e+02	1.908e+04	1.381e+02	3.232e+04	1.798e+02	3.582e+04	1.893e+02	8.803e+03	9.382e+01	6.787e+03	8.238e+01	7.737e+03	8.796e+01	1.941e+04	1.393e+02	7.777e+03	8.819e+01	5.258e+03	7.251e+01	4.384e+03	6.621e+01
2	3.772e+04	1.942e+02	5.074e+04	2.252e+02	1.815e+04	1.347e+02	3.153e+04	1.776e+02	3.742e+04	1.935e+02	1.007e+04	1.004e+02	7.071e+03	8.409e+01	8.092e+03	8.996e+01	2.252e+04	1.501e+02	8.806e+03	9.384e+01	5.983e+03	7.735e+01	4.450e+03	6.671e+01
3	3.758e+04	1.939e+02	5.092e+04	2.257e+02	1.796e+04	1.340e+02	3.107e+04	1.763e+02	3.772e+04	1.942e+02	9.763e+03	9.881e+01	6.656e+03	8.158e+01	8.100e+03	9.000e+01	2.285e+04	1.512e+02	9.039e+03	9.507e+01	6.051e+03	7.779e+01	4.395e+03	6.629e+01
4	3.739e+04	1.934e+02	5.098e+04	2.258e+02	1.780e+04	1.334e+02	3.113e+04	1.764e+02	3.793e+04	1.947e+02	9.540e+03	9.767e+01	6.299e+03	7.937e+01	8.010e+03	8.950e+01	2.259e+04	1.503e+02	8.825e+03	9.394e+01	5.894e+03	7.677e+01	4.234e+03	6.507e+01
5	3.752e+04	1.937e+02	5.133e+04	2.266e+02	1.807e+04	1.344e+02	3.125e+04	1.768e+02	3.818e+04	1.954e+02	9.060e+03	9.518e+01	5.957e+03	7.718e+01	7.780e+03	8.820e+01	2.200e+04	1.483e+02	8.894e+03	9.431e+01	5.780e+03	7.603e+01	4.059e+03	6.371e+01
6	3.792e+04	1.947e+02	5.153e+04	2.270e+02	1.846e+04	1.358e+02	3.180e+04	1.783e+02	3.840e+04	1.960e+02	8.739e+03	9.348e+01	5.767e+03	7.594e+01	7.498e+03	8.659e+01	2.171e+04	1.473e+02	8.595e+03	9.271e+01	5.589e+03	7.476e+01	3.910e+03	6.253e+01
7	3.826e+04	1.956e+02	5.249e+04	2.291e+02	1.915e+04	1.384e+02	3.146e+04	1.774e+02	3.817e+04	1.954e+02	8.560e+03	9.252e+01	5.643e+03	7.512e+01	7.305e+03	8.547e+01	2.108e+04	1.452e+02	8.524e+03	9.233e+01	5.525e+03	7.433e+01	4.202e+03	6.482e+01
8	3.868e+04	1.967e+02	5.292e+04	2.300e+02	1.951e+04	1.397e+02	3.171e+04	1.781e+02	3.840e+04	1.960e+02	8.247e+03	9.081e+01	5.416e+03	7.359e+01	6.960e+03	8.343e+01	2.073e+04	1.440e+02	8.565e+03	9.255e+01	5.442e+03	7.377e+01	4.055e+03	6.368e+01
9	3.929e+04	1.982e+02	5.353e+04	2.314e+02	1.989e+04	1.410e+02	3.220e+04	1.794e+02	3.871e+04	1.968e+02	7.752e+03	8.805e+01	5.178e+03	7.196e+01	6.825e+03	8.261e+01	2.022e+04	1.422e+02	8.324e+03	9.124e+01	5.355e+03	7.318e+01	3.910e+03	6.253e+01
10	3.982e+04	1.995e+02	5.374e+04	2.318e+02	2.014e+04	1.419e+02	3.256e+04	1.804e+02	3.902e+04	1.975e+02	7.540e+03	8.683e+01	5.039e+03	7.099e+01	6.572e+03	8.107e+01	2.006e+04	1.416e+02	8.283e+03	9.101e+01	5.282e+03	7.268e+01	3.847e+03	6.202e+01
11	4.018e+04	2.004e+02	5.404e+04	2.325e+02	2.039e+04	1.428e+02	3.312e+04	1.820e+02	3.927e+04	1.982e+02	7.417e+03	8.612e+01	4.941e+03	7.029e+01	6.462e+03	8.039e+01	1.984e+04	1.409e+02	8.265e+03	9.091e+01	5.239e+03	7.238e+01	3.699e+03	6.082e+01
12	4.054e+04	2.013e+02	5.448e+04	2.334e+02	2.068e+04	1.438e+02	3.334e+04	1.826e+02	3.945e+04	1.986e+02	7.058e+03	8.401e+01	4.740e+03	6.885e+01	6.198e+03	7.873e+01	1.967e+04	1.403e+02	8.262e+03	9.090e+01	5.185e+03	7.201e+01	3.594e+03	5.995e+01
13	4.102e+04	2.025e+02	5.478e+04	2.340e+02	2.091e+04	1.446e+02	3.392e+04	1.842e+02	3.970e+04	1.993e+02	6.916e+03	8.316e+01	4.732e+03	6.879e+01	6.128e+03	7.828e+01	1.945e+04	1.395e+02	8.207e+03	9.059e+01	5.153e+03	7.178e+01	3.528e+03	5.940e+01
14	4.145e+04	2.036e+02	5.522e+04	2.350e+02	2.126e+04	1.458e+02	3.447e+04	1.857e+02	4.011e+04	2.003e+02	6.687e+03	8.177e+01	4.699e+03	6.855e+01	5.982e+03	7.734e+01	1.905e+04	1.380e+02	8.232e+03	9.073e+01	5.125e+03	7.159e+01	3.462e+03	5.884e+01
15	4.177e+04	2.044e+02	5.562e+04	2.358e+02	2.145e+04	1.465e+02	3.480e+04	1.866e+02	4.022e+04	2.006e+02	6.508e+03	8.067e+01	4.697e+03	6.853e+01	5.769e+03	7.595e+01	1.904e+04	1.380e+02	8.241e+03	9.078e+01	5.118e+03	7.154e+01	3.408e+03	5.838e+01
16	4.224e+04	2.055e+02	5.610e+04	2.369e+02	2.169e+04	1.473e+02	3.525e+04	1.878e+02	4.082e+04	2.020e+02	6.547e+03	8.091e+01	4.669e+03	6.833e+01	5.694e+03	7.546e+01	1.879e+04	1.371e+02	8.289e+03	9.104e+01	5.125e+03	7.159e+01	3.319e+03	5.761e+01
17	4.260e+04	2.064e+02	5.657e+04	2.379e+02	2.214e+04	1.488e+02	3.579e+04	1.892e+02	4.106e+04	2.026e+02	6.571e+03	8.106e+01	4.722e+03	6.872e+01	5.745e+03	7.580e+01	1.870e+04	1.367e+02	8.088e+03	8.993e+01	5.135e+03	7.166e+01	3.320e+03	5.762e+01
18	4.306e+04	2.075e+02	5.698e+04	2.387e+02	2.237e+04	1.496e+02	3.612e+04	1.900e+02	4.121e+04	2.030e+02	6.525e+03	8.078e+01	4.768e+03	6.905e+01	5.643e+03	7.512e+01	1.875e+04	1.369e+02	8.214e+03	9.063e+01	5.103e+03	7.144e+01	3.245e+03	5.696e+01
19	4.366e+04	2.090e+02	5.730e+04	2.394e+02	2.267e+04	1.506e+02	3.662e+04	1.914e+02	4.165e+04	2.041e+02	6.387e+03	7.992e+01	4.812e+03	6.937e+01	5.579e+03	7.469e+01	1.869e+04	1.367e+02	8.190e+03	9.050e+01	5.204e+03	7.214e+01	3.187e+03	5.645e+01
20	4.424e+04	2.103e+02	5.780e+04	2.404e+02	2.285e+04	1.512e+02	3.724e+04	1.930e+02	4.210e+04	2.052e+02	6.362e+03	7.976e+01	4.844e+03	6.960e+01	5.545e+03	7.446e+01	1.867e+04	1.366e+02	8.457e+03	9.196e+01	5.234e+03	7.235e+01	3.125e+03	5.590e+01
21	4.437e+04	2.106e+02	5.818e+04	2.412e+02	2.307e+04	1.519e+02	3.758e+04	1.939e+02	4.245e+04	2.060e+02	6.437e+03	8.023e+01	4.896e+03	6.997e+01	5.539e+03	7.442e+01	1.873e+04	1.369e+02	8.321e+03	9.122e+01	5.235e+03	7.235e+01	3.119e+03	5.585e+01
22	4.483e+04	2.117e+02	5.874e+04	2.424e+02	2.332e+04	1.527e+02	3.799e+04	1.949e+02	4.268e+04	2.066e+02	6.340e+03	7.962e+01	4.943e+03	7.031e+01	5.476e+03	7.400e+01	1.859e+04	1.364e+02	8.383e+03	9.156e+01	5.241e+03	7.239e+01	3.055e+03	5.527e+01
23	4.589e+04	2.142e+02	5.961e+04	2.442e+02	2.414e+04	1.554e+02	3.747e+04	1.936e+02	4.270e+04	2.066e+02	6.125e+03	7.826e+01	4.994e+03	7.067e+01	5.407e+03	7.353e+01	1.812e+04	1.346e+02	7.993e+03	8.940e+01	5.273e+03	7.262e+01	3.125e+03	5.590e+01
24	4.592e+04	2.143e+02	5.968e+04	2.443e+02	2.378e+04	1.542e+02	3.873e+04	1.968e+02	4.319e+04	2.078e+02	6.285e+03	7.928e+01	5.001e+03	7.072e+01	5.421e+03	7.363e+01	1.883e+04	1.372e+02	8.603e+03	9.275e+01	5.366e+03	7.325e+01	3.037e+03	5.511e+01
