# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	9.040e-01	1.325e-01	9.605e-01	1.162e-01	9.625e-01	1.120e-01	8.760e-01	1.244e-01	8.303e-01	1.362e-01	1.178e+00	1.797e-01	1.024e+00	1.130e-01
2	9.448e-01	1.298e-01	9.508e-01	1.167e-01	9.089e-01	1.061e-01	8.882e-01	1.231e-01	1.074e+00	1.498e-01	9.011e-01	1.564e-01	1.045e+00	1.136e-01
3	8.753e-01	1.180e-01	1.079e+00	1.240e-01	9.811e-01	1.073e-01	1.099e+00	1.281e-01	9.442e-01	1.322e-01	8.821e-01	1.487e-01	9.925e-01	1.051e-01
4	9.382e-01	1.183e-01	1.001e+00	1.154e-01	9.222e-01	9.904e-02	9.203e-01	1.125e-01	1.107e+00	1.375e-01	1.022e+00	1.514e-01	8.956e-01	9.590e-02
5	8.360e-01	1.054e-01	9.581e-01	1.104e-01	9.454e-01	9.523e-02	1.063e+00	1.136e-01	1.222e+00	1.354e-01	1.041e+00	1.503e-01	1.046e+00	9.896e-02
6	9.868e-01	1.085e-01	9.698e-01	1.073e-01	9.612e-01	9.127e-02	8.943e-01	9.890e-02	9.483e-01	1.127e-01	1.010e+00	1.401e-01	1.070e+00	9.550e-02
7	1.075e+00	1.086e-01	9.022e-01	9.918e-02	1.025e+00	9.069e-02	1.012e+00	1.009e-01	1.093e+00	1.169e-01	8.983e-01	1.251e-01	9.892e-01	8.770e-02
8	1.014e+00	1.019e-01	9.428e-01	9.903e-02	9.395e-01	8.376e-02	9.547e-01	9.317e-02	9.645e-01	1.080e-01	9.869e-01	1.265e-01	9.939e-01	8.473e-02
9	1.003e+00	9.862e-02	9.364e-01	9.577e-02	1.025e+00	8.484e-02	1.088e+00	9.710e-02	1.002e+00	1.053e-01	9.634e-01	1.225e-01	9.185e-01	7.912e-02
10	1.047e+00	9.839e-02	1.040e+00	9.813e-02	9.859e-01	8.090e-02	9.056e-01	8.694e-02	9.911e-01	1.006e-01	1.074e+00	1.234e-01	9.876e-01	7.946e-02
11	8.658e-01	8.674e-02	8.947e-01	8.965e-02	1.003e+00	7.945e-02	1.024e+00	9.044e-02	9.837e-01	9.837e-02	1.178e+00	1.285e-01	1.019e+00	7.836e-02
12	1.007e+00	9.198e-02	1.124e+00	9.803e-02	9.603e-01	7.617e-02	1.015e+00	8.746e-02	9.908e-01	9.627e-02	9.064e-01	1.092e-01	9.489e-01	7.356e-02
13	9.209e-01	8.608e-02	8.813e-01	8.440e-02	1.046e+00	7.741e-02	8.602e-01	7.920e-02	9.123e-01	8.987e-02	9.755e-01	1.117e-01	9.505e-01	7.138e-02
14	9.277e-01	8.455e-02	1.010e+00	8.886e-02	1.006e+00	7.436e-02	1.004e+00	8.438e-02	9.621e-01	9.055e-02	1.070e+00	1.124e-01	9.705e-01	7.075e-02
15	1.112e+00	9.157e-02	1.038e+00	8.772e-02	1.043e+00	7.401e-02	9.952e-01	8.208e-02	1.043e+00	9.104e-02	9.592e-01	1.042e-01	9.991e-01	6.988e-02
16	9.837e-01	8.400e-02	1.027e+00	8.473e-02	1.036e+00	7.228e-02	8.975e-01	7.647e-02	9.631e-01	8.708e-02	9.850e-01	1.032e-01	1.016e+00	6.892e-02
17	9.877e-01	8.374e-02	1.024e+00	8.464e-02	1.020e+00	6.909e-02	9.531e-01	7.768e-02	1.005e+00	8.723e-02	1.012e+00	1.022e-01	1.019e+00	6.824e-02
18	9.868e-01	8.098e-02	1.043e+00	8.274e-02	1.119e+00	7.129e-02	9.547e-01	7.584e-02	1.003e+00	8.580e-02	9.237e-01	9.675e-02	9.604e-01	6.528e-02
19	9.770e-01	7.873e-02	9.716e-01	7.780e-02	1.012e+00	6.643e-02	9.210e-01	7.361e-02	1.010e+00	8.371e-02	1.048e+00	9.930e-02	9.932e-01	6.484e-02
20	9.724e-01	7.701e-02	9.638e-01	7.644e-02	1.039e+00	6.637e-02	1.072e+00	7.768e-02	9.585e-01	7.825e-02	1.017e+00	9.699e-02	1.068e+00	6.502e-02
21	1.062e+00	7.896e-02	9.499e-01	7.408e-02	9.706e-01	6.244e-02	9.983e-01	7.357e-02	1.108e+00	8.327e-02	1.174e+00	1.018e-01	1.080e+00	6.415e-02
22	1.005e+00	7.646e-02	9.991e-01	7.464e-02	1.016e+00	6.287e-02	1.005e+00	7.254e-02	1.105e+00	8.246e-02	8.939e-01	8.681e-02	1.053e+00	6.251e-02
23	9.998e-01	7.479e-02	9.760e-01	7.143e-02	1.021e+00	6.200e-02	1.027e+00	7.210e-02	1.050e+00	7.838e-02	9.966e-01	9.050e-02	9.282e-01	5.761e-02
24	1.078e+00	7.585e-02	9.025e-01	6.776e-02	1.033e+00	6.064e-02	1.090e+00	7.272e-02	9.162e-01	7.144e-02	9.977e-01	8.880e-02	1.023e+00	5.964e-02
25	8.946e-01	6.783e-02	1.006e+00	7.144e-02	1.007e+00	5.898e-02	1.004e+00	6.899e-02	1.050e+00	7.558e-02	1.109e+00	9.231e-02	9.907e-01	5.802e-02
