# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	3.717e-01	3.740e-02	3.727e-01	3.223e-02	3.521e-01	3.038e-02	4.239e-01	3.680e-02	4.059e-01	4.295e-02	3.899e-01	4.522e-02	3.695e-01	3.035e-02
2	3.859e-01	3.650e-02	3.953e-01	3.128e-02	3.760e-01	3.052e-02	4.317e-01	3.659e-02	3.636e-01	3.913e-02	3.903e-01	4.541e-02	3.451e-01	2.951e-02
3	4.132e-01	3.722e-02	4.276e-01	3.240e-02	4.031e-01	3.086e-02	4.004e-01	3.449e-02	3.655e-01	3.793e-02	3.898e-01	4.418e-02	3.997e-01	3.134e-02
4	4.056e-01	3.661e-02	3.484e-01	2.847e-02	3.515e-01	2.813e-02	3.669e-01	3.259e-02	3.501e-01	3.735e-02	4.394e-01	4.525e-02	3.982e-01	3.098e-02
5	3.847e-01	3.576e-02	4.157e-01	3.093e-02	4.265e-01	3.074e-02	3.978e-01	3.360e-02	3.467e-01	3.628e-02	3.849e-01	4.229e-02	3.765e-01	2.993e-02
6	3.979e-01	3.621e-02	3.785e-01	2.949e-02	3.874e-01	2.923e-02	3.742e-01	3.267e-02	4.227e-01	4.008e-02	3.425e-01	3.906e-02	4.114e-01	3.140e-02
7	3.721e-01	3.520e-02	3.874e-01	3.010e-02	3.660e-01	2.865e-02	4.068e-01	3.405e-02	3.790e-01	3.861e-02	3.968e-01	4.187e-02	3.638e-01	2.944e-02
8	4.139e-01	3.758e-02	3.907e-01	3.036e-02	3.624e-01	2.858e-02	3.777e-01	3.291e-02	4.311e-01	4.162e-02	3.985e-01	4.181e-02	3.724e-01	2.999e-02
9	3.884e-01	3.699e-02	4.269e-01	3.217e-02	3.602e-01	2.868e-02	3.724e-01	3.307e-02	3.999e-01	4.054e-02	4.255e-01	4.337e-02	3.735e-01	3.033e-02
10	3.650e-01	3.700e-02	4.074e-01	3.184e-02	4.082e-01	3.084e-02	3.718e-01	3.383e-02	3.873e-01	3.988e-02	4.564e-01	4.546e-02	3.992e-01	3.179e-02
11	4.033e-01	3.902e-02	4.257e-01	3.328e-02	4.078e-01	3.122e-02	3.754e-01	3.444e-02	3.727e-01	3.965e-02	3.260e-01	3.873e-02	3.693e-01	3.086e-02
12	4.141e-01	4.046e-02	3.759e-01	3.163e-02	3.922e-01	3.119e-02	3.482e-01	3.370e-02	3.927e-01	4.121e-02	3.870e-01	4.264e-02	3.951e-01	3.229e-02
13	4.026e-01	4.050e-02	4.231e-01	3.359e-02	3.934e-01	3.133e-02	4.112e-01	3.711e-02	3.539e-01	3.947e-02	3.723e-01	4.219e-02	3.832e-01	3.202e-02
14	3.965e-01	4.093e-02	3.500e-01	3.090e-02	4.026e-01	3.211e-02	4.084e-01	3.732e-02	3.571e-01	4.034e-02	3.676e-01	4.234e-02	4.151e-01	3.349e-02
15	3.764e-01	4.016e-02	3.679e-01	3.242e-02	4.135e-01	3.252e-02	3.811e-01	3.645e-02	4.150e-01	4.366e-02	3.821e-01	4.331e-02	3.389e-01	3.034e-02
16	4.198e-01	4.278e-02	4.397e-01	3.541e-02	3.873e-01	3.203e-02	3.956e-01	3.750e-02	3.414e-01	4.026e-02	3.626e-01	4.219e-02	4.226e-01	3.443e-02
17	3.825e-01	4.047e-02	3.804e-01	3.346e-02	3.677e-01	3.072e-02	4.006e-01	3.833e-02	4.192e-01	4.499e-02	3.953e-01	4.509e-02	4.132e-01	3.508e-02
18	3.848e-01	4.072e-02	3.863e-01	3.385e-02	3.760e-01	3.120e-02	4.085e-01	3.872e-02	3.721e-01	4.244e-02	3.541e-01	4.297e-02	3.553e-01	3.266e-02
19	3.744e-01	4.041e-02	4.393e-01	3.627e-02	3.921e-01	3.194e-02	4.204e-01	3.950e-02	3.647e-01	4.201e-02	4.830e-01	5.014e-02	3.502e-01	3.233e-02
20	3.783e-01	4.131e-02	3.833e-01	3.384e-02	3.817e-01	3.195e-02	3.602e-01	3.633e-02	3.741e-01	4.212e-02	3.780e-01	4.383e-02	3.491e-01	3.151e-02
21	3.643e-01	4.089e-02	3.899e-01	3.456e-02	3.781e-01	3.198e-02	3.733e-01	3.708e-02	2.891e-01	3.735e-02	3.834e-01	4.402e-02	3.548e-01	3.176e-02
22	3.936e-01	4.261e-02	3.867e-01	3.428e-02	4.156e-01	3.369e-02	3.740e-01	3.715e-02	3.950e-01	4.420e-02	3.889e-01	4.451e-02	3.792e-01	3.292e-02
23	4.690e-01	4.696e-02	3.679e-01	3.327e-02	4.016e-01	3.299e-02	3.576e-01	3.663e-02	3.596e-01	4.227e-02	3.502e-01	4.235e-02	3.961e-01	3.363e-02
24	3.858e-01	4.264e-02	3.806e-01	3.421e-02	3.749e-01	3.183e-02	3.836e-01	3.774e-02	4.153e-01	4.496e-02	3.468e-01	4.241e-02	3.948e-01	3.395e-02
25	3.523e-01	4.072e-02	3.929e-01	3.504e-02	3.515e-01	3.097e-02	3.526e-01	3.660e-02	4.502e-01	4.724e-02	3.585e-01	4.320e-02	4.020e-01	3.463e-02
