# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=2		POL=1		POL=2		POL=5		POL=2		POL=2		POL=2	
1	7.730e+02	2.780e+01	1.437e+03	3.791e+01	1.232e+03	3.510e+01	9.930e+02	3.151e+01	6.960e+02	2.638e+01	6.040e+02	2.458e+01	1.404e+03	3.747e+01
2	7.290e+02	2.700e+01	9.680e+02	3.111e+01	1.149e+03	3.390e+01	9.450e+02	3.074e+01	6.630e+02	2.575e+01	5.410e+02	2.326e+01	1.226e+03	3.501e+01
3	8.320e+02	2.884e+01	9.430e+02	3.071e+01	1.187e+03	3.445e+01	8.940e+02	2.990e+01	7.180e+02	2.680e+01	6.080e+02	2.466e+01	1.251e+03	3.537e+01
4	8.110e+02	2.848e+01	9.820e+02	3.134e+01	1.264e+03	3.555e+01	1.062e+03	3.259e+01	7.790e+02	2.791e+01	6.210e+02	2.492e+01	1.326e+03	3.641e+01
5	8.750e+02	2.958e+01	9.650e+02	3.106e+01	1.261e+03	3.551e+01	1.051e+03	3.242e+01	8.050e+02	2.837e+01	6.300e+02	2.510e+01	1.429e+03	3.780e+01
6	9.590e+02	3.097e+01	9.560e+02	3.092e+01	1.388e+03	3.726e+01	1.192e+03	3.453e+01	8.590e+02	2.931e+01	6.770e+02	2.602e+01	1.551e+03	3.938e+01
7	1.010e+03	3.178e+01	1.059e+03	3.254e+01	1.534e+03	3.917e+01	1.229e+03	3.506e+01	9.470e+02	3.077e+01	6.940e+02	2.634e+01	1.691e+03	4.112e+01
8	1.058e+03	3.253e+01	1.070e+03	3.271e+01	1.596e+03	3.995e+01	1.263e+03	3.554e+01	9.600e+02	3.098e+01	7.810e+02	2.795e+01	1.740e+03	4.171e+01
9	1.106e+03	3.326e+01	1.095e+03	3.309e+01	1.618e+03	4.022e+01	1.406e+03	3.750e+01	9.950e+02	3.154e+01	7.790e+02	2.791e+01	1.828e+03	4.276e+01
10	1.133e+03	3.366e+01	1.183e+03	3.439e+01	1.754e+03	4.188e+01	1.367e+03	3.697e+01	1.053e+03	3.245e+01	8.500e+02	2.915e+01	1.919e+03	4.381e+01
11	1.217e+03	3.489e+01	1.276e+03	3.572e+01	1.813e+03	4.258e+01	1.440e+03	3.795e+01	1.089e+03	3.300e+01	9.120e+02	3.020e+01	2.055e+03	4.533e+01
12	1.359e+03	3.686e+01	1.282e+03	3.581e+01	1.877e+03	4.332e+01	1.496e+03	3.868e+01	1.150e+03	3.391e+01	8.690e+02	2.948e+01	2.179e+03	4.668e+01
13	1.346e+03	3.669e+01	1.375e+03	3.708e+01	2.018e+03	4.492e+01	1.517e+03	3.895e+01	1.250e+03	3.536e+01	9.290e+02	3.048e+01	2.382e+03	4.881e+01
14	1.394e+03	3.734e+01	1.476e+03	3.842e+01	2.022e+03	4.497e+01	1.550e+03	3.937e+01	1.315e+03	3.626e+01	9.480e+02	3.079e+01	2.451e+03	4.951e+01
15	1.519e+03	3.897e+01	1.430e+03	3.782e+01	2.203e+03	4.694e+01	1.708e+03	4.133e+01	1.396e+03	3.736e+01	1.033e+03	3.214e+01	2.642e+03	5.140e+01
16	1.528e+03	3.909e+01	1.570e+03	3.962e+01	2.315e+03	4.811e+01	1.814e+03	4.259e+01	1.460e+03	3.821e+01	1.093e+03	3.306e+01	2.753e+03	5.247e+01
17	1.608e+03	4.010e+01	1.630e+03	4.037e+01	2.518e+03	5.018e+01	1.751e+03	4.184e+01	1.483e+03	3.851e+01	1.066e+03	3.265e+01	2.753e+03	5.247e+01
18	1.776e+03	4.214e+01	1.802e+03	4.245e+01	2.667e+03	5.164e+01	1.853e+03	4.305e+01	1.585e+03	3.981e+01	1.094e+03	3.308e+01	2.969e+03	5.449e+01
19	1.887e+03	4.344e+01	1.874e+03	4.329e+01	2.813e+03	5.304e+01	1.953e+03	4.419e+01	1.766e+03	4.202e+01	1.195e+03	3.457e+01	3.011e+03	5.487e+01
20	1.978e+03	4.447e+01	1.953e+03	4.419e+01	2.952e+03	5.433e+01	2.014e+03	4.488e+01	1.744e+03	4.176e+01	1.299e+03	3.604e+01	3.351e+03	5.789e+01
21	1.998e+03	4.470e+01	2.042e+03	4.519e+01	3.219e+03	5.674e+01	2.292e+03	4.787e+01	1.934e+03	4.398e+01	1.369e+03	3.700e+01	3.652e+03	6.043e+01
22	2.084e+03	4.565e+01	2.161e+03	4.649e+01	3.358e+03	5.795e+01	2.378e+03	4.876e+01	1.949e+03	4.415e+01	1.462e+03	3.824e+01	3.852e+03	6.206e+01
23	2.244e+03	4.737e+01	2.318e+03	4.815e+01	3.504e+03	5.919e+01	2.546e+03	5.046e+01	2.203e+03	4.694e+01	1.567e+03	3.959e+01	4.097e+03	6.401e+01
24	2.463e+03	4.963e+01	2.494e+03	4.994e+01	3.745e+03	6.120e+01	2.742e+03	5.236e+01	2.270e+03	4.764e+01	1.621e+03	4.026e+01	4.157e+03	6.447e+01
25	2.562e+03	5.062e+01	2.500e+03	5.000e+01	3.986e+03	6.313e+01	2.810e+03	5.301e+01	2.408e+03	4.907e+01	1.713e+03	4.139e+01	4.419e+03	6.648e+01
