# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1	
1	9.400e+01	9.695e+00	1.380e+02	1.175e+01	1.490e+02	1.221e+01	1.000e+02	1.000e+01	7.500e+01	8.660e+00	8.700e+01	9.327e+00	1.660e+02	1.288e+01
2	1.070e+02	1.034e+01	1.340e+02	1.158e+01	1.480e+02	1.217e+01	1.050e+02	1.025e+01	1.040e+02	1.020e+01	6.700e+01	8.185e+00	1.710e+02	1.308e+01
3	1.110e+02	1.054e+01	1.530e+02	1.237e+01	1.690e+02	1.300e+01	1.490e+02	1.221e+01	1.030e+02	1.015e+01	7.100e+01	8.426e+00	1.800e+02	1.342e+01
4	1.270e+02	1.127e+01	1.520e+02	1.233e+01	1.750e+02	1.323e+01	1.350e+02	1.162e+01	1.310e+02	1.145e+01	9.200e+01	9.592e+00	1.760e+02	1.327e+01
5	1.270e+02	1.127e+01	1.520e+02	1.233e+01	1.990e+02	1.411e+01	1.770e+02	1.330e+01	1.650e+02	1.285e+01	9.700e+01	9.849e+00	2.260e+02	1.503e+01
6	1.670e+02	1.292e+01	1.650e+02	1.285e+01	2.240e+02	1.497e+01	1.650e+02	1.285e+01	1.430e+02	1.196e+01	1.050e+02	1.025e+01	2.540e+02	1.594e+01
7	1.980e+02	1.407e+01	1.670e+02	1.292e+01	2.580e+02	1.606e+01	2.030e+02	1.425e+01	1.770e+02	1.330e+01	1.040e+02	1.020e+01	2.570e+02	1.603e+01
8	2.000e+02	1.414e+01	1.830e+02	1.353e+01	2.540e+02	1.594e+01	2.120e+02	1.456e+01	1.610e+02	1.269e+01	1.230e+02	1.109e+01	2.780e+02	1.667e+01
9	2.090e+02	1.446e+01	1.930e+02	1.389e+01	2.950e+02	1.718e+01	2.540e+02	1.594e+01	1.830e+02	1.353e+01	1.250e+02	1.118e+01	2.720e+02	1.649e+01
10	2.290e+02	1.513e+01	2.270e+02	1.507e+01	3.000e+02	1.732e+01	2.190e+02	1.480e+01	1.960e+02	1.400e+01	1.530e+02	1.237e+01	3.120e+02	1.766e+01
11	2.010e+02	1.418e+01	2.010e+02	1.418e+01	3.220e+02	1.794e+01	2.590e+02	1.609e+01	2.020e+02	1.421e+01	1.700e+02	1.304e+01	3.420e+02	1.849e+01
12	2.420e+02	1.556e+01	2.660e+02	1.631e+01	3.210e+02	1.792e+01	2.720e+02	1.649e+01	2.140e+02	1.463e+01	1.390e+02	1.179e+01	3.360e+02	1.833e+01
13	2.310e+02	1.520e+01	2.200e+02	1.483e+01	3.690e+02	1.921e+01	2.380e+02	1.543e+01	2.080e+02	1.442e+01	1.540e+02	1.241e+01	3.580e+02	1.892e+01
14	2.430e+02	1.559e+01	2.610e+02	1.616e+01	3.700e+02	1.924e+01	2.860e+02	1.691e+01	2.280e+02	1.510e+01	1.830e+02	1.353e+01	3.800e+02	1.949e+01
15	2.980e+02	1.726e+01	2.830e+02	1.682e+01	4.010e+02	2.002e+01	2.970e+02	1.723e+01	2.650e+02	1.628e+01	1.710e+02	1.308e+01	4.130e+02	2.032e+01
16	2.770e+02	1.664e+01	2.970e+02	1.723e+01	4.150e+02	2.037e+01	2.780e+02	1.667e+01	2.470e+02	1.572e+01	1.840e+02	1.356e+01	4.390e+02	2.095e+01
17	2.810e+02	1.676e+01	2.960e+02	1.720e+01	4.400e+02	2.098e+01	3.040e+02	1.744e+01	2.680e+02	1.637e+01	1.980e+02	1.407e+01	4.510e+02	2.124e+01
18	3.000e+02	1.732e+01	3.210e+02	1.792e+01	4.980e+02	2.232e+01	3.200e+02	1.789e+01	2.760e+02	1.661e+01	1.840e+02	1.356e+01	4.370e+02	2.090e+01
19	3.110e+02	1.764e+01	3.150e+02	1.775e+01	4.690e+02	2.166e+01	3.160e+02	1.778e+01	2.940e+02	1.715e+01	2.250e+02	1.500e+01	4.740e+02	2.177e+01
20	3.220e+02	1.794e+01	3.210e+02	1.792e+01	4.950e+02	2.225e+01	3.850e+02	1.962e+01	3.030e+02	1.741e+01	2.220e+02	1.490e+01	5.460e+02	2.337e+01
21	3.660e+02	1.913e+01	3.320e+02	1.822e+01	4.880e+02	2.209e+01	3.720e+02	1.929e+01	3.580e+02	1.892e+01	2.690e+02	1.640e+01	5.730e+02	2.394e+01
22	3.490e+02	1.868e+01	3.620e+02	1.903e+01	5.280e+02	2.298e+01	3.880e+02	1.970e+01	3.630e+02	1.905e+01	2.140e+02	1.463e+01	5.730e+02	2.394e+01
23	3.610e+02	1.900e+01	3.770e+02	1.942e+01	5.480e+02	2.341e+01	4.100e+02	2.025e+01	3.630e+02	1.905e+01	2.450e+02	1.565e+01	5.240e+02	2.289e+01
24	4.080e+02	2.020e+01	3.580e+02	1.892e+01	5.860e+02	2.421e+01	4.540e+02	2.131e+01	3.320e+02	1.822e+01	2.550e+02	1.597e+01	5.940e+02	2.437e+01
25	3.510e+02	1.873e+01	4.010e+02	2.002e+01	5.890e+02	2.427e+01	4.280e+02	2.069e+01	3.900e+02	1.975e+01	2.920e+02	1.709e+01	5.890e+02	2.427e+01
