# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=1		POL=1		POL=4		POL=1		POL=4		POL=0		POL=3	
1	1.980e+02	1.407e+01	2.680e+02	1.637e+01	2.690e+02	1.640e+01	2.660e+02	1.631e+01	1.790e+02	1.338e+01	1.490e+02	1.221e+01	2.970e+02	1.723e+01
2	2.240e+02	1.497e+01	3.200e+02	1.789e+01	3.040e+02	1.744e+01	2.790e+02	1.670e+01	1.730e+02	1.315e+01	1.480e+02	1.217e+01	2.740e+02	1.655e+01
3	2.470e+02	1.572e+01	3.490e+02	1.868e+01	3.420e+02	1.849e+01	2.700e+02	1.643e+01	1.860e+02	1.364e+01	1.560e+02	1.249e+01	3.260e+02	1.806e+01
4	2.460e+02	1.568e+01	3.000e+02	1.732e+01	3.130e+02	1.769e+01	2.540e+02	1.594e+01	1.760e+02	1.327e+01	1.890e+02	1.375e+01	3.310e+02	1.819e+01
5	2.320e+02	1.523e+01	3.620e+02	1.903e+01	3.860e+02	1.965e+01	2.810e+02	1.676e+01	1.830e+02	1.353e+01	1.660e+02	1.288e+01	3.170e+02	1.780e+01
6	2.420e+02	1.556e+01	3.300e+02	1.817e+01	3.520e+02	1.876e+01	2.630e+02	1.622e+01	2.230e+02	1.493e+01	1.540e+02	1.241e+01	3.440e+02	1.855e+01
7	2.240e+02	1.497e+01	3.320e+02	1.822e+01	3.270e+02	1.808e+01	2.860e+02	1.691e+01	1.930e+02	1.389e+01	1.800e+02	1.342e+01	3.060e+02	1.749e+01
8	2.430e+02	1.559e+01	3.320e+02	1.822e+01	3.220e+02	1.794e+01	2.640e+02	1.625e+01	2.150e+02	1.466e+01	1.820e+02	1.349e+01	3.090e+02	1.758e+01
9	2.210e+02	1.487e+01	3.530e+02	1.879e+01	3.160e+02	1.778e+01	2.540e+02	1.594e+01	1.950e+02	1.396e+01	1.930e+02	1.389e+01	3.040e+02	1.744e+01
10	1.950e+02	1.396e+01	3.280e+02	1.811e+01	3.510e+02	1.873e+01	2.420e+02	1.556e+01	1.890e+02	1.375e+01	2.020e+02	1.421e+01	3.160e+02	1.778e+01
11	2.140e+02	1.463e+01	3.280e+02	1.811e+01	3.420e+02	1.849e+01	2.380e+02	1.543e+01	1.770e+02	1.330e+01	1.420e+02	1.192e+01	2.870e+02	1.694e+01
12	2.100e+02	1.449e+01	2.830e+02	1.682e+01	3.170e+02	1.780e+01	2.140e+02	1.463e+01	1.820e+02	1.349e+01	1.650e+02	1.285e+01	3.000e+02	1.732e+01
13	1.980e+02	1.407e+01	3.180e+02	1.783e+01	3.160e+02	1.778e+01	2.460e+02	1.568e+01	1.610e+02	1.269e+01	1.560e+02	1.249e+01	2.870e+02	1.694e+01
14	1.880e+02	1.371e+01	2.570e+02	1.603e+01	3.150e+02	1.775e+01	2.400e+02	1.549e+01	1.570e+02	1.253e+01	1.510e+02	1.229e+01	3.080e+02	1.755e+01
15	1.760e+02	1.327e+01	2.580e+02	1.606e+01	3.240e+02	1.800e+01	2.190e+02	1.480e+01	1.810e+02	1.345e+01	1.560e+02	1.249e+01	2.500e+02	1.581e+01
16	1.930e+02	1.389e+01	3.090e+02	1.758e+01	2.930e+02	1.712e+01	2.230e+02	1.493e+01	1.440e+02	1.200e+01	1.480e+02	1.217e+01	3.020e+02	1.738e+01
17	1.790e+02	1.338e+01	2.590e+02	1.609e+01	2.870e+02	1.694e+01	2.190e+02	1.480e+01	1.740e+02	1.319e+01	1.540e+02	1.241e+01	2.780e+02	1.667e+01
18	1.790e+02	1.338e+01	2.610e+02	1.616e+01	2.910e+02	1.706e+01	2.230e+02	1.493e+01	1.540e+02	1.241e+01	1.360e+02	1.166e+01	2.370e+02	1.539e+01
19	1.720e+02	1.311e+01	2.940e+02	1.715e+01	3.020e+02	1.738e+01	2.270e+02	1.507e+01	1.510e+02	1.229e+01	1.860e+02	1.364e+01	2.350e+02	1.533e+01
20	1.680e+02	1.296e+01	2.570e+02	1.603e+01	2.860e+02	1.691e+01	1.970e+02	1.404e+01	1.580e+02	1.257e+01	1.490e+02	1.221e+01	2.460e+02	1.568e+01
21	1.590e+02	1.261e+01	2.550e+02	1.597e+01	2.800e+02	1.673e+01	2.030e+02	1.425e+01	1.200e+02	1.095e+01	1.520e+02	1.233e+01	2.500e+02	1.581e+01
22	1.710e+02	1.308e+01	2.550e+02	1.597e+01	3.050e+02	1.746e+01	2.030e+02	1.425e+01	1.600e+02	1.265e+01	1.530e+02	1.237e+01	2.660e+02	1.631e+01
23	2.000e+02	1.414e+01	2.450e+02	1.565e+01	2.970e+02	1.723e+01	1.910e+02	1.382e+01	1.450e+02	1.204e+01	1.370e+02	1.170e+01	2.780e+02	1.667e+01
24	1.640e+02	1.281e+01	2.480e+02	1.575e+01	2.780e+02	1.667e+01	2.070e+02	1.439e+01	1.710e+02	1.308e+01	1.340e+02	1.158e+01	2.710e+02	1.646e+01
25	1.500e+02	1.225e+01	2.520e+02	1.587e+01	2.580e+02	1.606e+01	1.860e+02	1.364e+01	1.820e+02	1.349e+01	1.380e+02	1.175e+01	2.700e+02	1.643e+01
