# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=5		POL=5		POL=5		POL=5		POL=1		POL=1		POL=1	
1	5.152e+03	7.178e+01	7.115e+03	8.435e+01	7.666e+03	8.756e+01	5.658e+03	7.522e+01	4.479e+03	6.693e+01	3.649e+03	6.041e+01	8.021e+03	8.956e+01
2	5.609e+03	7.489e+01	6.980e+03	8.355e+01	8.068e+03	8.982e+01	5.858e+03	7.654e+01	4.788e+03	6.920e+01	3.684e+03	6.070e+01	8.099e+03	8.999e+01
3	6.285e+03	7.928e+01	7.013e+03	8.374e+01	8.528e+03	9.235e+01	6.703e+03	8.187e+01	5.403e+03	7.351e+01	3.989e+03	6.316e+01	8.978e+03	9.475e+01
4	6.705e+03	8.188e+01	7.515e+03	8.669e+01	9.401e+03	9.696e+01	7.267e+03	8.525e+01	5.853e+03	7.650e+01	4.457e+03	6.676e+01	9.738e+03	9.868e+01
5	7.532e+03	8.679e+01	7.856e+03	8.863e+01	1.042e+04	1.021e+02	8.237e+03	9.076e+01	6.669e+03	8.166e+01	4.609e+03	6.789e+01	1.068e+04	1.034e+02
6	8.378e+03	9.153e+01	8.424e+03	9.178e+01	1.154e+04	1.074e+02	9.143e+03	9.562e+01	7.468e+03	8.642e+01	5.144e+03	7.172e+01	1.174e+04	1.083e+02
7	9.113e+03	9.546e+01	9.172e+03	9.577e+01	1.246e+04	1.116e+02	9.931e+03	9.965e+01	8.005e+03	8.947e+01	5.737e+03	7.574e+01	1.286e+04	1.134e+02
8	9.765e+03	9.882e+01	9.614e+03	9.805e+01	1.339e+04	1.157e+02	1.100e+04	1.049e+02	8.266e+03	9.092e+01	6.170e+03	7.855e+01	1.385e+04	1.177e+02
9	1.031e+04	1.016e+02	1.021e+04	1.010e+02	1.424e+04	1.193e+02	1.154e+04	1.074e+02	9.041e+03	9.508e+01	6.425e+03	8.016e+01	1.467e+04	1.211e+02
10	1.082e+04	1.040e+02	1.080e+04	1.039e+02	1.506e+04	1.227e+02	1.198e+04	1.095e+02	9.790e+03	9.894e+01	7.049e+03	8.396e+01	1.564e+04	1.251e+02
11	1.151e+04	1.073e+02	1.113e+04	1.055e+02	1.589e+04	1.261e+02	1.252e+04	1.119e+02	1.017e+04	1.008e+02	7.131e+03	8.445e+01	1.660e+04	1.288e+02
12	1.190e+04	1.091e+02	1.170e+04	1.082e+02	1.655e+04	1.287e+02	1.327e+04	1.152e+02	1.069e+04	1.034e+02	7.598e+03	8.717e+01	1.754e+04	1.324e+02
13	1.243e+04	1.115e+02	1.237e+04	1.112e+02	1.746e+04	1.321e+02	1.372e+04	1.171e+02	1.130e+04	1.063e+02	7.816e+03	8.841e+01	1.865e+04	1.366e+02
14	1.298e+04	1.139e+02	1.279e+04	1.131e+02	1.820e+04	1.349e+02	1.410e+04	1.187e+02	1.174e+04	1.083e+02	8.463e+03	9.199e+01	1.939e+04	1.392e+02
15	1.326e+04	1.151e+02	1.349e+04	1.161e+02	1.903e+04	1.380e+02	1.477e+04	1.215e+02	1.258e+04	1.121e+02	8.828e+03	9.396e+01	2.046e+04	1.430e+02
16	1.394e+04	1.181e+02	1.431e+04	1.196e+02	1.983e+04	1.408e+02	1.535e+04	1.239e+02	1.270e+04	1.127e+02	9.248e+03	9.617e+01	2.139e+04	1.462e+02
17	1.408e+04	1.187e+02	1.430e+04	1.196e+02	2.136e+04	1.461e+02	1.580e+04	1.257e+02	1.320e+04	1.149e+02	9.684e+03	9.841e+01	2.189e+04	1.480e+02
18	1.505e+04	1.227e+02	1.523e+04	1.234e+02	2.201e+04	1.484e+02	1.660e+04	1.288e+02	1.362e+04	1.167e+02	9.868e+03	9.934e+01	2.253e+04	1.501e+02
19	1.576e+04	1.255e+02	1.605e+04	1.267e+02	2.294e+04	1.514e+02	1.700e+04	1.304e+02	1.441e+04	1.200e+02	1.062e+04	1.031e+02	2.362e+04	1.537e+02
20	1.640e+04	1.280e+02	1.649e+04	1.284e+02	2.358e+04	1.536e+02	1.776e+04	1.333e+02	1.566e+04	1.251e+02	1.081e+04	1.040e+02	2.528e+04	1.590e+02
21	1.704e+04	1.305e+02	1.731e+04	1.316e+02	2.489e+04	1.578e+02	1.844e+04	1.358e+02	1.598e+04	1.264e+02	1.132e+04	1.064e+02	2.624e+04	1.620e+02
22	1.719e+04	1.311e+02	1.794e+04	1.339e+02	2.571e+04	1.603e+02	1.910e+04	1.382e+02	1.625e+04	1.275e+02	1.186e+04	1.089e+02	2.693e+04	1.641e+02
23	1.787e+04	1.337e+02	1.913e+04	1.383e+02	2.656e+04	1.630e+02	1.976e+04	1.406e+02	1.710e+04	1.308e+02	1.217e+04	1.103e+02	2.796e+04	1.672e+02
24	1.873e+04	1.369e+02	1.966e+04	1.402e+02	2.808e+04	1.676e+02	2.060e+04	1.435e+02	1.795e+04	1.340e+02	1.265e+04	1.125e+02	2.875e+04	1.696e+02
25	1.944e+04	1.394e+02	1.972e+04	1.404e+02	2.895e+04	1.701e+02	2.110e+04	1.452e+02	1.838e+04	1.356e+02	1.302e+04	1.141e+02	2.943e+04	1.716e+02
