# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.779e+00	6.754e-01	8.282e-01	3.388e-01	9.646e-01	3.948e-01	7.000e-01	3.748e-01	1.136e+00	5.698e-01	6.579e-01	4.660e-01	7.072e-01	3.168e-01
2	4.098e-01	3.350e-01	6.160e-01	3.562e-01	7.772e-01	3.671e-01	5.263e-01	3.333e-01	7.485e-01	4.743e-01	1.277e+00	6.850e-01	6.483e-01	3.247e-01
3	8.343e-01	4.469e-01	6.322e-01	3.656e-01	4.195e-01	2.656e-01	8.869e-01	4.444e-01	2.778e-01	2.780e-01	8.157e-01	5.169e-01	6.354e-01	3.182e-01
4	7.344e-01	4.248e-01	9.082e-01	4.291e-01	7.070e-01	3.339e-01	6.548e-01	3.506e-01	1.017e+00	5.096e-01	4.808e-01	3.930e-01	9.709e-01	3.817e-01
5	6.810e-01	3.939e-01	1.127e+00	4.819e-01	1.020e+00	4.013e-01	1.315e+00	4.985e-01	9.840e-01	4.932e-01	7.874e-01	4.990e-01	9.015e-01	3.544e-01
6	1.236e+00	5.061e-01	1.240e+00	5.077e-01	9.986e-01	3.784e-01	5.008e-01	2.895e-01	1.151e+00	5.161e-01	1.168e+00	5.857e-01	5.769e-01	2.724e-01
7	1.367e+00	5.185e-01	1.213e+00	4.771e-01	1.540e+00	4.464e-01	7.270e-01	3.433e-01	7.338e-01	3.929e-01	8.571e-01	4.959e-01	8.211e-01	3.110e-01
8	8.435e-01	3.985e-01	9.259e-01	4.151e-01	8.080e-01	3.176e-01	4.728e-01	2.733e-01	1.031e+00	4.622e-01	7.624e-01	4.410e-01	1.136e+00	3.604e-01
9	8.072e-01	3.813e-01	1.084e+00	4.438e-01	9.792e-01	3.471e-01	7.062e-01	3.164e-01	7.976e-01	3.996e-01	3.836e-01	3.135e-01	9.214e-01	3.168e-01
10	8.749e-01	3.921e-01	9.213e-01	3.937e-01	6.232e-01	2.662e-01	5.818e-01	2.913e-01	6.604e-01	3.536e-01	1.163e+00	5.215e-01	5.699e-01	2.434e-01
11	5.719e-01	3.061e-01	1.009e+00	3.966e-01	7.119e-01	2.797e-01	8.264e-01	3.381e-01	3.660e-01	2.590e-01	8.696e-01	4.357e-01	6.767e-01	2.562e-01
12	5.124e-01	2.743e-01	6.202e-01	3.106e-01	1.002e+00	3.259e-01	6.640e-01	2.975e-01	1.118e+00	4.397e-01	1.025e+00	4.845e-01	7.741e-01	2.660e-01
13	9.566e-01	3.761e-01	3.623e-01	2.294e-01	8.354e-01	2.871e-01	9.791e-01	3.584e-01	9.509e-01	3.891e-01	7.479e-01	4.005e-01	5.843e-01	2.212e-01
14	9.943e-01	3.768e-01	1.205e+00	4.028e-01	5.900e-01	2.412e-01	9.585e-01	3.508e-01	9.043e-01	3.700e-01	6.289e-01	3.637e-01	6.888e-01	2.367e-01
15	1.042e+00	3.695e-01	8.322e-01	3.404e-01	8.104e-01	2.707e-01	6.399e-01	2.733e-01	7.112e-01	3.186e-01	7.685e-01	3.850e-01	7.886e-01	2.438e-01
16	9.721e-01	3.558e-01	8.838e-01	3.348e-01	1.321e+00	3.368e-01	7.659e-01	2.900e-01	6.803e-01	3.047e-01	9.964e-01	4.259e-01	8.285e-01	2.448e-01
17	9.242e-01	3.383e-01	7.912e-01	3.110e-01	9.831e-01	2.787e-01	1.073e+00	3.492e-01	9.352e-01	3.543e-01	1.296e+00	4.916e-01	8.285e-01	2.448e-01
18	9.481e-01	3.260e-01	1.043e+00	3.394e-01	8.181e-01	2.472e-01	1.121e+00	3.468e-01	1.061e+00	3.650e-01	7.260e-01	3.636e-01	1.165e+00	2.793e-01
19	1.462e+00	3.922e-01	8.466e-01	2.999e-01	1.125e+00	2.820e-01	9.635e-01	3.134e-01	1.230e+00	3.721e-01	1.484e+00	4.965e-01	1.181e+00	2.793e-01
20	7.028e-01	2.661e-01	1.064e+00	3.292e-01	5.726e-01	1.967e-01	1.226e+00	3.479e-01	1.190e+00	3.683e-01	8.397e-01	3.588e-01	8.580e-01	2.258e-01
21	9.420e-01	3.063e-01	8.256e-01	2.838e-01	6.481e-01	2.003e-01	7.362e-01	2.530e-01	8.205e-01	2.907e-01	1.582e+00	4.788e-01	8.148e-01	2.108e-01
22	7.619e-01	2.699e-01	1.008e+00	3.046e-01	6.509e-01	1.966e-01	6.683e-01	2.367e-01	9.654e-01	3.140e-01	1.283e+00	4.176e-01	8.494e-01	2.096e-01
23	7.958e-01	2.658e-01	7.705e-01	2.573e-01	7.928e-01	2.123e-01	8.567e-01	2.589e-01	5.866e-01	2.304e-01	8.855e-01	3.354e-01	6.788e-01	1.817e-01
24	1.362e+00	3.314e-01	7.166e-01	2.393e-01	9.783e-01	2.280e-01	1.047e+00	2.756e-01	1.132e+00	3.150e-01	1.038e+00	3.569e-01	7.876e-01	1.943e-01
25	6.206e-01	2.198e-01	9.116e-01	2.694e-01	9.689e-01	2.200e-01	7.768e-01	2.347e-01	7.829e-01	2.545e-01	9.254e-01	3.279e-01	7.635e-01	1.855e-01
