# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=1		POL=1		POL=1		POL=5		POL=1		POL=1		POL=1	
1	2.850e+02	1.688e+01	4.190e+02	2.047e+01	3.380e+02	1.838e+01	3.840e+02	1.960e+01	2.220e+02	1.490e+01	1.620e+02	1.273e+01	3.850e+02	1.962e+01
2	3.470e+02	1.863e+01	3.990e+02	1.997e+01	3.540e+02	1.881e+01	3.780e+02	1.944e+01	2.140e+02	1.463e+01	1.580e+02	1.257e+01	3.900e+02	1.975e+01
3	3.470e+02	1.863e+01	3.210e+02	1.792e+01	3.190e+02	1.786e+01	4.610e+02	2.147e+01	2.260e+02	1.503e+01	1.780e+02	1.334e+01	3.740e+02	1.934e+01
4	3.440e+02	1.855e+01	3.170e+02	1.780e+01	4.000e+02	2.000e+01	5.360e+02	2.315e+01	2.230e+02	1.493e+01	1.780e+02	1.334e+01	4.610e+02	2.147e+01
5	4.330e+02	2.081e+01	3.510e+02	1.873e+01	4.200e+02	2.049e+01	6.420e+02	2.534e+01	2.930e+02	1.712e+01	1.870e+02	1.367e+01	4.790e+02	2.189e+01
6	4.550e+02	2.133e+01	3.590e+02	1.895e+01	5.010e+02	2.238e+01	6.940e+02	2.634e+01	2.950e+02	1.718e+01	2.350e+02	1.533e+01	5.650e+02	2.377e+01
7	4.770e+02	2.184e+01	3.960e+02	1.990e+01	5.380e+02	2.319e+01	8.230e+02	2.869e+01	3.200e+02	1.789e+01	2.680e+02	1.637e+01	5.820e+02	2.412e+01
8	4.580e+02	2.140e+01	4.630e+02	2.152e+01	5.700e+02	2.387e+01	8.670e+02	2.944e+01	3.570e+02	1.889e+01	2.740e+02	1.655e+01	6.390e+02	2.528e+01
9	4.770e+02	2.184e+01	4.300e+02	2.074e+01	5.610e+02	2.369e+01	8.890e+02	2.982e+01	3.980e+02	1.995e+01	2.750e+02	1.658e+01	6.920e+02	2.631e+01
10	4.680e+02	2.163e+01	4.920e+02	2.218e+01	6.240e+02	2.498e+01	7.790e+02	2.791e+01	4.140e+02	2.035e+01	3.010e+02	1.735e+01	7.360e+02	2.713e+01
11	4.890e+02	2.211e+01	4.500e+02	2.121e+01	6.510e+02	2.551e+01	8.340e+02	2.888e+01	4.250e+02	2.062e+01	3.210e+02	1.792e+01	8.010e+02	2.830e+01
12	4.420e+02	2.102e+01	5.110e+02	2.261e+01	6.510e+02	2.551e+01	7.380e+02	2.717e+01	4.070e+02	2.017e+01	3.110e+02	1.764e+01	8.150e+02	2.855e+01
13	4.500e+02	2.121e+01	5.190e+02	2.278e+01	6.870e+02	2.621e+01	7.530e+02	2.744e+01	4.550e+02	2.133e+01	3.370e+02	1.836e+01	8.390e+02	2.897e+01
14	4.900e+02	2.214e+01	5.450e+02	2.335e+01	7.280e+02	2.698e+01	7.650e+02	2.766e+01	4.450e+02	2.110e+01	3.260e+02	1.806e+01	8.770e+02	2.961e+01
15	5.530e+02	2.352e+01	5.480e+02	2.341e+01	8.030e+02	2.834e+01	7.550e+02	2.748e+01	4.670e+02	2.161e+01	3.560e+02	1.887e+01	9.560e+02	3.092e+01
16	4.750e+02	2.179e+01	5.350e+02	2.313e+01	7.800e+02	2.793e+01	6.820e+02	2.612e+01	4.600e+02	2.145e+01	3.850e+02	1.962e+01	9.880e+02	3.143e+01
17	6.010e+02	2.452e+01	5.920e+02	2.433e+01	8.420e+02	2.902e+01	6.800e+02	2.608e+01	5.100e+02	2.258e+01	4.020e+02	2.005e+01	9.920e+02	3.150e+01
18	5.610e+02	2.369e+01	6.620e+02	2.573e+01	8.960e+02	2.993e+01	6.890e+02	2.625e+01	5.480e+02	2.341e+01	3.810e+02	1.952e+01	9.970e+02	3.158e+01
19	5.700e+02	2.387e+01	6.850e+02	2.617e+01	9.370e+02	3.061e+01	6.940e+02	2.634e+01	5.700e+02	2.387e+01	3.940e+02	1.985e+01	1.100e+03	3.317e+01
20	5.930e+02	2.435e+01	6.770e+02	2.602e+01	9.330e+02	3.055e+01	6.990e+02	2.644e+01	5.960e+02	2.441e+01	4.050e+02	2.012e+01	1.109e+03	3.330e+01
21	6.330e+02	2.516e+01	6.420e+02	2.534e+01	9.580e+02	3.095e+01	7.310e+02	2.704e+01	5.890e+02	2.427e+01	4.580e+02	2.140e+01	1.127e+03	3.357e+01
22	6.790e+02	2.606e+01	6.890e+02	2.625e+01	1.025e+03	3.202e+01	7.540e+02	2.746e+01	6.450e+02	2.540e+01	4.460e+02	2.112e+01	1.237e+03	3.517e+01
23	6.470e+02	2.544e+01	7.420e+02	2.724e+01	1.097e+03	3.312e+01	7.470e+02	2.733e+01	6.810e+02	2.610e+01	4.250e+02	2.062e+01	1.246e+03	3.530e+01
24	7.040e+02	2.653e+01	8.320e+02	2.884e+01	1.189e+03	3.448e+01	7.550e+02	2.748e+01	6.500e+02	2.550e+01	4.360e+02	2.088e+01	1.173e+03	3.425e+01
25	7.220e+02	2.687e+01	7.970e+02	2.823e+01	1.147e+03	3.387e+01	7.740e+02	2.782e+01	7.190e+02	2.681e+01	4.950e+02	2.225e+01	1.378e+03	3.712e+01
