# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_2/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7
# plane	POL=1		POL=0		POL=1		POL=1		POL=5		POL=1		POL=1	
1	4.250e+04	2.062e+02	3.556e+04	1.886e+02	5.342e+04	2.311e+02	4.940e+04	2.223e+02	3.346e+04	1.829e+02	3.020e+04	1.738e+02	6.541e+04	2.558e+02
2	5.054e+04	2.248e+02	5.586e+04	2.363e+02	5.551e+04	2.356e+02	5.962e+04	2.442e+02	3.341e+04	1.828e+02	3.332e+04	1.825e+02	7.074e+04	2.660e+02
3	5.023e+04	2.241e+02	5.677e+04	2.383e+02	5.478e+04	2.341e+02	5.936e+04	2.436e+02	3.284e+04	1.812e+02	3.341e+04	1.828e+02	7.011e+04	2.648e+02
4	4.952e+04	2.225e+02	5.745e+04	2.397e+02	5.482e+04	2.341e+02	5.938e+04	2.437e+02	3.290e+04	1.814e+02	3.356e+04	1.832e+02	7.045e+04	2.654e+02
5	4.973e+04	2.230e+02	5.641e+04	2.375e+02	5.443e+04	2.333e+02	5.889e+04	2.427e+02	3.340e+04	1.828e+02	3.349e+04	1.830e+02	7.041e+04	2.653e+02
6	5.013e+04	2.239e+02	5.686e+04	2.385e+02	5.504e+04	2.346e+02	5.918e+04	2.433e+02	3.376e+04	1.838e+02	3.386e+04	1.840e+02	7.117e+04	2.668e+02
7	5.084e+04	2.255e+02	5.752e+04	2.398e+02	5.573e+04	2.361e+02	5.983e+04	2.446e+02	3.392e+04	1.842e+02	3.371e+04	1.836e+02	7.178e+04	2.679e+02
8	5.114e+04	2.262e+02	5.747e+04	2.397e+02	5.662e+04	2.379e+02	6.019e+04	2.453e+02	3.447e+04	1.857e+02	3.378e+04	1.838e+02	7.283e+04	2.699e+02
9	5.142e+04	2.268e+02	5.851e+04	2.419e+02	5.710e+04	2.390e+02	6.083e+04	2.466e+02	3.522e+04	1.877e+02	3.420e+04	1.849e+02	7.367e+04	2.714e+02
10	5.126e+04	2.264e+02	5.832e+04	2.415e+02	5.779e+04	2.404e+02	6.088e+04	2.467e+02	3.580e+04	1.892e+02	3.432e+04	1.853e+02	7.418e+04	2.724e+02
11	5.188e+04	2.278e+02	5.853e+04	2.419e+02	5.815e+04	2.411e+02	6.098e+04	2.469e+02	3.629e+04	1.905e+02	3.447e+04	1.857e+02	7.495e+04	2.738e+02
12	5.222e+04	2.285e+02	5.956e+04	2.441e+02	5.844e+04	2.417e+02	6.151e+04	2.480e+02	3.675e+04	1.917e+02	3.484e+04	1.867e+02	7.560e+04	2.750e+02
13	5.242e+04	2.290e+02	6.094e+04	2.469e+02	5.922e+04	2.434e+02	6.222e+04	2.494e+02	3.742e+04	1.935e+02	3.513e+04	1.874e+02	7.684e+04	2.772e+02
14	5.268e+04	2.295e+02	6.161e+04	2.482e+02	5.960e+04	2.441e+02	6.281e+04	2.506e+02	3.784e+04	1.945e+02	3.555e+04	1.885e+02	7.718e+04	2.778e+02
15	5.311e+04	2.305e+02	6.074e+04	2.464e+02	6.020e+04	2.454e+02	6.302e+04	2.510e+02	3.861e+04	1.965e+02	3.524e+04	1.877e+02	7.843e+04	2.800e+02
16	5.340e+04	2.311e+02	6.228e+04	2.496e+02	6.049e+04	2.459e+02	6.344e+04	2.519e+02	3.887e+04	1.972e+02	3.607e+04	1.899e+02	7.868e+04	2.805e+02
17	5.551e+04	2.356e+02	6.186e+04	2.487e+02	6.298e+04	2.510e+02	6.372e+04	2.524e+02	3.871e+04	1.968e+02	3.638e+04	1.907e+02	7.862e+04	2.804e+02
18	5.610e+04	2.369e+02	6.319e+04	2.514e+02	6.350e+04	2.520e+02	6.466e+04	2.543e+02	3.960e+04	1.990e+02	3.692e+04	1.921e+02	7.992e+04	2.827e+02
19	5.640e+04	2.375e+02	6.448e+04	2.539e+02	6.377e+04	2.525e+02	6.527e+04	2.555e+02	4.026e+04	2.006e+02	3.758e+04	1.939e+02	8.108e+04	2.847e+02
20	5.592e+04	2.365e+02	6.385e+04	2.527e+02	6.358e+04	2.522e+02	6.583e+04	2.566e+02	4.141e+04	2.035e+02	3.666e+04	1.915e+02	8.258e+04	2.874e+02
21	5.562e+04	2.358e+02	6.449e+04	2.540e+02	6.438e+04	2.537e+02	6.660e+04	2.581e+02	4.206e+04	2.051e+02	3.674e+04	1.917e+02	8.342e+04	2.888e+02
22	5.669e+04	2.381e+02	6.598e+04	2.569e+02	6.447e+04	2.539e+02	6.719e+04	2.592e+02	4.206e+04	2.051e+02	3.740e+04	1.934e+02	8.416e+04	2.901e+02
23	5.715e+04	2.391e+02	6.733e+04	2.595e+02	6.565e+04	2.562e+02	6.769e+04	2.602e+02	4.275e+04	2.068e+02	3.772e+04	1.942e+02	8.538e+04	2.922e+02
24	5.820e+04	2.412e+02	6.763e+04	2.601e+02	6.650e+04	2.579e+02	6.871e+04	2.621e+02	4.328e+04	2.080e+02	3.798e+04	1.949e+02	8.614e+04	2.935e+02
25	5.876e+04	2.424e+02	6.801e+04	2.608e+02	6.714e+04	2.591e+02	6.941e+04	2.635e+02	4.352e+04	2.086e+02	3.893e+04	1.973e+02	8.708e+04	2.951e+02
