# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.108e+00	1.065e-01	9.001e-01	1.421e-01	1.072e+00	1.089e-01	1.015e+00	1.078e-01	1.116e+00	1.753e-01	1.137e+00	1.248e-01	9.870e-01	1.447e-01	1.061e+00	1.178e-01	1.004e+00	1.211e-01	8.610e-01	1.367e-01	1.216e+00	1.119e-01
2	1.023e+00	1.003e-01	9.455e-01	1.466e-01	1.311e+00	1.185e-01	1.058e+00	1.077e-01	9.857e-01	1.607e-01	1.082e+00	1.140e-01	8.325e-01	1.253e-01	1.004e+00	1.095e-01	1.151e+00	1.260e-01	1.031e+00	1.451e-01	1.055e+00	9.890e-02
3	1.070e+00	1.012e-01	1.082e+00	1.546e-01	9.349e-01	9.638e-02	1.171e+00	1.110e-01	1.041e+00	1.645e-01	1.114e+00	1.109e-01	1.226e+00	1.474e-01	1.090e+00	1.134e-01	9.454e-01	1.112e-01	1.010e+00	1.395e-01	1.275e+00	1.072e-01
4	1.031e+00	9.723e-02	1.072e+00	1.501e-01	9.492e-01	9.398e-02	1.055e+00	1.015e-01	1.111e+00	1.684e-01	9.779e-01	1.008e-01	1.090e+00	1.376e-01	1.238e+00	1.182e-01	1.034e+00	1.137e-01	9.740e-01	1.332e-01	1.127e+00	9.887e-02
5	1.130e+00	9.964e-02	1.027e+00	1.453e-01	1.003e+00	9.377e-02	1.134e+00	1.045e-01	1.273e+00	1.760e-01	1.116e+00	1.042e-01	1.092e+00	1.332e-01	1.006e+00	1.040e-01	1.147e+00	1.174e-01	1.036e+00	1.362e-01	9.787e-01	8.997e-02
6	1.058e+00	9.400e-02	9.792e-01	1.385e-01	1.147e+00	9.719e-02	1.080e+00	9.915e-02	1.266e+00	1.750e-01	1.198e+00	1.051e-01	1.102e+00	1.338e-01	1.239e+00	1.127e-01	1.247e+00	1.213e-01	1.047e+00	1.353e-01	1.137e+00	9.629e-02
7	1.026e+00	9.084e-02	9.604e-01	1.332e-01	1.140e+00	9.453e-02	1.020e+00	9.338e-02	9.170e-01	1.422e-01	1.008e+00	9.329e-02	1.042e+00	1.260e-01	1.032e+00	1.000e-01	1.139e+00	1.142e-01	9.794e-01	1.271e-01	1.117e+00	9.153e-02
8	1.010e+00	8.865e-02	1.042e+00	1.353e-01	1.002e+00	8.671e-02	1.082e+00	9.509e-02	1.144e+00	1.566e-01	8.645e-01	8.555e-02	9.934e-01	1.211e-01	1.197e+00	1.039e-01	9.755e-01	1.036e-01	1.051e+00	1.296e-01	1.073e+00	8.746e-02
9	1.013e+00	8.696e-02	9.187e-01	1.286e-01	1.099e+00	8.875e-02	9.312e-01	8.649e-02	1.283e+00	1.674e-01	1.046e+00	8.949e-02	9.690e-01	1.136e-01	9.852e-01	9.334e-02	1.040e+00	1.043e-01	9.048e-01	1.173e-01	1.007e+00	8.249e-02
10	1.010e+00	8.545e-02	9.557e-01	1.272e-01	1.086e+00	8.643e-02	1.044e+00	8.947e-02	9.934e-01	1.398e-01	1.038e+00	8.916e-02	1.115e+00	1.209e-01	1.122e+00	9.626e-02	1.027e+00	1.012e-01	1.253e+00	1.363e-01	9.997e-01	8.096e-02
11	1.084e+00	8.710e-02	1.067e+00	1.300e-01	1.012e+00	8.079e-02	9.704e-01	8.455e-02	1.123e+00	1.458e-01	1.147e+00	9.224e-02	9.568e-01	1.085e-01	1.114e+00	9.454e-02	9.680e-01	9.752e-02	9.787e-01	1.176e-01	1.081e+00	8.227e-02
