# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	3.811e-01	3.637e-02	4.577e-01	5.706e-02	3.974e-01	3.701e-02	4.376e-01	4.121e-02	3.511e-01	5.701e-02	3.835e-01	3.848e-02	3.974e-01	4.367e-02	4.077e-01	4.176e-02	4.100e-01	3.649e-02	3.775e-01	4.858e-02	4.538e-01	4.139e-02
2	3.797e-01	3.623e-02	3.837e-01	5.325e-02	3.950e-01	3.640e-02	3.777e-01	3.868e-02	3.730e-01	6.017e-02	3.983e-01	3.872e-02	4.080e-01	4.378e-02	3.749e-01	3.923e-02	4.168e-01	3.739e-02	3.420e-01	4.658e-02	4.049e-01	3.838e-02
3	3.667e-01	3.532e-02	4.246e-01	5.631e-02	3.591e-01	3.459e-02	3.229e-01	3.558e-02	3.604e-01	5.890e-02	3.758e-01	3.810e-02	4.625e-01	4.677e-02	4.460e-01	4.421e-02	4.189e-01	3.852e-02	3.435e-01	4.768e-02	4.286e-01	4.100e-02
4	3.834e-01	3.642e-02	4.140e-01	5.539e-02	3.750e-01	3.523e-02	4.092e-01	4.026e-02	4.601e-01	6.718e-02	4.029e-01	4.003e-02	4.011e-01	4.461e-02	3.882e-01	4.143e-02	4.088e-01	3.867e-02	4.088e-01	5.240e-02	4.285e-01	4.137e-02
5	4.151e-01	3.858e-02	4.075e-01	5.551e-02	4.330e-01	3.839e-02	4.189e-01	4.142e-02	3.839e-01	6.193e-02	4.007e-01	4.021e-02	3.242e-01	4.009e-02	4.125e-01	4.364e-02	4.150e-01	3.970e-02	3.864e-01	5.215e-02	4.506e-01	4.301e-02
6	3.915e-01	3.736e-02	3.617e-01	5.281e-02	4.281e-01	3.810e-02	4.376e-01	4.265e-02	3.741e-01	6.156e-02	3.750e-01	3.956e-02	3.911e-01	4.582e-02	3.754e-01	4.189e-02	3.614e-01	3.751e-02	4.151e-01	5.505e-02	4.180e-01	4.206e-02
7	3.903e-01	3.777e-02	3.442e-01	5.194e-02	3.991e-01	3.702e-02	3.742e-01	3.970e-02	3.687e-01	6.150e-02	4.048e-01	4.157e-02	4.078e-01	4.730e-02	4.039e-01	4.322e-02	3.634e-01	3.834e-02	4.583e-01	5.781e-02	4.142e-01	4.167e-02
8	3.854e-01	3.765e-02	4.167e-01	5.703e-02	3.838e-01	3.630e-02	4.208e-01	4.212e-02	4.743e-01	6.963e-02	4.183e-01	4.354e-02	4.463e-01	4.995e-02	4.103e-01	4.391e-02	4.093e-01	4.150e-02	3.688e-01	5.169e-02	4.378e-01	4.287e-02
9	3.699e-01	3.721e-02	3.974e-01	5.833e-02	3.534e-01	3.564e-02	3.972e-01	4.203e-02	5.125e-01	7.485e-02	4.356e-01	4.350e-02	3.559e-01	4.385e-02	4.421e-01	4.601e-02	4.399e-01	4.308e-02	4.060e-01	5.481e-02	4.577e-01	4.420e-02
10	4.318e-01	4.076e-02	3.739e-01	5.610e-02	4.436e-01	3.988e-02	3.702e-01	4.067e-02	3.078e-01	5.719e-02	4.233e-01	4.359e-02	4.403e-01	4.990e-02	3.943e-01	4.244e-02	3.701e-01	3.983e-02	3.645e-01	5.239e-02	4.088e-01	4.134e-02
