# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1	
1	2.190e+02	1.480e+01	8.100e+01	9.000e+00	1.960e+02	1.400e+01	1.790e+02	1.338e+01	8.200e+01	9.055e+00	1.680e+02	1.296e+01	9.400e+01	9.695e+00	1.640e+02	1.281e+01	1.390e+02	1.179e+01	8.000e+01	8.944e+00	2.390e+02	1.546e+01
2	2.100e+02	1.449e+01	8.400e+01	9.165e+00	2.480e+02	1.575e+01	1.950e+02	1.396e+01	7.600e+01	8.718e+00	1.820e+02	1.349e+01	8.900e+01	9.434e+00	1.700e+02	1.304e+01	1.690e+02	1.300e+01	1.020e+02	1.010e+01	2.300e+02	1.517e+01
3	2.260e+02	1.503e+01	9.900e+01	9.950e+00	1.900e+02	1.378e+01	2.250e+02	1.500e+01	8.100e+01	9.000e+00	2.040e+02	1.428e+01	1.400e+02	1.183e+01	1.870e+02	1.367e+01	1.460e+02	1.208e+01	1.060e+02	1.030e+01	2.870e+02	1.694e+01
4	2.270e+02	1.507e+01	1.030e+02	1.015e+01	2.060e+02	1.435e+01	2.180e+02	1.476e+01	8.800e+01	9.381e+00	1.900e+02	1.378e+01	1.270e+02	1.127e+01	2.220e+02	1.490e+01	1.670e+02	1.292e+01	1.080e+02	1.039e+01	2.630e+02	1.622e+01
5	2.600e+02	1.612e+01	1.010e+02	1.005e+01	2.310e+02	1.520e+01	2.380e+02	1.543e+01	1.060e+02	1.030e+01	2.320e+02	1.523e+01	1.360e+02	1.166e+01	1.890e+02	1.375e+01	1.930e+02	1.389e+01	1.170e+02	1.082e+01	2.390e+02	1.546e+01
6	2.560e+02	1.600e+01	1.010e+02	1.005e+01	2.820e+02	1.679e+01	2.400e+02	1.549e+01	1.060e+02	1.030e+01	2.630e+02	1.622e+01	1.370e+02	1.170e+01	2.450e+02	1.565e+01	2.140e+02	1.463e+01	1.210e+02	1.100e+01	2.820e+02	1.679e+01
7	2.580e+02	1.606e+01	1.050e+02	1.025e+01	2.940e+02	1.715e+01	2.410e+02	1.552e+01	8.400e+01	9.165e+00	2.360e+02	1.536e+01	1.380e+02	1.175e+01	2.150e+02	1.466e+01	2.010e+02	1.418e+01	1.200e+02	1.095e+01	3.010e+02	1.735e+01
8	2.620e+02	1.619e+01	1.200e+02	1.095e+01	2.700e+02	1.643e+01	2.620e+02	1.619e+01	1.080e+02	1.039e+01	2.060e+02	1.435e+01	1.360e+02	1.166e+01	2.690e+02	1.640e+01	1.790e+02	1.338e+01	1.330e+02	1.153e+01	3.040e+02	1.744e+01
9	2.740e+02	1.655e+01	1.030e+02	1.015e+01	3.100e+02	1.761e+01	2.340e+02	1.530e+01	1.190e+02	1.091e+01	2.760e+02	1.661e+01	1.470e+02	1.212e+01	2.250e+02	1.500e+01	2.010e+02	1.418e+01	1.200e+02	1.095e+01	3.010e+02	1.735e+01
10	2.820e+02	1.679e+01	1.140e+02	1.068e+01	3.190e+02	1.786e+01	2.750e+02	1.658e+01	1.020e+02	1.010e+01	2.740e+02	1.655e+01	1.720e+02	1.311e+01	2.750e+02	1.658e+01	2.080e+02	1.442e+01	1.710e+02	1.308e+01	3.080e+02	1.755e+01
11	3.130e+02	1.769e+01	1.360e+02	1.166e+01	3.170e+02	1.780e+01	2.660e+02	1.631e+01	1.200e+02	1.095e+01	3.130e+02	1.769e+01	1.570e+02	1.253e+01	2.810e+02	1.676e+01	1.990e+02	1.411e+01	1.400e+02	1.183e+01	3.490e+02	1.868e+01
12	3.040e+02	1.744e+01	1.300e+02	1.140e+01	3.490e+02	1.868e+01	2.790e+02	1.670e+01	1.330e+02	1.153e+01	3.120e+02	1.766e+01	1.810e+02	1.345e+01	3.100e+02	1.761e+01	2.180e+02	1.476e+01	1.350e+02	1.162e+01	3.750e+02	1.936e+01
13	3.110e+02	1.764e+01	1.660e+02	1.288e+01	3.550e+02	1.884e+01	3.240e+02	1.800e+01	1.140e+02	1.068e+01	3.450e+02	1.857e+01	1.570e+02	1.253e+01	2.570e+02	1.603e+01	2.200e+02	1.483e+01	1.400e+02	1.183e+01	3.560e+02	1.887e+01
14	3.270e+02	1.808e+01	1.340e+02	1.158e+01	3.750e+02	1.936e+01	3.200e+02	1.789e+01	1.070e+02	1.034e+01	3.440e+02	1.855e+01	1.850e+02	1.360e+01	2.630e+02	1.622e+01	2.450e+02	1.565e+01	1.860e+02	1.364e+01	4.110e+02	2.027e+01
15	3.540e+02	1.881e+01	1.480e+02	1.217e+01	4.020e+02	2.005e+01	3.360e+02	1.833e+01	1.290e+02	1.136e+01	3.110e+02	1.764e+01	1.950e+02	1.396e+01	2.980e+02	1.726e+01	2.570e+02	1.603e+01	1.870e+02	1.367e+01	3.590e+02	1.895e+01
16	3.890e+02	1.972e+01	1.560e+02	1.249e+01	4.220e+02	2.054e+01	3.470e+02	1.863e+01	1.490e+02	1.221e+01	3.590e+02	1.895e+01	2.140e+02	1.463e+01	3.120e+02	1.766e+01	2.750e+02	1.658e+01	1.990e+02	1.411e+01	4.340e+02	2.083e+01
17	4.170e+02	2.042e+01	1.610e+02	1.269e+01	4.270e+02	2.066e+01	3.550e+02	1.884e+01	1.390e+02	1.179e+01	3.570e+02	1.889e+01	2.070e+02	1.439e+01	3.290e+02	1.814e+01	2.780e+02	1.667e+01	1.730e+02	1.315e+01	4.270e+02	2.066e+01
18	3.810e+02	1.952e+01	1.820e+02	1.349e+01	3.780e+02	1.944e+01	3.560e+02	1.887e+01	1.450e+02	1.204e+01	3.620e+02	1.903e+01	2.310e+02	1.520e+01	3.450e+02	1.857e+01	3.020e+02	1.738e+01	2.020e+02	1.421e+01	4.990e+02	2.234e+01
19	4.130e+02	2.032e+01	1.880e+02	1.371e+01	4.490e+02	2.119e+01	3.670e+02	1.916e+01	1.450e+02	1.204e+01	4.100e+02	2.025e+01	2.220e+02	1.490e+01	3.480e+02	1.865e+01	2.870e+02	1.694e+01	1.810e+02	1.345e+01	4.720e+02	2.173e+01
