# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=5		POL=2		POL=5		POL=2		POL=2		POL=1		POL=2		POL=1		POL=2		POL=2		POL=2	
1	5.750e+04	2.398e+02	2.806e+04	1.675e+02	5.790e+04	2.406e+02	5.142e+04	2.268e+02	2.157e+04	1.469e+02	5.169e+04	2.274e+02	4.160e+04	2.040e+02	4.666e+04	2.160e+02	6.145e+04	2.479e+02	3.193e+04	1.787e+02	5.287e+04	2.299e+02
2	5.773e+04	2.403e+02	2.700e+04	1.643e+02	5.950e+04	2.439e+02	5.038e+04	2.245e+02	2.057e+04	1.434e+02	5.302e+04	2.303e+02	4.248e+04	2.061e+02	4.863e+04	2.205e+02	5.949e+04	2.439e+02	3.147e+04	1.774e+02	5.486e+04	2.342e+02
3	5.868e+04	2.422e+02	2.673e+04	1.635e+02	5.993e+04	2.448e+02	5.094e+04	2.257e+02	2.074e+04	1.440e+02	5.169e+04	2.274e+02	4.218e+04	2.054e+02	4.554e+04	2.134e+02	5.634e+04	2.374e+02	3.017e+04	1.737e+02	5.088e+04	2.256e+02
4	5.768e+04	2.402e+02	2.694e+04	1.641e+02	6.030e+04	2.456e+02	5.038e+04	2.245e+02	2.034e+04	1.426e+02	5.018e+04	2.240e+02	4.022e+04	2.006e+02	4.516e+04	2.125e+02	5.457e+04	2.336e+02	2.972e+04	1.724e+02	4.996e+04	2.235e+02
5	5.565e+04	2.359e+02	2.639e+04	1.625e+02	5.864e+04	2.422e+02	4.873e+04	2.208e+02	1.998e+04	1.413e+02	4.946e+04	2.224e+02	4.028e+04	2.007e+02	4.322e+04	2.079e+02	5.255e+04	2.292e+02	2.836e+04	1.684e+02	4.861e+04	2.205e+02
6	5.597e+04	2.366e+02	2.590e+04	1.609e+02	5.885e+04	2.426e+02	4.801e+04	2.191e+02	1.970e+04	1.404e+02	4.782e+04	2.187e+02	3.719e+04	1.928e+02	4.272e+04	2.067e+02	5.128e+04	2.265e+02	2.735e+04	1.654e+02	4.717e+04	2.172e+02
7	5.461e+04	2.337e+02	2.548e+04	1.596e+02	5.814e+04	2.411e+02	4.739e+04	2.177e+02	1.946e+04	1.395e+02	4.675e+04	2.162e+02	3.639e+04	1.908e+02	4.315e+04	2.077e+02	4.935e+04	2.221e+02	2.737e+04	1.654e+02	4.761e+04	2.182e+02
8	5.428e+04	2.330e+02	2.557e+04	1.599e+02	5.814e+04	2.411e+02	4.733e+04	2.176e+02	1.952e+04	1.397e+02	4.404e+04	2.099e+02	3.569e+04	1.889e+02	4.247e+04	2.061e+02	4.744e+04	2.178e+02	2.756e+04	1.660e+02	4.753e+04	2.180e+02
9	5.334e+04	2.309e+02	2.331e+04	1.527e+02	5.555e+04	2.357e+02	4.488e+04	2.119e+02	1.825e+04	1.351e+02	4.595e+04	2.144e+02	3.696e+04	1.922e+02	4.166e+04	2.041e+02	4.730e+04	2.175e+02	2.698e+04	1.643e+02	4.675e+04	2.162e+02
10	5.188e+04	2.278e+02	2.371e+04	1.540e+02	5.566e+04	2.359e+02	4.468e+04	2.114e+02	1.879e+04	1.371e+02	4.446e+04	2.109e+02	3.528e+04	1.878e+02	4.370e+04	2.090e+02	4.658e+04	2.158e+02	2.652e+04	1.628e+02	4.775e+04	2.185e+02
