# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=2		POL=2		POL=1		POL=1		POL=3		POL=1		POL=1		POL=1		POL=2		POL=1		POL=1	
1	9.770e+03	9.884e+01	4.459e+03	6.678e+01	9.043e+03	9.509e+01	8.731e+03	9.344e+01	3.633e+03	6.027e+01	7.301e+03	8.545e+01	4.715e+03	6.867e+01	7.644e+03	8.743e+01	6.851e+03	8.277e+01	4.606e+03	6.787e+01	9.706e+03	9.852e+01
2	1.016e+04	1.008e+02	4.400e+03	6.633e+01	9.335e+03	9.662e+01	9.116e+03	9.548e+01	3.817e+03	6.178e+01	8.320e+03	9.121e+01	5.301e+03	7.281e+01	8.377e+03	9.153e+01	7.255e+03	8.518e+01	4.895e+03	6.996e+01	1.079e+04	1.039e+02
3	1.045e+04	1.022e+02	4.526e+03	6.728e+01	1.007e+04	1.003e+02	9.496e+03	9.745e+01	3.849e+03	6.204e+01	9.058e+03	9.517e+01	5.640e+03	7.510e+01	8.484e+03	9.211e+01	7.649e+03	8.746e+01	5.193e+03	7.206e+01	1.111e+04	1.054e+02
4	1.090e+04	1.044e+02	4.754e+03	6.895e+01	1.075e+04	1.037e+02	1.023e+04	1.011e+02	3.917e+03	6.259e+01	9.620e+03	9.808e+01	5.760e+03	7.589e+01	8.855e+03	9.410e+01	7.995e+03	8.941e+01	5.490e+03	7.409e+01	1.153e+04	1.074e+02
5	1.138e+04	1.067e+02	4.865e+03	6.975e+01	1.140e+04	1.068e+02	1.038e+04	1.019e+02	4.111e+03	6.412e+01	1.028e+04	1.014e+02	6.159e+03	7.848e+01	9.297e+03	9.642e+01	8.320e+03	9.121e+01	5.587e+03	7.475e+01	1.209e+04	1.100e+02
6	1.197e+04	1.094e+02	5.107e+03	7.146e+01	1.215e+04	1.102e+02	1.099e+04	1.048e+02	4.134e+03	6.430e+01	1.084e+04	1.041e+02	6.150e+03	7.842e+01	9.761e+03	9.880e+01	8.473e+03	9.205e+01	5.717e+03	7.561e+01	1.226e+04	1.107e+02
7	1.244e+04	1.115e+02	5.414e+03	7.358e+01	1.275e+04	1.129e+02	1.170e+04	1.081e+02	4.538e+03	6.736e+01	1.158e+04	1.076e+02	6.556e+03	8.097e+01	1.031e+04	1.015e+02	8.725e+03	9.341e+01	6.066e+03	7.788e+01	1.333e+04	1.154e+02
8	1.284e+04	1.133e+02	5.696e+03	7.547e+01	1.333e+04	1.155e+02	1.197e+04	1.094e+02	4.666e+03	6.831e+01	1.181e+04	1.087e+02	6.777e+03	8.232e+01	1.110e+04	1.054e+02	9.085e+03	9.532e+01	6.259e+03	7.911e+01	1.402e+04	1.184e+02
9	1.339e+04	1.157e+02	5.554e+03	7.453e+01	1.395e+04	1.181e+02	1.245e+04	1.116e+02	4.578e+03	6.766e+01	1.306e+04	1.143e+02	7.512e+03	8.667e+01	1.131e+04	1.063e+02	9.565e+03	9.780e+01	6.571e+03	8.106e+01	1.480e+04	1.216e+02
10	1.383e+04	1.176e+02	5.907e+03	7.686e+01	1.453e+04	1.205e+02	1.304e+04	1.142e+02	5.083e+03	7.130e+01	1.306e+04	1.143e+02	7.628e+03	8.734e+01	1.211e+04	1.101e+02	1.002e+04	1.001e+02	6.740e+03	8.210e+01	1.525e+04	1.235e+02
11	1.428e+04	1.195e+02	6.307e+03	7.942e+01	1.550e+04	1.245e+02	1.357e+04	1.165e+02	5.282e+03	7.268e+01	1.348e+04	1.161e+02	8.126e+03	9.014e+01	1.247e+04	1.117e+02	1.018e+04	1.009e+02	7.082e+03	8.415e+01	1.597e+04	1.264e+02
12	1.498e+04	1.224e+02	6.442e+03	8.026e+01	1.573e+04	1.254e+02	1.382e+04	1.175e+02	5.363e+03	7.323e+01	1.463e+04	1.210e+02	8.440e+03	9.187e+01	1.282e+04	1.132e+02	1.079e+04	1.039e+02	7.626e+03	8.733e+01	1.666e+04	1.291e+02
13	1.558e+04	1.248e+02	6.712e+03	8.193e+01	1.669e+04	1.292e+02	1.465e+04	1.210e+02	5.730e+03	7.570e+01	1.450e+04	1.204e+02	8.653e+03	9.302e+01	1.320e+04	1.149e+02	1.094e+04	1.046e+02	7.834e+03	8.851e+01	1.717e+04	1.310e+02
14	1.583e+04	1.258e+02	6.906e+03	8.310e+01	1.733e+04	1.316e+02	1.470e+04	1.213e+02	5.593e+03	7.479e+01	1.408e+04	1.187e+02	8.623e+03	9.286e+01	1.331e+04	1.154e+02	1.113e+04	1.055e+02	7.787e+03	8.824e+01	1.718e+04	1.311e+02
15	1.694e+04	1.301e+02	7.095e+03	8.423e+01	1.785e+04	1.336e+02	1.549e+04	1.245e+02	5.910e+03	7.688e+01	1.505e+04	1.227e+02	9.115e+03	9.547e+01	1.400e+04	1.183e+02	1.169e+04	1.081e+02	8.165e+03	9.036e+01	1.833e+04	1.354e+02
16	1.740e+04	1.319e+02	7.379e+03	8.590e+01	1.875e+04	1.369e+02	1.621e+04	1.273e+02	6.261e+03	7.913e+01	1.590e+04	1.261e+02	1.003e+04	1.002e+02	1.454e+04	1.206e+02	1.265e+04	1.125e+02	8.401e+03	9.166e+01	1.929e+04	1.389e+02
17	1.817e+04	1.348e+02	7.826e+03	8.846e+01	1.944e+04	1.394e+02	1.657e+04	1.287e+02	6.443e+03	8.027e+01	1.672e+04	1.293e+02	1.039e+04	1.019e+02	1.512e+04	1.230e+02	1.291e+04	1.136e+02	9.116e+03	9.548e+01	2.024e+04	1.423e+02
18	1.851e+04	1.360e+02	8.119e+03	9.011e+01	1.975e+04	1.405e+02	1.716e+04	1.310e+02	6.859e+03	8.282e+01	1.764e+04	1.328e+02	1.046e+04	1.023e+02	1.613e+04	1.270e+02	1.364e+04	1.168e+02	9.218e+03	9.601e+01	2.128e+04	1.459e+02
19	1.927e+04	1.388e+02	8.427e+03	9.180e+01	2.041e+04	1.429e+02	1.784e+04	1.336e+02	6.966e+03	8.346e+01	1.785e+04	1.336e+02	1.122e+04	1.059e+02	1.626e+04	1.275e+02	1.400e+04	1.183e+02	9.385e+03	9.688e+01	2.154e+04	1.468e+02
20	1.978e+04	1.406e+02	8.521e+03	9.231e+01	2.086e+04	1.444e+02	1.799e+04	1.341e+02	7.214e+03	8.494e+01	1.803e+04	1.343e+02	1.132e+04	1.064e+02	1.606e+04	1.267e+02	1.390e+04	1.179e+02	9.498e+03	9.746e+01	2.104e+04	1.451e+02
21	1.989e+04	1.410e+02	8.767e+03	9.363e+01	2.186e+04	1.479e+02	1.871e+04	1.368e+02	7.327e+03	8.560e+01	1.765e+04	1.328e+02	1.152e+04	1.073e+02	1.710e+04	1.308e+02	1.470e+04	1.212e+02	1.004e+04	1.002e+02	2.267e+04	1.506e+02
22	2.090e+04	1.446e+02	9.085e+03	9.532e+01	2.253e+04	1.501e+02	1.926e+04	1.388e+02	7.641e+03	8.741e+01	1.827e+04	1.352e+02	1.166e+04	1.080e+02	1.737e+04	1.318e+02	1.499e+04	1.224e+02	1.028e+04	1.014e+02	2.305e+04	1.518e+02
23	2.146e+04	1.465e+02	9.385e+03	9.688e+01	2.313e+04	1.521e+02	1.953e+04	1.398e+02	7.756e+03	8.807e+01	1.969e+04	1.403e+02	1.246e+04	1.116e+02	1.828e+04	1.352e+02	1.611e+04	1.269e+02	1.101e+04	1.049e+02	2.429e+04	1.559e+02
24	2.258e+04	1.503e+02	9.632e+03	9.814e+01	2.427e+04	1.558e+02	2.061e+04	1.436e+02	8.027e+03	8.959e+01	1.946e+04	1.395e+02	1.250e+04	1.118e+02	1.850e+04	1.360e+02	1.623e+04	1.274e+02	1.081e+04	1.040e+02	2.418e+04	1.555e+02
25	2.302e+04	1.517e+02	1.022e+04	1.011e+02	2.492e+04	1.579e+02	2.100e+04	1.449e+02	8.446e+03	9.190e+01	2.008e+04	1.417e+02	1.339e+04	1.157e+02	2.015e+04	1.420e+02	1.677e+04	1.295e+02	1.130e+04	1.063e+02	2.663e+04	1.632e+02
