# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	7.799e-01	3.684e-01	7.246e-01	5.133e-01	1.170e+00	4.434e-01	1.411e+00	5.171e-01	6.522e-01	5.334e-01	7.231e-01	3.872e-01	9.434e-01	5.460e-01	6.237e-01	3.607e-01	7.220e-01	4.176e-01	8.621e-01	5.464e-01	8.384e-01	3.583e-01
2	4.398e-01	2.784e-01	2.141e-01	3.030e-01	8.368e-01	3.750e-01	4.735e-01	2.998e-01	1.683e+00	9.033e-01	6.598e-01	3.532e-01	5.874e-01	4.159e-01	7.092e-01	3.798e-01	8.631e-01	4.624e-01	3.490e-01	3.493e-01	9.213e-01	3.622e-01
3	7.833e-01	3.700e-01	4.228e-01	4.233e-01	8.850e-01	3.621e-01	8.475e-01	4.003e-01	6.742e-01	5.514e-01	8.953e-01	4.013e-01	8.876e-01	5.136e-01	4.780e-01	3.027e-01	7.344e-01	4.248e-01	7.143e-01	5.060e-01	8.523e-01	3.487e-01
4	8.130e-01	3.643e-01	4.425e-01	4.430e-01	5.151e-01	2.757e-01	1.199e+00	4.544e-01	7.042e-01	5.760e-01	5.017e-01	2.900e-01	1.214e+00	6.088e-01	1.413e+00	5.015e-01	4.808e-01	3.404e-01	5.051e-01	4.129e-01	3.992e-01	2.307e-01
5	8.170e-01	3.661e-01	2.028e-01	2.870e-01	1.103e+00	3.912e-01	8.726e-01	3.911e-01	8.114e-01	5.749e-01	1.096e+00	4.155e-01	1.154e+00	5.455e-01	1.126e+00	4.609e-01	9.217e-01	4.619e-01	1.508e+00	7.134e-01	4.917e-01	2.462e-01
6	9.774e-01	3.843e-01	5.146e-01	4.207e-01	8.856e-01	3.481e-01	1.248e+00	4.571e-01	4.202e-01	4.206e-01	1.541e+00	4.773e-01	1.120e+00	5.618e-01	8.258e-01	3.701e-01	1.048e+00	4.952e-01	1.284e+00	6.441e-01	7.743e-01	3.043e-01
7	5.839e-01	2.924e-01	1.149e+00	6.162e-01	5.360e-01	2.530e-01	8.534e-01	3.647e-01	5.976e-01	4.887e-01	8.208e-01	3.358e-01	6.105e-01	3.867e-01	5.895e-01	2.952e-01	9.923e-01	4.689e-01	7.587e-01	4.808e-01	3.286e-01	1.899e-01
8	7.891e-01	3.371e-01	4.934e-01	4.034e-01	1.067e+00	3.472e-01	8.882e-01	3.634e-01	1.149e+00	6.655e-01	8.838e-01	3.474e-01	4.843e-01	3.428e-01	8.321e-01	3.555e-01	6.061e-01	3.504e-01	8.451e-01	4.889e-01	6.376e-01	2.607e-01
9	4.808e-01	2.573e-01	8.292e-01	5.255e-01	7.027e-01	2.761e-01	7.289e-01	3.266e-01	1.727e+00	8.179e-01	4.893e-01	2.449e-01	5.896e-01	3.735e-01	1.238e+00	4.139e-01	5.112e-01	3.238e-01	1.027e+00	5.148e-01	6.054e-01	2.475e-01
10	9.734e-01	3.563e-01	9.274e-01	5.367e-01	1.146e+00	3.389e-01	6.329e-01	2.988e-01	8.000e-01	5.070e-01	7.580e-01	2.979e-01	9.174e-01	4.598e-01	9.103e-01	3.448e-01	1.101e+00	4.507e-01	1.158e+00	5.476e-01	7.533e-01	2.668e-01
