# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=2		POL=1		POL=3		POL=1		POL=1		POL=1		POL=1		POL=1		POL=2		POL=1		POL=1	
1	4.080e+02	2.020e+01	1.780e+02	1.334e+01	6.250e+02	2.500e+01	4.620e+02	2.149e+01	1.770e+02	1.330e+01	4.230e+02	2.057e+01	2.320e+02	1.523e+01	3.420e+02	1.849e+01	7.090e+02	2.663e+01	1.700e+02	1.304e+01	5.300e+02	2.302e+01
2	4.060e+02	2.015e+01	1.760e+02	1.327e+01	7.070e+02	2.659e+01	4.120e+02	2.030e+01	1.530e+02	1.237e+01	5.300e+02	2.302e+01	3.190e+02	1.786e+01	3.340e+02	1.828e+01	7.350e+02	2.711e+01	1.670e+02	1.292e+01	4.990e+02	2.234e+01
3	4.380e+02	2.093e+01	1.910e+02	1.382e+01	7.680e+02	2.771e+01	4.560e+02	2.135e+01	1.770e+02	1.330e+01	5.130e+02	2.265e+01	2.840e+02	1.685e+01	3.550e+02	1.884e+01	6.470e+02	2.544e+01	1.690e+02	1.300e+01	4.840e+02	2.200e+01
4	4.660e+02	2.159e+01	2.060e+02	1.435e+01	9.150e+02	3.025e+01	4.520e+02	2.126e+01	1.830e+02	1.353e+01	5.800e+02	2.408e+01	2.580e+02	1.606e+01	3.810e+02	1.952e+01	6.880e+02	2.623e+01	1.700e+02	1.304e+01	4.950e+02	2.225e+01
5	4.120e+02	2.030e+01	2.000e+02	1.414e+01	9.260e+02	3.043e+01	4.890e+02	2.211e+01	1.990e+02	1.411e+01	5.570e+02	2.360e+01	2.820e+02	1.679e+01	4.280e+02	2.069e+01	6.330e+02	2.516e+01	2.080e+02	1.442e+01	5.960e+02	2.441e+01
6	4.960e+02	2.227e+01	2.010e+02	1.418e+01	1.032e+03	3.212e+01	5.040e+02	2.245e+01	1.820e+02	1.349e+01	6.050e+02	2.460e+01	2.960e+02	1.720e+01	3.810e+02	1.952e+01	6.240e+02	2.498e+01	2.050e+02	1.432e+01	6.000e+02	2.449e+01
7	5.150e+02	2.269e+01	2.380e+02	1.543e+01	1.182e+03	3.438e+01	4.750e+02	2.179e+01	2.160e+02	1.470e+01	6.930e+02	2.632e+01	3.150e+02	1.775e+01	4.290e+02	2.071e+01	5.830e+02	2.415e+01	2.140e+02	1.463e+01	6.360e+02	2.522e+01
8	4.960e+02	2.227e+01	1.950e+02	1.396e+01	1.151e+03	3.393e+01	5.500e+02	2.345e+01	1.970e+02	1.404e+01	6.550e+02	2.559e+01	3.140e+02	1.772e+01	4.420e+02	2.102e+01	5.780e+02	2.404e+01	2.420e+02	1.556e+01	6.270e+02	2.504e+01
9	5.490e+02	2.343e+01	2.280e+02	1.510e+01	1.179e+03	3.434e+01	5.490e+02	2.343e+01	1.940e+02	1.393e+01	7.340e+02	2.709e+01	3.560e+02	1.887e+01	4.880e+02	2.209e+01	6.300e+02	2.510e+01	2.320e+02	1.523e+01	7.230e+02	2.689e+01
10	5.840e+02	2.417e+01	2.630e+02	1.622e+01	1.273e+03	3.568e+01	5.910e+02	2.431e+01	2.360e+02	1.536e+01	7.100e+02	2.665e+01	3.540e+02	1.881e+01	5.200e+02	2.280e+01	6.650e+02	2.579e+01	2.780e+02	1.667e+01	7.050e+02	2.655e+01
