# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210909_std2_3/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11
# plane	POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=2	
1	4.361e+04	2.088e+02	3.032e+04	1.741e+02	3.919e+04	1.980e+02	3.780e+04	1.944e+02	2.167e+04	1.472e+02	3.824e+04	1.956e+02	2.974e+04	1.724e+02	4.174e+04	2.043e+02	3.143e+04	1.773e+02	1.821e+04	1.349e+02	5.870e+04	2.423e+02
2	4.253e+04	2.062e+02	2.996e+04	1.731e+02	3.822e+04	1.955e+02	3.669e+04	1.916e+02	2.130e+04	1.460e+02	4.098e+04	2.024e+02	3.153e+04	1.776e+02	4.442e+04	2.108e+02	3.271e+04	1.809e+02	1.868e+04	1.367e+02	6.238e+04	2.498e+02
3	4.267e+04	2.066e+02	3.013e+04	1.736e+02	3.821e+04	1.955e+02	3.650e+04	1.911e+02	2.174e+04	1.474e+02	4.175e+04	2.043e+02	3.212e+04	1.792e+02	4.481e+04	2.117e+02	3.283e+04	1.812e+02	1.905e+04	1.380e+02	6.260e+04	2.502e+02
4	4.254e+04	2.062e+02	3.030e+04	1.741e+02	3.838e+04	1.959e+02	3.668e+04	1.915e+02	2.185e+04	1.478e+02	4.105e+04	2.026e+02	3.123e+04	1.767e+02	4.496e+04	2.120e+02	3.272e+04	1.809e+02	1.899e+04	1.378e+02	6.245e+04	2.499e+02
5	4.220e+04	2.054e+02	3.034e+04	1.742e+02	3.888e+04	1.972e+02	3.680e+04	1.918e+02	2.161e+04	1.470e+02	4.065e+04	2.016e+02	3.110e+04	1.764e+02	4.466e+04	2.113e+02	3.290e+04	1.814e+02	1.895e+04	1.377e+02	6.264e+04	2.503e+02
6	4.238e+04	2.059e+02	3.035e+04	1.742e+02	3.908e+04	1.977e+02	3.692e+04	1.921e+02	2.183e+04	1.477e+02	4.028e+04	2.007e+02	3.068e+04	1.752e+02	4.470e+04	2.114e+02	3.246e+04	1.802e+02	1.902e+04	1.379e+02	6.302e+04	2.510e+02
7	4.272e+04	2.067e+02	3.015e+04	1.736e+02	3.955e+04	1.989e+02	3.713e+04	1.927e+02	2.188e+04	1.479e+02	4.064e+04	2.016e+02	3.084e+04	1.756e+02	4.482e+04	2.117e+02	3.248e+04	1.802e+02	1.916e+04	1.384e+02	6.337e+04	2.517e+02
8	4.455e+04	2.111e+02	3.178e+04	1.783e+02	3.998e+04	2.000e+02	3.852e+04	1.963e+02	2.331e+04	1.527e+02	4.163e+04	2.040e+02	3.271e+04	1.809e+02	4.609e+04	2.147e+02	3.455e+04	1.859e+02	2.016e+04	1.420e+02	6.401e+04	2.530e+02
9	4.492e+04	2.119e+02	3.205e+04	1.790e+02	4.020e+04	2.005e+02	3.862e+04	1.965e+02	2.360e+04	1.536e+02	4.187e+04	2.046e+02	3.328e+04	1.824e+02	4.674e+04	2.162e+02	3.505e+04	1.872e+02	2.028e+04	1.424e+02	6.426e+04	2.535e+02
10	4.514e+04	2.125e+02	3.211e+04	1.792e+02	4.061e+04	2.015e+02	3.907e+04	1.977e+02	2.363e+04	1.537e+02	4.166e+04	2.041e+02	3.294e+04	1.815e+02	4.736e+04	2.176e+02	3.584e+04	1.893e+02	2.044e+04	1.430e+02	6.477e+04	2.545e+02
11	4.493e+04	2.120e+02	3.206e+04	1.791e+02	4.096e+04	2.024e+02	3.912e+04	1.978e+02	2.313e+04	1.521e+02	4.198e+04	2.049e+02	3.328e+04	1.824e+02	4.782e+04	2.187e+02	3.550e+04	1.884e+02	2.054e+04	1.433e+02	6.552e+04	2.560e+02
12	4.519e+04	2.126e+02	3.221e+04	1.795e+02	4.143e+04	2.035e+02	3.954e+04	1.989e+02	2.333e+04	1.527e+02	4.202e+04	2.050e+02	3.306e+04	1.818e+02	4.778e+04	2.186e+02	3.612e+04	1.900e+02	2.067e+04	1.438e+02	6.577e+04	2.565e+02
13	4.507e+04	2.123e+02	3.213e+04	1.793e+02	4.180e+04	2.045e+02	3.952e+04	1.988e+02	2.321e+04	1.524e+02	4.223e+04	2.055e+02	3.312e+04	1.820e+02	4.825e+04	2.197e+02	3.614e+04	1.901e+02	2.100e+04	1.449e+02	6.653e+04	2.579e+02
14	4.769e+04	2.184e+02	3.363e+04	1.834e+02	4.209e+04	2.051e+02	4.078e+04	2.019e+02	2.498e+04	1.581e+02	4.349e+04	2.085e+02	3.510e+04	1.873e+02	5.001e+04	2.236e+02	3.826e+04	1.956e+02	2.187e+04	1.479e+02	6.733e+04	2.595e+02
15	4.796e+04	2.190e+02	3.400e+04	1.844e+02	4.237e+04	2.058e+02	4.112e+04	2.028e+02	2.540e+04	1.594e+02	4.386e+04	2.094e+02	3.542e+04	1.882e+02	5.058e+04	2.249e+02	3.896e+04	1.974e+02	2.206e+04	1.485e+02	6.785e+04	2.605e+02
16	4.846e+04	2.201e+02	3.445e+04	1.856e+02	4.289e+04	2.071e+02	4.146e+04	2.036e+02	2.552e+04	1.597e+02	4.433e+04	2.105e+02	3.597e+04	1.897e+02	5.134e+04	2.266e+02	3.938e+04	1.984e+02	2.217e+04	1.489e+02	6.852e+04	2.618e+02
17	4.885e+04	2.210e+02	3.464e+04	1.861e+02	4.295e+04	2.073e+02	4.162e+04	2.040e+02	2.570e+04	1.603e+02	4.498e+04	2.121e+02	3.626e+04	1.904e+02	5.212e+04	2.283e+02	4.067e+04	2.017e+02	2.261e+04	1.504e+02	6.901e+04	2.627e+02
18	4.664e+04	2.160e+02	3.348e+04	1.830e+02	4.363e+04	2.089e+02	4.107e+04	2.027e+02	2.403e+04	1.550e+02	4.366e+04	2.089e+02	3.394e+04	1.842e+02	5.156e+04	2.271e+02	3.862e+04	1.965e+02	2.171e+04	1.473e+02	6.930e+04	2.632e+02
19	4.729e+04	2.175e+02	3.378e+04	1.838e+02	4.369e+04	2.090e+02	4.141e+04	2.035e+02	2.453e+04	1.566e+02	4.435e+04	2.106e+02	3.498e+04	1.870e+02	5.218e+04	2.284e+02	3.954e+04	1.989e+02	2.201e+04	1.484e+02	7.023e+04	2.650e+02
20	4.753e+04	2.180e+02	3.404e+04	1.845e+02	4.401e+04	2.098e+02	4.169e+04	2.042e+02	2.446e+04	1.564e+02	4.454e+04	2.110e+02	3.530e+04	1.879e+02	5.262e+04	2.294e+02	3.969e+04	1.992e+02	2.221e+04	1.490e+02	7.146e+04	2.673e+02
21	5.057e+04	2.249e+02	3.479e+04	1.865e+02	4.427e+04	2.104e+02	4.345e+04	2.085e+02	2.633e+04	1.623e+02	4.660e+04	2.159e+02	3.783e+04	1.945e+02	5.368e+04	2.317e+02	4.175e+04	2.043e+02	2.443e+04	1.563e+02	7.356e+04	2.712e+02
22	5.079e+04	2.254e+02	3.522e+04	1.877e+02	4.458e+04	2.111e+02	4.346e+04	2.085e+02	2.622e+04	1.619e+02	4.717e+04	2.172e+02	3.754e+04	1.938e+02	5.406e+04	2.325e+02	4.154e+04	2.038e+02	2.477e+04	1.574e+02	7.456e+04	2.731e+02
23	5.076e+04	2.253e+02	3.539e+04	1.881e+02	4.468e+04	2.114e+02	4.353e+04	2.086e+02	2.635e+04	1.623e+02	4.730e+04	2.175e+02	3.812e+04	1.952e+02	5.503e+04	2.346e+02	4.253e+04	2.062e+02	2.470e+04	1.572e+02	7.529e+04	2.744e+02
24	5.150e+04	2.269e+02	3.596e+04	1.896e+02	4.518e+04	2.126e+02	4.391e+04	2.095e+02	2.668e+04	1.633e+02	4.757e+04	2.181e+02	3.835e+04	1.958e+02	5.589e+04	2.364e+02	4.310e+04	2.076e+02	2.459e+04	1.568e+02	7.632e+04	2.763e+02
25	5.193e+04	2.279e+02	3.613e+04	1.901e+02	4.546e+04	2.132e+02	4.422e+04	2.103e+02	2.692e+04	1.641e+02	4.858e+04	2.204e+02	3.904e+04	1.976e+02	5.691e+04	2.386e+02	4.325e+04	2.080e+02	2.513e+04	1.585e+02	7.734e+04	2.781e+02
