# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	9.772e-01	3.031e-01	9.673e-01	1.245e-01	8.607e-01	8.436e-02	9.850e-01	1.135e-01	1.193e+00	1.405e-01	8.475e-01	1.204e-01	9.454e-01	1.021e-01	9.873e-01	9.801e-02	9.057e-01	1.120e-01	1.065e+00	9.755e-02	1.068e+00	9.602e-02	9.275e-01	1.318e-01	9.011e-01	9.936e-02	1.067e+00	1.326e-01	9.863e-01	1.234e-01	9.370e-01	1.137e-01
2	9.844e-01	2.856e-01	9.329e-01	1.186e-01	1.073e+00	9.133e-02	9.668e-01	1.111e-01	1.040e+00	1.250e-01	9.229e-01	1.223e-01	9.036e-01	9.760e-02	1.040e+00	9.967e-02	8.795e-01	1.071e-01	1.058e+00	9.556e-02	1.027e+00	8.938e-02	9.121e-01	1.259e-01	1.008e+00	1.000e-01	9.919e-01	1.241e-01	9.827e-01	1.202e-01	8.836e-01	1.053e-01
3	1.014e+00	2.827e-01	1.117e+00	1.289e-01	1.003e+00	8.532e-02	8.930e-01	1.026e-01	9.966e-01	1.197e-01	9.916e-01	1.227e-01	1.061e+00	1.036e-01	9.841e-01	9.387e-02	8.549e-01	1.037e-01	9.702e-01	8.938e-02	1.072e+00	8.951e-02	1.046e+00	1.304e-01	9.500e-01	9.474e-02	8.320e-01	1.112e-01	1.060e+00	1.206e-01	9.336e-01	1.045e-01
4	7.436e-01	2.422e-01	1.048e+00	1.259e-01	9.731e-01	8.107e-02	1.017e+00	1.054e-01	1.069e+00	1.198e-01	1.017e+00	1.181e-01	8.730e-01	9.020e-02	1.063e+00	9.214e-02	9.337e-01	1.059e-01	1.031e+00	8.695e-02	9.508e-01	8.253e-02	1.033e+00	1.269e-01	1.027e+00	9.601e-02	9.386e-01	1.144e-01	9.211e-01	1.069e-01	1.010e+00	1.070e-01
5	1.409e+00	3.174e-01	1.020e+00	1.262e-01	9.566e-01	7.835e-02	9.840e-01	1.025e-01	9.891e-01	1.105e-01	1.080e+00	1.195e-01	9.408e-01	9.033e-02	9.663e-01	8.668e-02	8.670e-01	9.828e-02	1.033e+00	8.598e-02	9.608e-01	8.045e-02	1.047e+00	1.244e-01	8.741e-01	8.567e-02	8.885e-01	1.082e-01	7.956e-01	9.795e-02	9.307e-01	9.911e-02
6	1.078e+00	2.754e-01	1.141e+00	1.343e-01	1.033e+00	8.014e-02	9.515e-01	9.784e-02	9.045e-01	1.049e-01	9.731e-01	1.111e-01	9.942e-01	9.198e-02	1.039e+00	8.781e-02	1.076e+00	1.071e-01	8.955e-01	7.844e-02	1.015e+00	8.116e-02	8.678e-01	1.116e-01	9.562e-01	8.789e-02	9.439e-01	1.099e-01	9.459e-01	1.056e-01	9.712e-01	1.004e-01
7	1.145e+00	2.834e-01	1.078e+00	1.339e-01	9.916e-01	7.735e-02	9.985e-01	9.840e-02	9.882e-01	1.074e-01	9.330e-01	1.068e-01	1.053e+00	9.396e-02	8.956e-01	8.095e-02	9.537e-01	9.990e-02	9.675e-01	8.116e-02	9.730e-01	7.791e-02	8.600e-01	1.093e-01	8.765e-01	8.246e-02	8.858e-01	1.056e-01	1.061e+00	1.124e-01	9.575e-01	9.794e-02
8	9.192e-01	2.468e-01	1.154e+00	1.413e-01	9.374e-01	7.343e-02	9.988e-01	9.528e-02	1.020e+00	1.075e-01	1.023e+00	1.087e-01	1.026e+00	8.926e-02	8.944e-01	7.880e-02	8.924e-01	9.346e-02	1.029e+00	8.054e-02	9.659e-01	7.626e-02	8.502e-01	1.080e-01	7.926e-01	7.711e-02	1.025e+00	1.102e-01	9.675e-01	1.019e-01	1.046e+00	9.940e-02
9	1.143e+00	2.673e-01	1.023e+00	1.356e-01	1.077e+00	7.812e-02	1.034e+00	9.573e-02	9.890e-01	1.031e-01	9.032e-01	9.900e-02	9.301e-01	8.425e-02	9.048e-01	7.780e-02	9.516e-01	9.467e-02	9.248e-01	7.548e-02	1.046e+00	7.744e-02	7.541e-01	9.940e-02	9.218e-01	8.234e-02	1.111e+00	1.137e-01	1.007e+00	1.025e-01	9.630e-01	9.399e-02
10	8.307e-01	2.191e-01	9.344e-01	1.315e-01	9.406e-01	7.113e-02	1.078e+00	9.679e-02	8.798e-01	9.502e-02	1.069e+00	1.089e-01	9.221e-01	8.387e-02	1.052e+00	8.496e-02	9.365e-01	9.227e-02	9.383e-01	7.524e-02	9.618e-01	7.380e-02	9.902e-01	1.113e-01	1.020e+00	8.653e-02	9.167e-01	1.017e-01	1.055e+00	1.056e-01	9.643e-01	9.346e-02
11	8.408e-01	2.180e-01	9.132e-01	1.360e-01	1.035e+00	7.321e-02	9.456e-01	8.765e-02	1.015e+00	1.005e-01	9.277e-01	9.665e-02	1.018e+00	8.427e-02	1.043e+00	8.061e-02	9.245e-01	8.917e-02	9.952e-01	7.616e-02	1.018e+00	7.356e-02	9.539e-01	1.085e-01	9.540e-01	8.087e-02	1.034e+00	1.052e-01	1.107e+00	1.038e-01	9.109e-01	8.888e-02
12	1.184e+00	2.599e-01	1.083e+00	1.443e-01	9.431e-01	6.875e-02	1.016e+00	8.906e-02	1.104e+00	1.022e-01	8.793e-01	9.208e-02	1.044e+00	8.350e-02	9.842e-01	7.724e-02	9.216e-01	8.710e-02	9.607e-01	7.361e-02	9.582e-01	6.958e-02	9.339e-01	1.046e-01	1.039e+00	8.171e-02	9.699e-01	9.947e-02	1.028e+00	9.944e-02	1.027e+00	9.211e-02
