# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	2.574e-01	1.376e-01	3.597e-01	8.152e-02	4.052e-01	3.345e-02	4.225e-01	4.933e-02	3.445e-01	4.781e-02	3.738e-01	4.733e-02	3.609e-01	3.777e-02	4.034e-01	3.656e-02	4.262e-01	4.235e-02	4.037e-01	3.368e-02	3.959e-01	3.566e-02	4.111e-01	4.901e-02	3.853e-01	3.558e-02	3.794e-01	3.927e-02	3.774e-01	3.704e-02	4.090e-01	4.084e-02
2	4.881e-01	1.847e-01	4.447e-01	9.185e-02	3.527e-01	3.139e-02	4.037e-01	4.882e-02	3.061e-01	4.492e-02	3.625e-01	4.764e-02	3.974e-01	4.019e-02	4.252e-01	3.861e-02	3.780e-01	4.010e-02	3.526e-01	3.202e-02	3.857e-01	3.532e-02	4.029e-01	4.909e-02	3.449e-01	3.385e-02	4.178e-01	4.302e-02	4.404e-01	4.203e-02	3.741e-01	3.883e-02
3	5.069e-01	1.918e-01	3.880e-01	8.911e-02	4.023e-01	3.386e-02	3.617e-01	4.673e-02	3.457e-01	4.776e-02	4.416e-01	5.303e-02	3.485e-01	3.806e-02	3.644e-01	3.585e-02	4.083e-01	4.204e-02	4.252e-01	3.578e-02	4.004e-01	3.644e-02	3.930e-01	4.880e-02	3.867e-01	3.610e-02	3.357e-01	3.892e-02	3.630e-01	3.863e-02	3.178e-01	3.636e-02
4	4.463e-01	1.824e-01	4.272e-01	9.810e-02	4.601e-01	3.700e-02	3.698e-01	4.701e-02	4.068e-01	5.257e-02	4.177e-01	5.016e-02	4.032e-01	4.056e-02	3.609e-01	3.476e-02	4.047e-01	4.236e-02	4.323e-01	3.564e-02	4.303e-01	3.815e-02	4.185e-01	5.043e-02	3.638e-01	3.504e-02	4.438e-01	4.410e-02	3.691e-01	3.771e-02	4.074e-01	4.218e-02
5	4.587e-01	1.875e-01	3.704e-01	9.268e-02	4.219e-01	3.563e-02	3.659e-01	4.689e-02	3.813e-01	5.077e-02	4.122e-01	5.137e-02	4.321e-01	4.304e-02	3.837e-01	3.696e-02	3.842e-01	4.159e-02	3.865e-01	3.467e-02	3.998e-01	3.700e-02	3.641e-01	4.745e-02	3.414e-01	3.434e-02	3.817e-01	4.219e-02	4.105e-01	4.140e-02	3.554e-01	3.965e-02
6	4.148e-01	1.770e-01	4.652e-01	1.069e-01	3.636e-01	3.365e-02	3.713e-01	4.880e-02	3.327e-01	4.831e-02	4.746e-01	5.524e-02	3.949e-01	4.111e-02	4.303e-01	3.868e-02	3.870e-01	4.239e-02	4.154e-01	3.626e-02	3.853e-01	3.669e-02	4.390e-01	5.291e-02	3.540e-01	3.534e-02	3.728e-01	4.185e-02	3.643e-01	3.932e-02	4.279e-01	4.361e-02
7	2.724e-01	1.457e-01	3.732e-01	1.017e-01	3.815e-01	3.486e-02	4.106e-01	5.178e-02	3.948e-01	5.304e-02	4.826e-01	5.637e-02	3.873e-01	4.144e-02	4.139e-01	3.880e-02	3.711e-01	4.153e-02	3.874e-01	3.578e-02	3.951e-01	3.737e-02	3.890e-01	5.069e-02	4.206e-01	3.892e-02	3.922e-01	4.417e-02	3.864e-01	4.195e-02	3.808e-01	4.183e-02
8	2.025e-01	1.281e-01	2.336e-01	8.264e-02	3.587e-01	3.439e-02	4.060e-01	5.183e-02	4.021e-01	5.452e-02	3.824e-01	5.114e-02	3.793e-01	4.118e-02	3.904e-01	3.823e-02	3.223e-01	3.911e-02	4.155e-01	3.655e-02	3.376e-01	3.513e-02	4.050e-01	5.256e-02	4.026e-01	3.817e-02	3.699e-01	4.192e-02	3.959e-01	4.132e-02	3.966e-01	4.294e-02
9	3.283e-01	1.643e-01	3.387e-01	1.022e-01	4.037e-01	3.659e-02	3.840e-01	5.069e-02	3.905e-01	5.370e-02	3.741e-01	5.026e-02	3.670e-01	4.082e-02	4.041e-01	3.901e-02	3.884e-01	4.306e-02	3.996e-01	3.636e-02	3.763e-01	3.685e-02	3.695e-01	5.010e-02	3.501e-01	3.586e-02	4.170e-01	4.528e-02	3.826e-01	4.130e-02	3.853e-01	4.273e-02
10	6.410e-01	2.344e-01	4.186e-01	1.185e-01	3.844e-01	3.588e-02	3.142e-01	4.562e-02	4.056e-01	5.425e-02	4.052e-01	5.444e-02	3.999e-01	4.354e-02	3.965e-01	4.061e-02	3.271e-01	3.955e-02	3.917e-01	3.579e-02	3.872e-01	3.828e-02	3.898e-01	5.168e-02	3.856e-01	3.831e-02	3.331e-01	4.073e-02	3.982e-01	4.249e-02	4.013e-01	4.464e-02
