# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=1		POL=5		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2		POL=2	
1	1.500e+02	1.225e+01	7.190e+02	2.681e+01	1.360e+03	3.688e+01	9.950e+02	3.154e+01	7.580e+02	2.753e+01	6.590e+02	2.567e+01	9.960e+02	3.156e+01	1.006e+03	3.172e+01	9.490e+02	3.081e+01	1.147e+03	3.387e+01	1.297e+03	3.601e+01	5.780e+02	2.404e+01	1.025e+03	3.202e+01	5.950e+02	2.439e+01	6.050e+02	2.460e+01	6.950e+02	2.636e+01
2	1.630e+02	1.277e+01	7.650e+02	2.766e+01	1.347e+03	3.670e+01	9.910e+02	3.148e+01	7.740e+02	2.782e+01	7.060e+02	2.657e+01	9.670e+02	3.110e+01	1.035e+03	3.217e+01	9.040e+02	3.007e+01	1.122e+03	3.350e+01	1.336e+03	3.655e+01	5.740e+02	2.396e+01	1.036e+03	3.219e+01	6.100e+02	2.470e+01	6.090e+02	2.468e+01	7.220e+02	2.687e+01
3	1.620e+02	1.273e+01	7.900e+02	2.811e+01	1.519e+03	3.897e+01	1.054e+03	3.247e+01	8.170e+02	2.858e+01	7.530e+02	2.744e+01	9.980e+02	3.159e+01	1.104e+03	3.323e+01	1.023e+03	3.198e+01	1.120e+03	3.347e+01	1.393e+03	3.732e+01	5.900e+02	2.429e+01	1.036e+03	3.219e+01	5.860e+02	2.421e+01	5.990e+02	2.447e+01	7.630e+02	2.762e+01
4	1.490e+02	1.221e+01	7.080e+02	2.661e+01	1.570e+03	3.962e+01	1.162e+03	3.409e+01	8.450e+02	2.907e+01	8.190e+02	2.862e+01	1.042e+03	3.228e+01	1.159e+03	3.404e+01	1.086e+03	3.295e+01	1.290e+03	3.592e+01	1.435e+03	3.788e+01	5.640e+02	2.375e+01	1.098e+03	3.314e+01	6.680e+02	2.585e+01	7.480e+02	2.735e+01	7.790e+02	2.791e+01
5	1.640e+02	1.281e+01	7.200e+02	2.683e+01	1.592e+03	3.990e+01	1.203e+03	3.468e+01	9.530e+02	3.087e+01	8.490e+02	2.914e+01	1.082e+03	3.289e+01	1.103e+03	3.321e+01	1.068e+03	3.268e+01	1.346e+03	3.669e+01	1.571e+03	3.964e+01	6.280e+02	2.506e+01	1.215e+03	3.486e+01	7.050e+02	2.655e+01	7.280e+02	2.698e+01	8.200e+02	2.864e+01
6	1.810e+02	1.345e+01	7.470e+02	2.733e+01	1.678e+03	4.096e+01	1.279e+03	3.576e+01	1.007e+03	3.173e+01	9.100e+02	3.017e+01	1.182e+03	3.438e+01	1.261e+03	3.551e+01	1.104e+03	3.323e+01	1.423e+03	3.772e+01	1.633e+03	4.041e+01	6.540e+02	2.557e+01	1.209e+03	3.477e+01	6.830e+02	2.613e+01	7.750e+02	2.784e+01	8.240e+02	2.871e+01
7	1.870e+02	1.367e+01	6.350e+02	2.520e+01	1.770e+03	4.207e+01	1.345e+03	3.667e+01	1.085e+03	3.294e+01	9.820e+02	3.134e+01	1.240e+03	3.521e+01	1.249e+03	3.534e+01	1.265e+03	3.557e+01	1.336e+03	3.655e+01	1.775e+03	4.213e+01	6.390e+02	2.528e+01	1.307e+03	3.615e+01	7.990e+02	2.827e+01	7.480e+02	2.735e+01	8.480e+02	2.912e+01
8	1.620e+02	1.273e+01	5.570e+02	2.360e+01	1.783e+03	4.223e+01	1.483e+03	3.851e+01	1.071e+03	3.273e+01	1.027e+03	3.205e+01	1.285e+03	3.585e+01	1.390e+03	3.728e+01	1.266e+03	3.558e+01	1.564e+03	3.955e+01	1.847e+03	4.298e+01	6.960e+02	2.638e+01	1.364e+03	3.693e+01	8.080e+02	2.843e+01	8.830e+02	2.972e+01	9.060e+02	3.010e+01
9	1.840e+02	1.356e+01	5.340e+02	2.311e+01	1.968e+03	4.436e+01	1.533e+03	3.915e+01	1.119e+03	3.345e+01	1.083e+03	3.291e+01	1.381e+03	3.716e+01	1.398e+03	3.739e+01	1.352e+03	3.677e+01	1.693e+03	4.115e+01	2.014e+03	4.488e+01	7.150e+02	2.674e+01	1.458e+03	3.818e+01	8.220e+02	2.867e+01	8.240e+02	2.871e+01	1.012e+03	3.181e+01
10	1.750e+02	1.323e+01	4.650e+02	2.156e+01	2.001e+03	4.473e+01	1.607e+03	4.009e+01	1.229e+03	3.506e+01	1.086e+03	3.295e+01	1.399e+03	3.740e+01	1.401e+03	3.743e+01	1.433e+03	3.785e+01	1.703e+03	4.127e+01	2.148e+03	4.635e+01	7.680e+02	2.771e+01	1.488e+03	3.857e+01	8.750e+02	2.958e+01	8.690e+02	2.948e+01	1.076e+03	3.280e+01
11	1.820e+02	1.349e+01	3.970e+02	1.992e+01	2.124e+03	4.609e+01	1.784e+03	4.224e+01	1.289e+03	3.590e+01	1.304e+03	3.611e+01	1.529e+03	3.910e+01	1.557e+03	3.946e+01	1.561e+03	3.951e+01	1.846e+03	4.297e+01	2.276e+03	4.771e+01	7.900e+02	2.811e+01	1.612e+03	4.015e+01	9.160e+02	3.027e+01	9.440e+02	3.072e+01	1.039e+03	3.223e+01
12	2.440e+02	1.562e+01	3.920e+02	1.980e+01	2.282e+03	4.777e+01	1.903e+03	4.362e+01	1.343e+03	3.665e+01	1.338e+03	3.658e+01	1.700e+03	4.123e+01	1.669e+03	4.085e+01	1.684e+03	4.104e+01	1.942e+03	4.407e+01	2.476e+03	4.976e+01	8.990e+02	2.998e+01	1.747e+03	4.180e+01	9.770e+02	3.126e+01	1.014e+03	3.184e+01	1.142e+03	3.379e+01
13	2.300e+02	1.517e+01	4.200e+02	2.049e+01	2.384e+03	4.883e+01	2.014e+03	4.488e+01	1.385e+03	3.722e+01	1.381e+03	3.716e+01	1.737e+03	4.168e+01	1.725e+03	4.153e+01	1.765e+03	4.201e+01	2.138e+03	4.624e+01	2.529e+03	5.029e+01	9.200e+02	3.033e+01	1.819e+03	4.265e+01	9.930e+02	3.151e+01	1.088e+03	3.298e+01	1.166e+03	3.415e+01
14	2.270e+02	1.507e+01	3.650e+02	1.910e+01	2.455e+03	4.955e+01	2.071e+03	4.551e+01	1.507e+03	3.882e+01	1.460e+03	3.821e+01	1.807e+03	4.251e+01	1.741e+03	4.173e+01	1.870e+03	4.324e+01	2.189e+03	4.679e+01	2.719e+03	5.214e+01	9.700e+02	3.114e+01	1.893e+03	4.351e+01	1.024e+03	3.200e+01	1.073e+03	3.276e+01	1.362e+03	3.691e+01
15	2.270e+02	1.507e+01	3.350e+02	1.830e+01	2.625e+03	5.123e+01	2.182e+03	4.671e+01	1.613e+03	4.016e+01	1.570e+03	3.962e+01	1.909e+03	4.369e+01	1.923e+03	4.385e+01	1.923e+03	4.385e+01	2.328e+03	4.825e+01	2.849e+03	5.338e+01	9.860e+02	3.140e+01	1.807e+03	4.251e+01	1.109e+03	3.330e+01	1.185e+03	3.442e+01	1.335e+03	3.654e+01
16	1.900e+02	1.378e+01	3.290e+02	1.814e+01	2.701e+03	5.197e+01	2.404e+03	4.903e+01	1.712e+03	4.138e+01	1.657e+03	4.071e+01	2.050e+03	4.528e+01	1.937e+03	4.401e+01	2.047e+03	4.524e+01	2.530e+03	5.030e+01	3.047e+03	5.520e+01	1.077e+03	3.282e+01	2.034e+03	4.510e+01	1.196e+03	3.458e+01	1.161e+03	3.407e+01	1.486e+03	3.855e+01
17	2.300e+02	1.517e+01	3.080e+02	1.755e+01	2.855e+03	5.343e+01	2.579e+03	5.078e+01	1.712e+03	4.138e+01	1.816e+03	4.261e+01	2.120e+03	4.604e+01	2.035e+03	4.511e+01	2.168e+03	4.656e+01	2.707e+03	5.203e+01	3.291e+03	5.737e+01	1.060e+03	3.256e+01	2.277e+03	4.772e+01	1.234e+03	3.513e+01	1.332e+03	3.650e+01	1.520e+03	3.899e+01
18	2.140e+02	1.463e+01	3.770e+02	1.942e+01	3.128e+03	5.593e+01	2.610e+03	5.109e+01	1.896e+03	4.354e+01	1.854e+03	4.306e+01	2.359e+03	4.857e+01	2.110e+03	4.593e+01	2.479e+03	4.979e+01	2.801e+03	5.292e+01	3.345e+03	5.784e+01	1.150e+03	3.391e+01	2.282e+03	4.777e+01	1.285e+03	3.585e+01	1.432e+03	3.784e+01	1.606e+03	4.007e+01
19	2.270e+02	1.507e+01	3.520e+02	1.876e+01	3.204e+03	5.660e+01	2.708e+03	5.204e+01	2.026e+03	4.501e+01	2.012e+03	4.486e+01	2.384e+03	4.883e+01	2.209e+03	4.700e+01	2.588e+03	5.087e+01	2.896e+03	5.381e+01	3.563e+03	5.969e+01	1.203e+03	3.468e+01	2.399e+03	4.898e+01	1.355e+03	3.681e+01	1.444e+03	3.800e+01	1.702e+03	4.126e+01
