# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=1		POL=3		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1		POL=1	
1	2.100e+01	4.583e+00	1.220e+02	1.105e+01	2.100e+02	1.449e+01	1.520e+02	1.233e+01	1.460e+02	1.208e+01	1.000e+02	1.000e+01	1.730e+02	1.315e+01	2.050e+02	1.432e+01	1.320e+02	1.149e+01	2.410e+02	1.552e+01	2.500e+02	1.581e+01	1.000e+02	1.000e+01	1.660e+02	1.288e+01	1.310e+02	1.145e+01	1.290e+02	1.136e+01	1.370e+02	1.170e+01
2	2.400e+01	4.899e+00	1.250e+02	1.118e+01	2.790e+02	1.670e+01	1.530e+02	1.237e+01	1.400e+02	1.183e+01	1.150e+02	1.072e+01	1.730e+02	1.315e+01	2.200e+02	1.483e+01	1.360e+02	1.166e+01	2.480e+02	1.575e+01	2.670e+02	1.634e+01	1.060e+02	1.030e+01	2.050e+02	1.432e+01	1.290e+02	1.136e+01	1.350e+02	1.162e+01	1.420e+02	1.192e+01
3	2.600e+01	5.099e+00	1.520e+02	1.233e+01	2.790e+02	1.670e+01	1.530e+02	1.237e+01	1.400e+02	1.183e+01	1.320e+02	1.149e+01	2.120e+02	1.456e+01	2.220e+02	1.490e+01	1.370e+02	1.170e+01	2.380e+02	1.543e+01	2.900e+02	1.703e+01	1.300e+02	1.140e+01	2.030e+02	1.425e+01	1.130e+02	1.063e+01	1.560e+02	1.249e+01	1.610e+02	1.269e+01
4	1.900e+01	4.359e+00	1.400e+02	1.183e+01	2.910e+02	1.706e+01	1.880e+02	1.371e+01	1.610e+02	1.269e+01	1.500e+02	1.225e+01	1.890e+02	1.375e+01	2.690e+02	1.640e+01	1.570e+02	1.253e+01	2.840e+02	1.685e+01	2.680e+02	1.637e+01	1.340e+02	1.158e+01	2.310e+02	1.520e+01	1.360e+02	1.166e+01	1.500e+02	1.225e+01	1.800e+02	1.342e+01
5	4.000e+01	6.325e+00	1.320e+02	1.149e+01	3.010e+02	1.735e+01	1.860e+02	1.364e+01	1.620e+02	1.273e+01	1.650e+02	1.285e+01	2.190e+02	1.480e+01	2.510e+02	1.584e+01	1.570e+02	1.253e+01	2.920e+02	1.709e+01	2.880e+02	1.697e+01	1.430e+02	1.196e+01	2.100e+02	1.449e+01	1.360e+02	1.166e+01	1.330e+02	1.153e+01	1.780e+02	1.334e+01
6	3.100e+01	5.568e+00	1.460e+02	1.208e+01	3.360e+02	1.833e+01	1.910e+02	1.382e+01	1.500e+02	1.225e+01	1.550e+02	1.245e+01	2.360e+02	1.536e+01	2.830e+02	1.682e+01	2.040e+02	1.428e+01	2.630e+02	1.622e+01	3.160e+02	1.778e+01	1.220e+02	1.105e+01	2.390e+02	1.546e+01	1.490e+02	1.221e+01	1.620e+02	1.273e+01	1.890e+02	1.375e+01
7	3.300e+01	5.745e+00	1.310e+02	1.145e+01	3.320e+02	1.822e+01	2.080e+02	1.442e+01	1.710e+02	1.308e+01	1.540e+02	1.241e+01	2.540e+02	1.594e+01	2.470e+02	1.572e+01	1.840e+02	1.356e+01	2.870e+02	1.694e+01	3.150e+02	1.775e+01	1.250e+02	1.118e+01	2.280e+02	1.510e+01	1.420e+02	1.192e+01	1.800e+02	1.342e+01	1.930e+02	1.389e+01
8	2.800e+01	5.292e+00	1.350e+02	1.162e+01	3.290e+02	1.814e+01	2.220e+02	1.490e+01	1.820e+02	1.349e+01	1.790e+02	1.338e+01	2.670e+02	1.634e+01	2.600e+02	1.612e+01	1.840e+02	1.356e+01	3.300e+02	1.817e+01	3.240e+02	1.800e+01	1.250e+02	1.118e+01	2.130e+02	1.459e+01	1.750e+02	1.323e+01	1.820e+02	1.349e+01	2.240e+02	1.497e+01
9	3.700e+01	6.083e+00	1.150e+02	1.072e+01	3.840e+02	1.960e+01	2.360e+02	1.536e+01	1.860e+02	1.364e+01	1.680e+02	1.296e+01	2.460e+02	1.568e+01	2.730e+02	1.652e+01	2.040e+02	1.428e+01	3.030e+02	1.741e+01	3.690e+02	1.921e+01	1.160e+02	1.077e+01	2.530e+02	1.591e+01	1.930e+02	1.389e+01	1.950e+02	1.396e+01	2.120e+02	1.456e+01
10	2.900e+01	5.385e+00	1.020e+02	1.010e+01	3.530e+02	1.879e+01	2.510e+02	1.584e+01	1.730e+02	1.315e+01	1.950e+02	1.396e+01	2.440e+02	1.562e+01	3.100e+02	1.761e+01	2.080e+02	1.442e+01	3.140e+02	1.772e+01	3.430e+02	1.852e+01	1.600e+02	1.265e+01	2.810e+02	1.676e+01	1.640e+02	1.281e+01	2.020e+02	1.421e+01	2.150e+02	1.466e+01
