# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 12C15N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=1		POL=5		POL=0		POL=0		POL=1		POL=2		POL=1		POL=0		POL=0		POL=2		POL=1		POL=0		POL=0		POL=0		POL=0	
1	7.000e+00	2.646e+00	3.900e+01	6.245e+00	2.940e+02	1.715e+01	1.470e+02	1.212e+01	1.040e+02	1.020e+01	1.250e+02	1.118e+01	1.830e+02	1.353e+01	2.440e+02	1.562e+01	2.030e+02	1.425e+01	2.880e+02	1.697e+01	2.470e+02	1.572e+01	1.410e+02	1.187e+01	2.350e+02	1.533e+01	1.870e+02	1.367e+01	2.080e+02	1.442e+01	2.010e+02	1.418e+01
2	1.400e+01	3.742e+00	4.700e+01	6.856e+00	2.530e+02	1.591e+01	1.370e+02	1.170e+01	9.300e+01	9.644e+00	1.160e+02	1.077e+01	1.960e+02	1.400e+01	2.430e+02	1.559e+01	1.780e+02	1.334e+01	2.430e+02	1.559e+01	2.390e+02	1.546e+01	1.350e+02	1.162e+01	2.080e+02	1.442e+01	1.890e+02	1.375e+01	2.200e+02	1.483e+01	1.860e+02	1.364e+01
3	1.400e+01	3.742e+00	3.800e+01	6.164e+00	2.830e+02	1.682e+01	1.200e+02	1.095e+01	1.050e+02	1.025e+01	1.390e+02	1.179e+01	1.680e+02	1.296e+01	2.070e+02	1.439e+01	1.890e+02	1.375e+01	2.830e+02	1.682e+01	2.420e+02	1.556e+01	1.300e+02	1.140e+01	2.300e+02	1.517e+01	1.490e+02	1.221e+01	1.770e+02	1.330e+01	1.530e+02	1.237e+01
4	1.200e+01	3.464e+00	3.800e+01	6.164e+00	3.100e+02	1.761e+01	1.240e+02	1.114e+01	1.200e+02	1.095e+01	1.390e+02	1.179e+01	1.980e+02	1.407e+01	2.160e+02	1.470e+01	1.830e+02	1.353e+01	2.950e+02	1.718e+01	2.550e+02	1.597e+01	1.380e+02	1.175e+01	2.160e+02	1.470e+01	2.030e+02	1.425e+01	1.920e+02	1.386e+01	1.870e+02	1.367e+01
5	1.200e+01	3.464e+00	3.200e+01	5.657e+00	2.810e+02	1.676e+01	1.220e+02	1.105e+01	1.130e+02	1.063e+01	1.290e+02	1.136e+01	2.020e+02	1.421e+01	2.160e+02	1.470e+01	1.710e+02	1.308e+01	2.490e+02	1.578e+01	2.340e+02	1.530e+01	1.180e+02	1.086e+01	1.980e+02	1.407e+01	1.640e+02	1.281e+01	1.970e+02	1.404e+01	1.610e+02	1.269e+01
6	1.100e+01	3.317e+00	3.800e+01	6.164e+00	2.340e+02	1.530e+01	1.160e+02	1.077e+01	9.500e+01	9.747e+00	1.480e+02	1.217e+01	1.850e+02	1.360e+01	2.480e+02	1.575e+01	1.670e+02	1.292e+01	2.630e+02	1.622e+01	2.210e+02	1.487e+01	1.380e+02	1.175e+01	2.010e+02	1.418e+01	1.590e+02	1.261e+01	1.720e+02	1.311e+01	1.930e+02	1.389e+01
7	7.000e+00	2.646e+00	2.700e+01	5.196e+00	2.400e+02	1.549e+01	1.260e+02	1.122e+01	1.110e+02	1.054e+01	1.470e+02	1.212e+01	1.750e+02	1.323e+01	2.280e+02	1.510e+01	1.600e+02	1.265e+01	2.350e+02	1.533e+01	2.240e+02	1.497e+01	1.180e+02	1.086e+01	2.340e+02	1.530e+01	1.580e+02	1.257e+01	1.700e+02	1.304e+01	1.660e+02	1.288e+01
8	5.000e+00	2.236e+00	1.600e+01	4.000e+00	2.180e+02	1.476e+01	1.230e+02	1.109e+01	1.090e+02	1.044e+01	1.120e+02	1.058e+01	1.700e+02	1.304e+01	2.090e+02	1.446e+01	1.360e+02	1.166e+01	2.590e+02	1.609e+01	1.850e+02	1.360e+01	1.190e+02	1.091e+01	2.230e+02	1.493e+01	1.560e+02	1.249e+01	1.840e+02	1.356e+01	1.710e+02	1.308e+01
9	8.000e+00	2.828e+00	2.200e+01	4.690e+00	2.440e+02	1.562e+01	1.150e+02	1.072e+01	1.060e+02	1.030e+01	1.110e+02	1.054e+01	1.620e+02	1.273e+01	2.150e+02	1.466e+01	1.630e+02	1.277e+01	2.420e+02	1.556e+01	2.090e+02	1.446e+01	1.090e+02	1.044e+01	1.910e+02	1.382e+01	1.700e+02	1.304e+01	1.720e+02	1.311e+01	1.630e+02	1.277e+01
10	1.500e+01	3.873e+00	2.500e+01	5.000e+00	2.300e+02	1.517e+01	9.500e+01	9.747e+00	1.120e+02	1.058e+01	1.110e+02	1.054e+01	1.690e+02	1.300e+01	1.910e+02	1.382e+01	1.370e+02	1.170e+01	2.400e+02	1.549e+01	2.050e+02	1.432e+01	1.140e+02	1.068e+01	2.030e+02	1.425e+01	1.340e+02	1.158e+01	1.760e+02	1.327e+01	1.620e+02	1.273e+01
