# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=2		POL=4		POL=4		POL=2		POL=4		POL=1		POL=1		POL=1		POL=2		POL=2		POL=1		POL=3		POL=1		POL=1		POL=2		POL=4	
1	1.064e+03	3.262e+01	6.245e+03	7.903e+01	1.210e+04	1.100e+02	7.640e+03	8.741e+01	6.046e+03	7.776e+01	5.850e+03	7.649e+01	9.063e+03	9.520e+01	1.028e+04	1.014e+02	7.221e+03	8.498e+01	1.119e+04	1.058e+02	1.158e+04	1.076e+02	5.341e+03	7.308e+01	9.128e+03	9.554e+01	6.073e+03	7.793e+01	6.475e+03	8.047e+01	7.242e+03	8.510e+01
2	1.207e+03	3.474e+01	6.637e+03	8.147e+01	1.286e+04	1.134e+02	7.836e+03	8.852e+01	6.659e+03	8.160e+01	6.173e+03	7.857e+01	9.486e+03	9.740e+01	1.047e+04	1.023e+02	7.664e+03	8.754e+01	1.159e+04	1.077e+02	1.286e+04	1.134e+02	5.758e+03	7.588e+01	1.007e+04	1.003e+02	6.438e+03	8.024e+01	6.801e+03	8.247e+01	7.964e+03	8.924e+01
3	1.269e+03	3.562e+01	6.725e+03	8.201e+01	1.377e+04	1.174e+02	8.490e+03	9.214e+01	6.954e+03	8.339e+01	6.590e+03	8.118e+01	9.884e+03	9.942e+01	1.117e+04	1.057e+02	7.944e+03	8.913e+01	1.215e+04	1.102e+02	1.338e+04	1.157e+02	6.148e+03	7.841e+01	1.058e+04	1.029e+02	6.734e+03	8.206e+01	7.282e+03	8.533e+01	8.542e+03	9.242e+01
4	1.268e+03	3.561e+01	6.609e+03	8.130e+01	1.481e+04	1.217e+02	9.148e+03	9.565e+01	7.449e+03	8.631e+01	7.297e+03	8.542e+01	1.073e+04	1.036e+02	1.252e+04	1.119e+02	8.329e+03	9.126e+01	1.363e+04	1.168e+02	1.396e+04	1.181e+02	6.416e+03	8.010e+01	1.114e+04	1.055e+02	7.177e+03	8.472e+01	8.067e+03	8.982e+01	8.820e+03	9.391e+01
5	1.399e+03	3.740e+01	6.404e+03	8.002e+01	1.558e+04	1.248e+02	9.358e+03	9.674e+01	8.108e+03	9.004e+01	7.558e+03	8.694e+01	1.153e+04	1.074e+02	1.286e+04	1.134e+02	8.976e+03	9.474e+01	1.398e+04	1.182e+02	1.484e+04	1.218e+02	6.759e+03	8.221e+01	1.191e+04	1.091e+02	7.585e+03	8.709e+01	8.292e+03	9.106e+01	9.474e+03	9.733e+01
6	1.422e+03	3.771e+01	6.324e+03	7.952e+01	1.609e+04	1.268e+02	9.941e+03	9.970e+01	8.217e+03	9.065e+01	7.887e+03	8.881e+01	1.175e+04	1.084e+02	1.348e+04	1.161e+02	9.380e+03	9.685e+01	1.455e+04	1.206e+02	1.541e+04	1.241e+02	6.968e+03	8.347e+01	1.238e+04	1.113e+02	7.818e+03	8.842e+01	8.482e+03	9.210e+01	9.636e+03	9.816e+01
7	1.425e+03	3.775e+01	6.012e+03	7.754e+01	1.658e+04	1.287e+02	1.031e+04	1.015e+02	8.567e+03	9.256e+01	8.176e+03	9.042e+01	1.193e+04	1.092e+02	1.367e+04	1.169e+02	9.555e+03	9.775e+01	1.469e+04	1.212e+02	1.603e+04	1.266e+02	7.205e+03	8.488e+01	1.289e+04	1.135e+02	7.944e+03	8.913e+01	8.394e+03	9.162e+01	9.982e+03	9.991e+01
8	1.509e+03	3.885e+01	5.781e+03	7.603e+01	1.738e+04	1.318e+02	1.100e+04	1.049e+02	8.828e+03	9.396e+01	8.656e+03	9.304e+01	1.288e+04	1.135e+02	1.440e+04	1.200e+02	1.022e+04	1.011e+02	1.587e+04	1.260e+02	1.661e+04	1.289e+02	7.289e+03	8.538e+01	1.333e+04	1.155e+02	8.447e+03	9.191e+01	9.315e+03	9.651e+01	1.059e+04	1.029e+02
9	1.600e+03	4.000e+01	5.565e+03	7.460e+01	1.764e+04	1.328e+02	1.129e+04	1.062e+02	9.310e+03	9.649e+01	9.216e+03	9.600e+01	1.310e+04	1.145e+02	1.495e+04	1.223e+02	1.062e+04	1.030e+02	1.623e+04	1.274e+02	1.745e+04	1.321e+02	7.633e+03	8.737e+01	1.360e+04	1.166e+02	8.593e+03	9.270e+01	9.581e+03	9.788e+01	1.090e+04	1.044e+02
10	1.731e+03	4.161e+01	5.407e+03	7.353e+01	1.859e+04	1.363e+02	1.151e+04	1.073e+02	9.745e+03	9.872e+01	9.020e+03	9.497e+01	1.311e+04	1.145e+02	1.458e+04	1.207e+02	1.100e+04	1.049e+02	1.658e+04	1.287e+02	1.766e+04	1.329e+02	7.999e+03	8.944e+01	1.363e+04	1.167e+02	8.863e+03	9.414e+01	9.470e+03	9.731e+01	1.104e+04	1.051e+02
