# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.316e+00	1.320e+00	1.372e+00	6.156e-01	5.848e-01	2.928e-01	2.006e-01	2.007e-01	7.853e-01	4.543e-01	1.051e+00	5.633e-01	5.988e-01	3.462e-01	4.946e-01	3.132e-01	9.395e-01	4.439e-01	4.340e-01	2.748e-01	8.410e-01	3.594e-01	3.448e-01	3.451e-01	1.157e+00	4.738e-01	6.678e-01	4.730e-01	3.295e-01	3.298e-01	4.298e-01	3.513e-01
2	1.807e+00	1.482e+00	1.035e+00	5.188e-01	1.029e+00	3.898e-01	6.018e-01	3.480e-01	7.692e-01	4.450e-01	7.032e-01	4.456e-01	4.119e-01	2.916e-01	9.569e-01	4.290e-01	6.593e-01	3.813e-01	3.552e-01	2.514e-01	1.037e+00	3.930e-01	8.636e-01	5.474e-01	4.803e-01	3.041e-01	3.268e-01	3.271e-01	6.525e-01	4.622e-01	4.138e-01	3.382e-01
3	6.135e-01	8.690e-01	1.373e+00	5.876e-01	5.239e-01	2.623e-01	6.598e-01	3.532e-01	1.329e+00	5.684e-01	9.211e-01	4.935e-01	2.997e-01	2.449e-01	8.086e-01	3.820e-01	5.831e-01	3.371e-01	8.850e-01	3.966e-01	6.419e-01	3.031e-01	1.007e+00	5.827e-01	6.711e-01	3.593e-01	6.780e-01	4.802e-01	8.278e-01	5.246e-01	6.510e-01	4.124e-01
4	6.667e-01	9.444e-01	7.013e-01	4.443e-01	8.838e-01	3.348e-01	5.137e-01	2.970e-01	1.054e+00	4.981e-01	7.273e-01	4.207e-01	1.045e+00	4.466e-01	7.705e-01	3.639e-01	4.583e-01	2.902e-01	7.692e-01	3.447e-01	6.233e-01	2.943e-01	1.226e+00	6.573e-01	9.025e-01	4.045e-01	8.902e-01	5.151e-01	7.958e-01	4.604e-01	6.378e-01	4.040e-01
5	0.000e+00	0.000e+00	9.629e-01	5.159e-01	5.621e-01	2.654e-01	6.606e-01	3.309e-01	1.141e+00	4.880e-01	5.855e-01	3.708e-01	1.006e+00	4.302e-01	7.201e-01	3.607e-01	7.435e-01	3.724e-01	8.106e-01	3.464e-01	6.325e-01	2.833e-01	3.175e-01	3.177e-01	6.541e-01	3.276e-01	4.237e-01	3.463e-01	8.174e-01	4.729e-01	4.854e-01	3.437e-01
6	1.630e+00	1.337e+00	2.670e-01	2.672e-01	8.860e-01	3.242e-01	9.295e-01	3.804e-01	8.858e-01	4.185e-01	8.715e-01	4.367e-01	1.088e+00	4.279e-01	7.087e-01	3.347e-01	6.301e-01	3.373e-01	8.362e-01	3.421e-01	1.030e+00	3.543e-01	1.059e+00	5.676e-01	5.757e-01	3.081e-01	5.822e-01	4.123e-01	8.951e-01	4.796e-01	3.628e-01	2.965e-01
7	0.000e+00	0.000e+00	6.260e-01	4.433e-01	1.007e+00	3.364e-01	1.248e+00	4.295e-01	1.004e+00	4.290e-01	1.108e+00	4.737e-01	8.793e-01	3.758e-01	8.730e-01	3.731e-01	3.937e-01	2.492e-01	5.212e-01	2.790e-01	6.715e-01	2.746e-01	9.302e-01	5.383e-01	8.346e-01	3.566e-01	3.741e-01	3.057e-01	5.319e-01	3.766e-01	8.187e-01	4.385e-01
8	6.135e-01	8.690e-01	8.897e-01	5.639e-01	1.109e+00	3.518e-01	8.027e-01	3.284e-01	5.571e-01	3.221e-01	7.729e-01	3.872e-01	4.648e-01	2.686e-01	9.972e-01	3.778e-01	3.934e-01	2.490e-01	5.089e-01	2.548e-01	6.455e-01	2.640e-01	0.000e+00	0.000e+00	1.088e+00	3.983e-01	4.926e-01	3.488e-01	3.386e-01	2.767e-01	5.488e-01	3.476e-01
9	1.075e+00	1.078e+00	1.869e-01	2.645e-01	7.064e-01	2.675e-01	9.050e-01	3.428e-01	7.098e-01	3.556e-01	6.422e-01	3.438e-01	7.902e-01	3.376e-01	7.807e-01	3.335e-01	5.151e-01	2.757e-01	8.202e-01	3.106e-01	6.903e-01	2.614e-01	4.178e-01	3.415e-01	4.098e-01	2.369e-01	9.639e-01	4.831e-01	7.229e-01	4.181e-01	4.916e-01	3.113e-01
10	5.682e-01	8.047e-01	6.410e-01	5.242e-01	4.973e-01	2.227e-01	9.248e-01	3.385e-01	4.052e-01	2.565e-01	1.003e+00	4.286e-01	9.908e-01	3.754e-01	6.383e-01	3.014e-01	5.552e-01	2.780e-01	5.838e-01	2.615e-01	3.248e-01	1.738e-01	9.032e-01	4.839e-01	2.681e-01	1.897e-01	5.682e-01	3.599e-01	4.582e-01	3.244e-01	6.464e-01	3.461e-01
