# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=0		POL=2		POL=1		POL=3		POL=4		POL=1		POL=1		POL=1		POL=2		POL=2		POL=1		POL=1		POL=1		POL=1		POL=1		POL=5	
1	6.800e+01	8.246e+00	4.100e+02	2.025e+01	5.440e+02	2.332e+01	4.240e+02	2.059e+01	2.610e+02	1.616e+01	2.860e+02	1.691e+01	3.870e+02	1.967e+01	3.640e+02	1.908e+01	3.270e+02	1.808e+01	4.300e+02	2.074e+01	4.890e+02	2.211e+01	1.920e+02	1.386e+01	7.990e+02	2.827e+01	2.510e+02	1.584e+01	2.530e+02	1.591e+01	2.860e+02	1.691e+01
2	6.700e+01	8.185e+00	4.400e+02	2.098e+01	5.960e+02	2.441e+01	3.940e+02	1.985e+01	2.940e+02	1.715e+01	2.710e+02	1.646e+01	3.660e+02	1.913e+01	3.370e+02	1.836e+01	4.050e+02	2.012e+01	4.080e+02	2.020e+01	5.160e+02	2.272e+01	1.700e+02	1.304e+01	7.420e+02	2.724e+01	2.070e+02	1.439e+01	2.380e+02	1.543e+01	2.350e+02	1.533e+01
3	5.800e+01	7.616e+00	4.140e+02	2.035e+01	5.900e+02	2.429e+01	4.490e+02	2.119e+01	3.160e+02	1.778e+01	2.900e+02	1.703e+01	3.640e+02	1.908e+01	3.750e+02	1.936e+01	3.730e+02	1.931e+01	4.400e+02	2.098e+01	5.280e+02	2.298e+01	1.930e+02	1.389e+01	7.800e+02	2.793e+01	2.220e+02	1.490e+01	2.350e+02	1.533e+01	2.580e+02	1.606e+01
4	6.600e+01	8.124e+00	3.970e+02	1.992e+01	6.230e+02	2.496e+01	4.560e+02	2.135e+01	3.120e+02	1.766e+01	2.870e+02	1.694e+01	3.790e+02	1.947e+01	4.180e+02	2.045e+01	3.770e+02	1.942e+01	4.150e+02	2.037e+01	5.250e+02	2.291e+01	1.970e+02	1.404e+01	8.400e+02	2.898e+01	2.500e+02	1.581e+01	2.430e+02	1.559e+01	2.500e+02	1.581e+01
5	6.900e+01	8.307e+00	4.080e+02	2.020e+01	6.240e+02	2.498e+01	5.030e+02	2.243e+01	3.270e+02	1.808e+01	3.270e+02	1.808e+01	4.150e+02	2.037e+01	4.050e+02	2.012e+01	3.930e+02	1.982e+01	4.800e+02	2.191e+01	5.630e+02	2.373e+01	2.060e+02	1.435e+01	8.370e+02	2.893e+01	2.420e+02	1.556e+01	2.650e+02	1.628e+01	3.030e+02	1.741e+01
6	5.700e+01	7.550e+00	3.780e+02	1.944e+01	6.730e+02	2.594e+01	5.060e+02	2.249e+01	3.620e+02	1.903e+01	3.410e+02	1.847e+01	3.820e+02	1.954e+01	4.270e+02	2.066e+01	4.420e+02	2.102e+01	4.390e+02	2.095e+01	6.180e+02	2.486e+01	2.280e+02	1.510e+01	9.210e+02	3.035e+01	2.590e+02	1.609e+01	2.690e+02	1.640e+01	3.210e+02	1.792e+01
7	7.300e+01	8.544e+00	3.180e+02	1.783e+01	7.080e+02	2.661e+01	4.960e+02	2.227e+01	3.540e+02	1.881e+01	3.560e+02	1.887e+01	4.400e+02	2.098e+01	4.300e+02	2.074e+01	4.430e+02	2.105e+01	4.430e+02	2.105e+01	6.220e+02	2.494e+01	2.180e+02	1.476e+01	9.420e+02	3.069e+01	2.580e+02	1.606e+01	3.060e+02	1.749e+01	2.660e+02	1.631e+01
8	5.900e+01	7.681e+00	2.900e+02	1.703e+01	7.410e+02	2.722e+01	5.620e+02	2.371e+01	3.850e+02	1.962e+01	3.470e+02	1.863e+01	4.690e+02	2.166e+01	4.230e+02	2.057e+01	4.130e+02	2.032e+01	5.120e+02	2.263e+01	7.070e+02	2.659e+01	2.250e+02	1.500e+01	1.025e+03	3.202e+01	2.600e+02	1.612e+01	2.720e+02	1.649e+01	3.010e+02	1.735e+01
9	6.200e+01	7.874e+00	2.710e+02	1.646e+01	7.320e+02	2.706e+01	5.730e+02	2.394e+01	4.440e+02	2.107e+01	3.860e+02	1.965e+01	4.350e+02	2.086e+01	4.870e+02	2.207e+01	4.740e+02	2.177e+01	4.610e+02	2.147e+01	6.750e+02	2.598e+01	2.500e+02	1.581e+01	1.039e+03	3.223e+01	2.810e+02	1.676e+01	3.120e+02	1.766e+01	3.010e+02	1.735e+01
10	5.400e+01	7.348e+00	2.080e+02	1.442e+01	7.680e+02	2.771e+01	5.650e+02	2.377e+01	4.080e+02	2.020e+01	3.540e+02	1.881e+01	4.310e+02	2.076e+01	4.410e+02	2.100e+01	5.010e+02	2.238e+01	5.260e+02	2.293e+01	6.430e+02	2.536e+01	2.480e+02	1.575e+01	9.830e+02	3.135e+01	3.010e+02	1.735e+01	3.050e+02	1.746e+01	3.280e+02	1.811e+01
11	5.500e+01	7.416e+00	1.970e+02	1.404e+01	7.990e+02	2.827e+01	5.640e+02	2.375e+01	3.920e+02	1.980e+01	4.060e+02	2.015e+01	4.900e+02	2.214e+01	4.740e+02	2.177e+01	5.140e+02	2.267e+01	5.380e+02	2.319e+01	7.530e+02	2.744e+01	2.060e+02	1.435e+01	1.078e+03	3.283e+01	3.180e+02	1.783e+01	3.550e+02	1.884e+01	3.630e+02	1.905e+01
12	4.800e+01	6.928e+00	1.740e+02	1.319e+01	8.470e+02	2.910e+01	6.210e+02	2.492e+01	4.460e+02	2.112e+01	4.600e+02	2.145e+01	4.990e+02	2.234e+01	5.270e+02	2.296e+01	5.610e+02	2.369e+01	5.560e+02	2.358e+01	7.550e+02	2.748e+01	2.530e+02	1.591e+01	1.098e+03	3.314e+01	3.070e+02	1.752e+01	3.480e+02	1.865e+01	3.630e+02	1.905e+01
13	7.500e+01	8.660e+00	1.720e+02	1.311e+01	7.690e+02	2.773e+01	6.820e+02	2.612e+01	4.550e+02	2.133e+01	4.580e+02	2.140e+01	4.960e+02	2.227e+01	5.050e+02	2.247e+01	5.280e+02	2.298e+01	6.200e+02	2.490e+01	7.730e+02	2.780e+01	2.650e+02	1.628e+01	1.071e+03	3.273e+01	3.230e+02	1.797e+01	3.350e+02	1.830e+01	3.440e+02	1.855e+01
