# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_1/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16
# plane	POL=3		POL=3		POL=3		POL=1		POL=4		POL=1		POL=1		POL=1		POL=2		POL=1		POL=1		POL=1		POL=4		POL=1		POL=1		POL=1	
1	9.337e+03	9.663e+01	1.583e+04	1.258e+02	4.856e+04	2.204e+02	2.773e+04	1.665e+02	2.783e+04	1.668e+02	2.220e+04	1.490e+02	3.208e+04	1.791e+02	3.563e+04	1.887e+02	3.619e+04	1.902e+02	3.996e+04	1.999e+02	4.898e+04	2.213e+02	1.576e+04	1.256e+02	4.389e+04	2.095e+02	2.830e+04	1.682e+02	2.654e+04	1.629e+02	2.801e+04	1.673e+02
2	1.017e+04	1.009e+02	1.705e+04	1.306e+02	5.075e+04	2.253e+02	2.801e+04	1.674e+02	2.920e+04	1.709e+02	2.260e+04	1.503e+02	3.301e+04	1.817e+02	3.666e+04	1.915e+02	3.695e+04	1.922e+02	4.014e+04	2.004e+02	5.170e+04	2.274e+02	1.629e+04	1.276e+02	4.477e+04	2.116e+02	2.871e+04	1.694e+02	2.594e+04	1.611e+02	2.909e+04	1.706e+02
3	1.016e+04	1.008e+02	1.682e+04	1.297e+02	5.048e+04	2.247e+02	2.825e+04	1.681e+02	2.973e+04	1.724e+02	2.298e+04	1.516e+02	3.324e+04	1.823e+02	3.677e+04	1.918e+02	3.708e+04	1.925e+02	4.014e+04	2.003e+02	5.191e+04	2.278e+02	1.607e+04	1.268e+02	4.543e+04	2.131e+02	2.851e+04	1.689e+02	2.588e+04	1.609e+02	2.926e+04	1.710e+02
4	9.680e+03	9.839e+01	1.656e+04	1.287e+02	5.129e+04	2.265e+02	2.879e+04	1.697e+02	2.959e+04	1.720e+02	2.411e+04	1.553e+02	3.439e+04	1.854e+02	3.825e+04	1.956e+02	3.726e+04	1.930e+02	4.117e+04	2.029e+02	5.226e+04	2.286e+02	1.639e+04	1.280e+02	4.686e+04	2.165e+02	2.858e+04	1.691e+02	2.728e+04	1.652e+02	2.913e+04	1.707e+02
5	9.842e+03	9.921e+01	1.665e+04	1.290e+02	5.078e+04	2.253e+02	2.908e+04	1.705e+02	3.026e+04	1.740e+02	2.424e+04	1.557e+02	3.418e+04	1.849e+02	3.785e+04	1.945e+02	3.721e+04	1.929e+02	4.045e+04	2.011e+02	5.215e+04	2.284e+02	1.631e+04	1.277e+02	4.678e+04	2.163e+02	2.785e+04	1.669e+02	2.659e+04	1.631e+02	2.924e+04	1.710e+02
6	1.002e+04	1.001e+02	1.697e+04	1.303e+02	5.235e+04	2.288e+02	2.928e+04	1.711e+02	2.939e+04	1.714e+02	2.432e+04	1.559e+02	3.486e+04	1.867e+02	3.957e+04	1.989e+02	3.783e+04	1.945e+02	4.290e+04	2.071e+02	5.277e+04	2.297e+02	1.696e+04	1.302e+02	4.702e+04	2.169e+02	2.976e+04	1.725e+02	2.722e+04	1.650e+02	3.041e+04	1.744e+02
7	9.787e+03	9.893e+01	1.643e+04	1.282e+02	5.251e+04	2.292e+02	2.945e+04	1.716e+02	2.979e+04	1.726e+02	2.466e+04	1.570e+02	3.499e+04	1.871e+02	3.957e+04	1.989e+02	3.820e+04	1.955e+02	4.273e+04	2.067e+02	5.353e+04	2.314e+02	1.689e+04	1.299e+02	4.723e+04	2.173e+02	2.940e+04	1.715e+02	2.682e+04	1.638e+02	2.991e+04	1.729e+02
8	9.844e+03	9.922e+01	1.645e+04	1.283e+02	5.263e+04	2.294e+02	2.999e+04	1.732e+02	3.006e+04	1.734e+02	2.433e+04	1.560e+02	3.527e+04	1.878e+02	3.953e+04	1.988e+02	3.823e+04	1.955e+02	4.347e+04	2.085e+02	5.329e+04	2.308e+02	1.717e+04	1.310e+02	4.750e+04	2.179e+02	2.999e+04	1.732e+02	2.759e+04	1.661e+02	3.036e+04	1.742e+02
9	9.817e+03	9.908e+01	1.649e+04	1.284e+02	5.330e+04	2.309e+02	3.038e+04	1.743e+02	3.016e+04	1.737e+02	2.500e+04	1.581e+02	3.582e+04	1.893e+02	4.024e+04	2.006e+02	3.871e+04	1.968e+02	4.417e+04	2.102e+02	5.412e+04	2.326e+02	1.754e+04	1.325e+02	4.825e+04	2.196e+02	3.029e+04	1.741e+02	2.802e+04	1.674e+02	3.086e+04	1.757e+02
10	9.301e+03	9.644e+01	1.619e+04	1.272e+02	5.250e+04	2.291e+02	3.074e+04	1.753e+02	3.064e+04	1.750e+02	2.433e+04	1.560e+02	3.539e+04	1.881e+02	3.916e+04	1.979e+02	3.959e+04	1.990e+02	4.406e+04	2.099e+02	5.413e+04	2.327e+02	1.751e+04	1.323e+02	4.762e+04	2.182e+02	3.030e+04	1.741e+02	2.836e+04	1.684e+02	3.030e+04	1.741e+02
