# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	9.625e-01	1.292e-01	1.071e+00	1.758e-01	8.897e-01	1.096e-01	8.508e-01	1.560e-01	9.291e-01	1.259e-01	9.309e-01	1.394e-01	1.058e+00	1.258e-01	9.453e-01	1.795e-01	1.080e+00	1.397e-01	9.366e-01	1.176e-01	9.173e-01	1.303e-01	1.220e+00	1.452e-01	8.753e-01	1.445e-01	1.021e+00	1.513e-01	1.012e+00	1.552e-01	9.480e-01	1.412e-01	9.021e-01	1.543e-01	1.115e+00	1.512e-01	1.043e+00	1.036e-01
2	9.744e-01	1.192e-01	9.402e-01	1.543e-01	1.026e+00	1.066e-01	1.078e+00	1.573e-01	9.052e-01	1.132e-01	9.393e-01	1.261e-01	8.925e-01	1.053e-01	1.011e+00	1.743e-01	9.445e-01	1.196e-01	9.916e-01	1.107e-01	9.063e-01	1.190e-01	1.048e+00	1.216e-01	9.108e-01	1.356e-01	1.071e+00	1.421e-01	9.432e-01	1.340e-01	9.550e-01	1.324e-01	9.471e-01	1.460e-01	8.655e-01	1.188e-01	9.126e-01	8.863e-02
3	1.012e+00	1.120e-01	1.198e+00	1.589e-01	1.050e+00	9.994e-02	9.403e-01	1.364e-01	1.008e+00	1.103e-01	9.286e-01	1.144e-01	1.022e+00	1.043e-01	9.810e-01	1.589e-01	9.671e-01	1.130e-01	8.480e-01	9.551e-02	1.082e+00	1.197e-01	9.184e-01	1.045e-01	1.007e+00	1.317e-01	9.996e-01	1.271e-01	1.058e+00	1.340e-01	9.551e-01	1.239e-01	1.136e+00	1.475e-01	1.004e+00	1.181e-01	1.002e+00	8.649e-02
4	9.222e-01	9.962e-02	1.098e+00	1.402e-01	1.027e+00	9.323e-02	1.053e+00	1.361e-01	8.558e-01	9.609e-02	1.057e+00	1.156e-01	1.022e+00	9.932e-02	9.684e-01	1.493e-01	1.012e+00	1.069e-01	1.136e+00	1.047e-01	9.486e-01	1.056e-01	9.114e-01	9.761e-02	9.600e-01	1.206e-01	1.005e+00	1.190e-01	1.080e+00	1.297e-01	1.002e+00	1.226e-01	8.497e-01	1.219e-01	1.009e+00	1.124e-01	1.021e+00	8.191e-02
5	9.449e-01	9.471e-02	8.676e-01	1.197e-01	1.035e+00	8.905e-02	1.011e+00	1.270e-01	8.630e-01	9.214e-02	1.058e+00	1.103e-01	1.096e+00	9.861e-02	1.006e+00	1.444e-01	1.058e+00	1.059e-01	1.063e+00	9.732e-02	9.399e-01	1.012e-01	1.089e+00	1.032e-01	1.095e+00	1.235e-01	1.006e+00	1.130e-01	9.024e-01	1.124e-01	1.055e+00	1.200e-01	9.624e-01	1.238e-01	1.052e+00	1.094e-01	9.563e-01	7.596e-02
6	1.076e+00	9.790e-02	1.120e+00	1.314e-01	1.087e+00	8.765e-02	9.117e-01	1.127e-01	9.831e-01	9.377e-02	1.034e+00	1.052e-01	1.031e+00	9.156e-02	9.894e-01	1.372e-01	9.949e-01	9.805e-02	1.030e+00	9.042e-02	9.167e-01	9.474e-02	9.694e-01	9.331e-02	1.093e+00	1.196e-01	1.016e+00	1.088e-01	8.922e-01	1.087e-01	9.851e-01	1.110e-01	1.112e+00	1.296e-01	9.995e-01	1.025e-01	1.048e+00	7.632e-02
7	1.002e+00	9.076e-02	1.020e+00	1.208e-01	9.560e-01	7.950e-02	1.035e+00	1.182e-01	1.018e+00	9.192e-02	9.760e-01	9.908e-02	9.057e-01	8.288e-02	9.759e-01	1.322e-01	1.033e+00	9.764e-02	9.503e-01	8.407e-02	1.101e+00	1.004e-01	1.173e+00	9.972e-02	1.020e+00	1.115e-01	9.273e-01	1.013e-01	9.950e-01	1.098e-01	9.761e-01	1.083e-01	1.063e+00	1.211e-01	1.111e+00	1.049e-01	9.914e-01	7.191e-02
8	8.988e-01	8.311e-02	1.004e+00	1.166e-01	1.002e+00	7.885e-02	1.207e+00	1.237e-01	1.051e+00	9.029e-02	1.131e+00	1.039e-01	9.495e-01	8.242e-02	1.003e+00	1.307e-01	9.189e-01	8.782e-02	1.069e+00	8.718e-02	1.002e+00	9.290e-02	1.085e+00	9.221e-02	1.037e+00	1.101e-01	9.210e-01	9.808e-02	9.811e-01	1.060e-01	9.521e-01	1.026e-01	1.014e+00	1.143e-01	1.084e+00	1.006e-01	9.479e-01	6.919e-02
9	1.020e+00	8.571e-02	1.111e+00	1.194e-01	1.040e+00	7.773e-02	9.077e-01	1.039e-01	1.030e+00	8.686e-02	9.553e-01	9.279e-02	9.625e-01	8.088e-02	1.019e+00	1.256e-01	9.318e-01	8.692e-02	1.093e+00	8.480e-02	1.024e+00	9.118e-02	9.573e-01	8.469e-02	9.985e-01	1.038e-01	1.040e+00	1.008e-01	8.997e-01	9.774e-02	1.090e+00	1.057e-01	1.031e+00	1.127e-01	9.671e-01	9.142e-02	1.062e+00	7.079e-02
10	9.610e-01	8.047e-02	1.010e+00	1.086e-01	9.601e-01	7.251e-02	9.989e-01	1.061e-01	1.090e+00	8.747e-02	9.753e-01	9.120e-02	1.072e+00	8.240e-02	9.218e-01	1.144e-01	1.073e+00	9.088e-02	9.686e-01	7.683e-02	9.573e-01	8.535e-02	1.026e+00	8.464e-02	1.039e+00	1.010e-01	9.918e-01	9.547e-02	9.246e-01	9.606e-02	9.094e-01	9.373e-02	9.495e-01	1.038e-01	1.006e+00	9.010e-02	1.092e+00	6.920e-02
