# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	4.104e-01	4.058e-02	3.821e-01	4.858e-02	3.965e-01	3.291e-02	4.028e-01	5.512e-02	3.450e-01	3.427e-02	4.364e-01	4.436e-02	3.805e-01	3.567e-02	4.535e-01	5.936e-02	4.139e-01	3.969e-02	3.621e-01	3.424e-02	4.075e-01	3.916e-02	3.687e-01	3.796e-02	3.979e-01	4.694e-02	4.380e-01	4.487e-02	3.786e-01	4.498e-02	3.636e-01	4.259e-02	4.580e-01	5.349e-02	3.465e-01	4.269e-02	3.946e-01	3.084e-02
2	3.777e-01	3.707e-02	4.654e-01	5.069e-02	3.929e-01	3.061e-02	3.816e-01	4.952e-02	4.054e-01	3.454e-02	4.239e-01	4.064e-02	3.927e-01	3.434e-02	4.035e-01	5.236e-02	3.758e-01	3.531e-02	3.900e-01	3.329e-02	3.835e-01	3.549e-02	3.893e-01	3.626e-02	3.974e-01	4.290e-02	3.749e-01	3.820e-02	3.720e-01	4.176e-02	4.014e-01	4.235e-02	3.406e-01	4.311e-02	3.320e-01	3.916e-02	4.137e-01	2.985e-02
3	4.273e-01	3.766e-02	3.284e-01	4.124e-02	3.844e-01	2.947e-02	3.500e-01	4.600e-02	3.767e-01	3.233e-02	3.619e-01	3.613e-02	3.828e-01	3.286e-02	4.212e-01	5.152e-02	3.691e-01	3.345e-02	3.832e-01	3.185e-02	3.521e-01	3.244e-02	3.706e-01	3.422e-02	4.058e-01	4.124e-02	3.714e-01	3.654e-02	3.905e-01	4.179e-02	4.186e-01	4.244e-02	4.398e-01	4.720e-02	4.168e-01	4.236e-02	4.020e-01	2.882e-02
4	3.879e-01	3.530e-02	3.430e-01	4.103e-02	3.446e-01	2.766e-02	3.643e-01	4.668e-02	3.846e-01	3.277e-02	3.908e-01	3.730e-02	3.964e-01	3.330e-02	3.496e-01	4.675e-02	3.579e-01	3.250e-02	3.620e-01	3.067e-02	3.735e-01	3.330e-02	4.175e-01	3.624e-02	3.569e-01	3.797e-02	4.178e-01	3.803e-02	3.547e-01	3.982e-02	3.703e-01	4.020e-02	4.052e-01	4.466e-02	3.962e-01	4.102e-02	3.927e-01	2.855e-02
5	3.287e-01	3.257e-02	3.977e-01	4.451e-02	3.467e-01	2.801e-02	3.410e-01	4.561e-02	3.840e-01	3.296e-02	3.784e-01	3.706e-02	3.435e-01	3.152e-02	4.046e-01	5.083e-02	4.320e-01	3.579e-02	4.019e-01	3.258e-02	4.107e-01	3.532e-02	3.929e-01	3.561e-02	3.710e-01	3.831e-02	3.797e-01	3.624e-02	4.001e-01	4.245e-02	3.818e-01	4.109e-02	3.533e-01	4.154e-02	3.459e-01	3.882e-02	3.773e-01	2.823e-02
6	3.649e-01	3.443e-02	3.273e-01	4.062e-02	3.811e-01	2.934e-02	3.930e-01	4.842e-02	4.171e-01	3.432e-02	3.539e-01	3.635e-02	3.703e-01	3.276e-02	3.991e-01	5.033e-02	3.675e-01	3.344e-02	3.542e-01	3.086e-02	4.227e-01	3.563e-02	3.638e-01	3.456e-02	3.777e-01	3.889e-02	4.120e-01	3.781e-02	3.674e-01	4.124e-02	3.733e-01	4.076e-02	3.390e-01	4.160e-02	3.911e-01	4.150e-02	4.012e-01	2.960e-02
7	3.679e-01	3.503e-02	4.101e-01	4.634e-02	3.776e-01	2.960e-02	3.794e-01	4.945e-02	3.617e-01	3.277e-02	3.619e-01	3.736e-02	3.506e-01	3.238e-02	3.970e-01	5.068e-02	3.747e-01	3.396e-02	3.906e-01	3.287e-02	4.733e-01	3.824e-02	3.854e-01	3.629e-02	3.783e-01	3.906e-02	3.746e-01	3.633e-02	3.753e-01	4.226e-02	3.884e-01	4.229e-02	3.297e-01	4.093e-02	4.411e-01	4.483e-02	3.990e-01	3.006e-02
8	3.851e-01	3.643e-02	4.079e-01	4.684e-02	3.661e-01	2.958e-02	4.415e-01	5.360e-02	4.092e-01	3.519e-02	3.083e-01	3.505e-02	3.649e-01	3.369e-02	3.918e-01	5.128e-02	3.787e-01	3.460e-02	4.356e-01	3.543e-02	3.761e-01	3.436e-02	3.736e-01	3.590e-02	3.932e-01	4.048e-02	3.764e-01	3.694e-02	4.350e-01	4.565e-02	4.140e-01	4.369e-02	3.731e-01	4.432e-02	3.717e-01	4.185e-02	4.013e-01	3.054e-02
9	3.542e-01	3.536e-02	3.826e-01	4.593e-02	3.900e-01	3.077e-02	3.748e-01	4.948e-02	4.130e-01	3.585e-02	4.038e-01	4.033e-02	4.077e-01	3.579e-02	4.328e-01	5.416e-02	3.666e-01	3.437e-02	4.012e-01	3.412e-02	4.281e-01	3.682e-02	3.767e-01	3.628e-02	3.977e-01	4.117e-02	3.942e-01	3.851e-02	3.793e-01	4.313e-02	3.666e-01	4.128e-02	3.890e-01	4.526e-02	3.891e-01	4.301e-02	3.601e-01	2.914e-02
10	3.833e-01	3.692e-02	3.052e-01	4.119e-02	3.605e-01	2.986e-02	3.697e-01	4.967e-02	3.634e-01	3.378e-02	3.457e-01	3.776e-02	3.305e-01	3.243e-02	3.889e-01	5.111e-02	3.671e-01	3.456e-02	3.756e-01	3.329e-02	4.025e-01	3.568e-02	3.829e-01	3.688e-02	3.754e-01	3.950e-02	4.299e-01	4.022e-02	3.775e-01	4.320e-02	3.274e-01	3.931e-02	3.728e-01	4.460e-02	4.090e-01	4.428e-02	3.924e-01	3.067e-02
