# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=4		POL=5		POL=1		POL=4		POL=3		POL=5		POL=5		POL=3		POL=1		POL=3		POL=1		POL=1		POL=3		POL=1		POL=5		POL=3		POL=3		POL=1		POL=2	
1	7.640e+02	2.764e+01	4.940e+02	2.223e+01	9.760e+02	3.124e+01	4.490e+02	2.119e+01	7.510e+02	2.740e+01	6.320e+02	2.514e+01	7.860e+02	2.804e+01	3.930e+02	1.982e+01	7.010e+02	2.648e+01	8.200e+02	2.864e+01	6.750e+02	2.598e+01	7.120e+02	2.668e+01	5.430e+02	2.330e+01	5.800e+02	2.408e+01	5.100e+02	2.258e+01	5.800e+02	2.408e+01	5.400e+02	2.324e+01	6.230e+02	2.496e+01	1.281e+03	3.579e+01
2	8.230e+02	2.869e+01	5.220e+02	2.285e+01	9.660e+02	3.108e+01	4.610e+02	2.147e+01	8.730e+02	2.955e+01	6.950e+02	2.636e+01	8.850e+02	2.975e+01	4.310e+02	2.076e+01	7.860e+02	2.804e+01	9.750e+02	3.122e+01	7.730e+02	2.780e+01	8.280e+02	2.877e+01	6.300e+02	2.510e+01	6.630e+02	2.575e+01	5.790e+02	2.406e+01	6.310e+02	2.512e+01	5.970e+02	2.443e+01	6.820e+02	2.612e+01	1.342e+03	3.663e+01
3	9.620e+02	3.102e+01	5.780e+02	2.404e+01	1.192e+03	3.453e+01	5.830e+02	2.415e+01	9.150e+02	3.025e+01	8.250e+02	2.872e+01	1.006e+03	3.172e+01	5.020e+02	2.241e+01	7.610e+02	2.759e+01	1.009e+03	3.176e+01	9.260e+02	3.043e+01	9.100e+02	3.017e+01	7.190e+02	2.681e+01	7.470e+02	2.733e+01	6.480e+02	2.546e+01	6.470e+02	2.544e+01	6.580e+02	2.565e+01	8.110e+02	2.848e+01	1.460e+03	3.821e+01
4	1.084e+03	3.292e+01	6.600e+02	2.569e+01	1.283e+03	3.582e+01	5.770e+02	2.402e+01	9.510e+02	3.084e+01	9.030e+02	3.005e+01	1.029e+03	3.208e+01	5.300e+02	2.302e+01	9.170e+02	3.028e+01	1.146e+03	3.385e+01	9.940e+02	3.153e+01	1.042e+03	3.228e+01	8.010e+02	2.830e+01	7.940e+02	2.818e+01	6.840e+02	2.615e+01	7.820e+02	2.796e+01	7.690e+02	2.773e+01	8.550e+02	2.924e+01	1.597e+03	3.996e+01
5	1.196e+03	3.458e+01	6.320e+02	2.514e+01	1.403e+03	3.746e+01	6.540e+02	2.557e+01	1.056e+03	3.250e+01	9.070e+02	3.012e+01	1.151e+03	3.393e+01	6.240e+02	2.498e+01	9.860e+02	3.140e+01	1.218e+03	3.490e+01	1.024e+03	3.200e+01	1.057e+03	3.251e+01	8.260e+02	2.874e+01	9.360e+02	3.059e+01	7.250e+02	2.693e+01	8.070e+02	2.841e+01	7.880e+02	2.807e+01	9.200e+02	3.033e+01	1.653e+03	4.066e+01
6	1.296e+03	3.600e+01	7.330e+02	2.707e+01	1.499e+03	3.872e+01	6.980e+02	2.642e+01	1.229e+03	3.506e+01	9.750e+02	3.122e+01	1.274e+03	3.569e+01	6.520e+02	2.553e+01	1.046e+03	3.234e+01	1.299e+03	3.604e+01	1.123e+03	3.351e+01	1.153e+03	3.396e+01	9.170e+02	3.028e+01	9.550e+02	3.090e+01	7.730e+02	2.780e+01	9.000e+02	3.000e+01	8.020e+02	2.832e+01	1.059e+03	3.254e+01	1.819e+03	4.265e+01
7	1.408e+03	3.752e+01	7.630e+02	2.762e+01	1.675e+03	4.093e+01	7.990e+02	2.827e+01	1.251e+03	3.537e+01	1.048e+03	3.237e+01	1.318e+03	3.630e+01	7.250e+02	2.693e+01	1.159e+03	3.404e+01	1.473e+03	3.838e+01	1.160e+03	3.406e+01	1.243e+03	3.526e+01	1.069e+03	3.270e+01	9.930e+02	3.151e+01	8.480e+02	2.912e+01	9.910e+02	3.148e+01	9.150e+02	3.025e+01	1.140e+03	3.376e+01	1.878e+03	4.334e+01
8	1.404e+03	3.747e+01	8.050e+02	2.837e+01	1.672e+03	4.089e+01	8.100e+02	2.846e+01	1.385e+03	3.722e+01	1.141e+03	3.378e+01	1.426e+03	3.776e+01	7.620e+02	2.760e+01	1.237e+03	3.517e+01	1.463e+03	3.825e+01	1.320e+03	3.633e+01	1.329e+03	3.646e+01	1.080e+03	3.286e+01	1.061e+03	3.257e+01	9.820e+02	3.134e+01	1.029e+03	3.208e+01	1.029e+03	3.208e+01	1.161e+03	3.407e+01	2.026e+03	4.501e+01
9	1.606e+03	4.007e+01	8.690e+02	2.948e+01	1.780e+03	4.219e+01	9.590e+02	3.097e+01	1.377e+03	3.711e+01	1.237e+03	3.517e+01	1.450e+03	3.808e+01	8.400e+02	2.898e+01	1.338e+03	3.658e+01	1.656e+03	4.069e+01	1.407e+03	3.751e+01	1.462e+03	3.824e+01	1.198e+03	3.461e+01	1.114e+03	3.338e+01	1.046e+03	3.234e+01	1.116e+03	3.341e+01	1.033e+03	3.214e+01	1.227e+03	3.503e+01	2.157e+03	4.644e+01
10	1.681e+03	4.100e+01	1.085e+03	3.294e+01	2.071e+03	4.551e+01	1.021e+03	3.195e+01	1.558e+03	3.947e+01	1.286e+03	3.586e+01	1.645e+03	4.056e+01	9.320e+02	3.053e+01	1.412e+03	3.758e+01	1.770e+03	4.207e+01	1.479e+03	3.846e+01	1.648e+03	4.060e+01	1.263e+03	3.554e+01	1.193e+03	3.454e+01	1.129e+03	3.360e+01	1.157e+03	3.401e+01	1.155e+03	3.399e+01	1.454e+03	3.813e+01	2.417e+03	4.916e+01
11	1.849e+03	4.300e+01	1.097e+03	3.312e+01	2.219e+03	4.711e+01	1.119e+03	3.345e+01	1.669e+03	4.085e+01	1.416e+03	3.763e+01	1.793e+03	4.234e+01	1.002e+03	3.165e+01	1.576e+03	3.970e+01	1.911e+03	4.371e+01	1.660e+03	4.074e+01	1.696e+03	4.118e+01	1.432e+03	3.784e+01	1.347e+03	3.670e+01	1.193e+03	3.454e+01	1.380e+03	3.715e+01	1.256e+03	3.544e+01	1.556e+03	3.945e+01	2.719e+03	5.214e+01
12	2.057e+03	4.535e+01	1.159e+03	3.404e+01	2.434e+03	4.934e+01	1.143e+03	3.381e+01	1.836e+03	4.285e+01	1.537e+03	3.920e+01	1.983e+03	4.453e+01	1.160e+03	3.406e+01	1.652e+03	4.064e+01	2.022e+03	4.497e+01	1.720e+03	4.147e+01	1.896e+03	4.354e+01	1.499e+03	3.872e+01	1.428e+03	3.779e+01	1.301e+03	3.607e+01	1.494e+03	3.865e+01	1.441e+03	3.796e+01	1.741e+03	4.173e+01	2.923e+03	5.406e+01
13	2.170e+03	4.658e+01	1.263e+03	3.554e+01	2.316e+03	4.812e+01	1.214e+03	3.484e+01	1.794e+03	4.236e+01	1.525e+03	3.905e+01	1.964e+03	4.432e+01	1.054e+03	3.247e+01	1.623e+03	4.029e+01	1.992e+03	4.463e+01	1.759e+03	4.194e+01	1.920e+03	4.382e+01	1.554e+03	3.942e+01	1.273e+03	3.568e+01	1.329e+03	3.646e+01	1.498e+03	3.870e+01	1.446e+03	3.803e+01	1.718e+03	4.145e+01	2.861e+03	5.349e+01
14	2.236e+03	4.729e+01	1.267e+03	3.559e+01	2.221e+03	4.713e+01	1.141e+03	3.378e+01	1.679e+03	4.098e+01	1.510e+03	3.886e+01	1.827e+03	4.274e+01	1.033e+03	3.214e+01	1.442e+03	3.797e+01	1.995e+03	4.467e+01	1.643e+03	4.053e+01	1.818e+03	4.264e+01	1.492e+03	3.863e+01	1.350e+03	3.674e+01	1.233e+03	3.511e+01	1.431e+03	3.783e+01	1.406e+03	3.750e+01	1.711e+03	4.136e+01	2.857e+03	5.345e+01
15	2.200e+03	4.690e+01	1.227e+03	3.503e+01	2.316e+03	4.812e+01	1.208e+03	3.476e+01	1.733e+03	4.163e+01	1.644e+03	4.055e+01	1.979e+03	4.449e+01	1.158e+03	3.403e+01	1.639e+03	4.048e+01	2.047e+03	4.524e+01	1.748e+03	4.181e+01	1.778e+03	4.217e+01	1.538e+03	3.922e+01	1.310e+03	3.619e+01	1.242e+03	3.524e+01	1.447e+03	3.804e+01	1.563e+03	3.953e+01	1.756e+03	4.190e+01	2.959e+03	5.440e+01
