# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=1		POL=1		POL=3		POL=5		POL=3		POL=1		POL=1		POL=1		POL=5		POL=1		POL=5		POL=5		POL=5		POL=3		POL=1		POL=1		POL=1		POL=4		POL=5	
1	1.120e+02	1.058e+01	7.500e+01	8.660e+00	1.330e+02	1.153e+01	6.000e+01	7.746e+00	1.100e+02	1.049e+01	9.000e+01	9.487e+00	1.430e+02	1.196e+01	5.600e+01	7.483e+00	1.210e+02	1.100e+01	1.280e+02	1.131e+01	1.000e+02	1.000e+01	1.430e+02	1.196e+01	7.400e+01	8.602e+00	9.200e+01	9.592e+00	8.600e+01	9.274e+00	9.100e+01	9.539e+00	6.900e+01	8.307e+00	1.100e+02	1.049e+01	2.050e+02	1.432e+01
2	1.350e+02	1.162e+01	7.500e+01	8.660e+00	1.870e+02	1.367e+01	9.500e+01	9.747e+00	1.290e+02	1.136e+01	1.120e+02	1.058e+01	1.450e+02	1.204e+01	6.800e+01	8.246e+00	1.260e+02	1.122e+01	1.620e+02	1.273e+01	1.170e+02	1.082e+01	1.500e+02	1.225e+01	9.100e+01	9.539e+00	1.150e+02	1.072e+01	1.000e+02	1.000e+01	1.050e+02	1.025e+01	8.500e+01	9.220e+00	1.070e+02	1.034e+01	2.140e+02	1.463e+01
3	1.650e+02	1.285e+01	1.150e+02	1.072e+01	2.230e+02	1.493e+01	9.600e+01	9.798e+00	1.690e+02	1.300e+01	1.330e+02	1.153e+01	1.940e+02	1.393e+01	7.700e+01	8.775e+00	1.480e+02	1.217e+01	1.590e+02	1.261e+01	1.650e+02	1.285e+01	1.560e+02	1.249e+01	1.180e+02	1.086e+01	1.250e+02	1.118e+01	1.260e+02	1.122e+01	1.200e+02	1.095e+01	1.200e+02	1.095e+01	1.460e+02	1.208e+01	2.710e+02	1.646e+01
4	1.730e+02	1.315e+01	1.240e+02	1.114e+01	2.450e+02	1.565e+01	1.210e+02	1.100e+01	1.600e+02	1.265e+01	1.690e+02	1.300e+01	2.140e+02	1.463e+01	8.500e+01	9.220e+00	1.810e+02	1.345e+01	2.380e+02	1.543e+01	1.630e+02	1.277e+01	1.760e+02	1.327e+01	1.280e+02	1.131e+01	1.440e+02	1.200e+01	1.400e+02	1.183e+01	1.350e+02	1.162e+01	9.800e+01	9.899e+00	1.630e+02	1.277e+01	3.140e+02	1.772e+01
5	2.010e+02	1.418e+01	1.060e+02	1.030e+01	2.730e+02	1.652e+01	1.280e+02	1.131e+01	1.770e+02	1.330e+01	1.860e+02	1.364e+01	2.500e+02	1.581e+01	9.800e+01	9.899e+00	2.020e+02	1.421e+01	2.410e+02	1.552e+01	1.740e+02	1.319e+01	2.250e+02	1.500e+01	1.590e+02	1.261e+01	1.600e+02	1.265e+01	1.300e+02	1.140e+01	1.560e+02	1.249e+01	1.220e+02	1.105e+01	1.870e+02	1.367e+01	3.200e+02	1.789e+01
6	2.440e+02	1.562e+01	1.470e+02	1.212e+01	3.110e+02	1.764e+01	1.320e+02	1.149e+01	2.220e+02	1.490e+01	1.950e+02	1.396e+01	2.560e+02	1.600e+01	1.050e+02	1.025e+01	2.080e+02	1.442e+01	2.620e+02	1.619e+01	1.890e+02	1.375e+01	2.180e+02	1.476e+01	1.690e+02	1.300e+01	1.760e+02	1.327e+01	1.360e+02	1.166e+01	1.590e+02	1.261e+01	1.490e+02	1.221e+01	1.920e+02	1.386e+01	3.810e+02	1.952e+01
7	2.460e+02	1.568e+01	1.440e+02	1.200e+01	2.920e+02	1.709e+01	1.550e+02	1.245e+01	2.480e+02	1.575e+01	1.960e+02	1.400e+01	2.410e+02	1.552e+01	1.100e+02	1.049e+01	2.260e+02	1.503e+01	2.580e+02	1.606e+01	2.430e+02	1.559e+01	2.800e+02	1.673e+01	1.690e+02	1.300e+01	1.690e+02	1.300e+01	1.660e+02	1.288e+01	1.640e+02	1.281e+01	1.560e+02	1.249e+01	2.270e+02	1.507e+01	3.840e+02	1.960e+01
8	2.360e+02	1.536e+01	1.500e+02	1.225e+01	3.260e+02	1.806e+01	1.930e+02	1.389e+01	2.740e+02	1.655e+01	2.400e+02	1.549e+01	2.680e+02	1.637e+01	1.190e+02	1.091e+01	2.210e+02	1.487e+01	3.040e+02	1.744e+01	2.350e+02	1.533e+01	2.800e+02	1.673e+01	1.790e+02	1.338e+01	1.780e+02	1.334e+01	1.730e+02	1.315e+01	1.740e+02	1.319e+01	1.590e+02	1.261e+01	2.350e+02	1.533e+01	3.790e+02	1.947e+01
9	2.860e+02	1.691e+01	1.750e+02	1.323e+01	3.620e+02	1.903e+01	1.540e+02	1.241e+01	2.840e+02	1.685e+01	2.140e+02	1.463e+01	2.860e+02	1.691e+01	1.330e+02	1.153e+01	2.320e+02	1.523e+01	3.360e+02	1.833e+01	2.550e+02	1.597e+01	2.580e+02	1.606e+01	1.870e+02	1.367e+01	2.150e+02	1.466e+01	1.710e+02	1.308e+01	2.150e+02	1.466e+01	1.690e+02	1.300e+01	2.260e+02	1.503e+01	4.550e+02	2.133e+01
10	2.880e+02	1.697e+01	1.750e+02	1.323e+01	3.540e+02	1.881e+01	1.790e+02	1.338e+01	3.140e+02	1.772e+01	2.310e+02	1.520e+01	3.420e+02	1.849e+01	1.310e+02	1.145e+01	2.820e+02	1.679e+01	3.210e+02	1.792e+01	2.540e+02	1.594e+01	2.970e+02	1.723e+01	2.140e+02	1.463e+01	2.180e+02	1.476e+01	1.870e+02	1.367e+01	1.900e+02	1.378e+01	1.690e+02	1.300e+01	2.520e+02	1.587e+01	5.040e+02	2.245e+01
