# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=3		POL=3		POL=3		POL=4		POL=4		POL=4		POL=3		POL=4		POL=3		POL=4		POL=4		POL=4		POL=3		POL=4		POL=3		POL=3		POL=3		POL=4		POL=3	
1	4.974e+04	2.230e+02	3.232e+04	1.798e+02	7.309e+04	2.704e+02	2.646e+04	1.627e+02	5.865e+04	2.422e+02	4.426e+04	2.104e+02	5.970e+04	2.443e+02	2.568e+04	1.603e+02	5.245e+04	2.290e+02	6.164e+04	2.483e+02	5.303e+04	2.303e+02	5.107e+04	2.260e+02	3.604e+04	1.898e+02	4.341e+04	2.084e+02	3.736e+04	1.933e+02	4.001e+04	2.000e+02	3.195e+04	1.787e+02	3.796e+04	1.948e+02	8.280e+04	2.877e+02
2	5.486e+04	2.342e+02	3.614e+04	1.901e+02	8.367e+04	2.893e+02	3.107e+04	1.763e+02	6.781e+04	2.604e+02	5.121e+04	2.263e+02	6.646e+04	2.578e+02	2.938e+04	1.714e+02	6.018e+04	2.453e+02	7.024e+04	2.650e+02	6.078e+04	2.465e+02	5.911e+04	2.431e+02	4.311e+04	2.076e+02	5.129e+04	2.265e+02	4.258e+04	2.064e+02	4.466e+04	2.113e+02	3.658e+04	1.913e+02	4.323e+04	2.079e+02	9.267e+04	3.044e+02
3	6.012e+04	2.452e+02	3.855e+04	1.963e+02	8.836e+04	2.973e+02	3.302e+04	1.817e+02	7.194e+04	2.682e+02	5.535e+04	2.353e+02	7.078e+04	2.660e+02	3.168e+04	1.780e+02	6.586e+04	2.566e+02	7.539e+04	2.746e+02	6.679e+04	2.584e+02	6.318e+04	2.514e+02	4.762e+04	2.182e+02	5.553e+04	2.357e+02	4.463e+04	2.113e+02	4.639e+04	2.154e+02	3.939e+04	1.985e+02	4.636e+04	2.153e+02	9.663e+04	3.109e+02
4	6.215e+04	2.493e+02	4.067e+04	2.017e+02	8.994e+04	2.999e+02	3.337e+04	1.827e+02	7.150e+04	2.674e+02	5.608e+04	2.368e+02	7.136e+04	2.671e+02	3.193e+04	1.787e+02	6.765e+04	2.601e+02	7.680e+04	2.771e+02	6.723e+04	2.593e+02	6.345e+04	2.519e+02	4.942e+04	2.223e+02	5.767e+04	2.402e+02	4.467e+04	2.113e+02	4.574e+04	2.139e+02	4.055e+04	2.014e+02	4.701e+04	2.168e+02	9.614e+04	3.101e+02
5	6.186e+04	2.487e+02	4.007e+04	2.002e+02	8.824e+04	2.970e+02	3.273e+04	1.809e+02	7.056e+04	2.656e+02	5.502e+04	2.346e+02	6.904e+04	2.628e+02	3.126e+04	1.768e+02	6.730e+04	2.594e+02	7.559e+04	2.749e+02	6.571e+04	2.563e+02	6.186e+04	2.487e+02	5.048e+04	2.247e+02	5.771e+04	2.402e+02	4.432e+04	2.105e+02	4.514e+04	2.125e+02	4.089e+04	2.022e+02	4.581e+04	2.140e+02	9.453e+04	3.075e+02
6	6.144e+04	2.479e+02	3.959e+04	1.990e+02	8.836e+04	2.972e+02	3.346e+04	1.829e+02	7.067e+04	2.658e+02	5.349e+04	2.313e+02	6.888e+04	2.624e+02	3.145e+04	1.773e+02	6.561e+04	2.561e+02	7.427e+04	2.725e+02	6.643e+04	2.577e+02	6.080e+04	2.466e+02	4.985e+04	2.233e+02	5.753e+04	2.398e+02	4.312e+04	2.077e+02	4.484e+04	2.118e+02	3.910e+04	1.977e+02	4.533e+04	2.129e+02	9.137e+04	3.023e+02
7	5.986e+04	2.447e+02	3.812e+04	1.953e+02	8.602e+04	2.933e+02	3.098e+04	1.760e+02	6.722e+04	2.593e+02	5.177e+04	2.275e+02	6.678e+04	2.584e+02	3.086e+04	1.757e+02	6.487e+04	2.547e+02	7.216e+04	2.686e+02	6.456e+04	2.541e+02	5.841e+04	2.417e+02	4.950e+04	2.225e+02	5.664e+04	2.380e+02	4.194e+04	2.048e+02	4.334e+04	2.082e+02	3.930e+04	1.982e+02	4.379e+04	2.093e+02	8.812e+04	2.969e+02
8	5.794e+04	2.407e+02	3.711e+04	1.926e+02	8.355e+04	2.890e+02	3.066e+04	1.751e+02	6.596e+04	2.568e+02	5.011e+04	2.239e+02	6.417e+04	2.533e+02	2.974e+04	1.725e+02	6.314e+04	2.513e+02	6.925e+04	2.632e+02	6.358e+04	2.522e+02	5.786e+04	2.405e+02	4.788e+04	2.188e+02	5.506e+04	2.346e+02	4.166e+04	2.041e+02	4.329e+04	2.081e+02	3.792e+04	1.947e+02	4.235e+04	2.058e+02	8.587e+04	2.930e+02
9	5.655e+04	2.378e+02	3.620e+04	1.903e+02	8.224e+04	2.868e+02	3.056e+04	1.748e+02	6.414e+04	2.533e+02	4.957e+04	2.226e+02	6.351e+04	2.520e+02	2.945e+04	1.716e+02	6.196e+04	2.489e+02	6.877e+04	2.622e+02	6.303e+04	2.511e+02	5.713e+04	2.390e+02	4.684e+04	2.164e+02	5.306e+04	2.303e+02	4.071e+04	2.018e+02	4.294e+04	2.072e+02	3.790e+04	1.947e+02	4.198e+04	2.049e+02	8.467e+04	2.910e+02
10	5.613e+04	2.369e+02	3.593e+04	1.895e+02	8.070e+04	2.841e+02	2.992e+04	1.730e+02	6.360e+04	2.522e+02	4.842e+04	2.201e+02	6.273e+04	2.505e+02	2.971e+04	1.724e+02	6.134e+04	2.477e+02	6.764e+04	2.601e+02	6.310e+04	2.512e+02	5.620e+04	2.371e+02	4.803e+04	2.192e+02	5.304e+04	2.303e+02	4.038e+04	2.009e+02	4.231e+04	2.057e+02	3.741e+04	1.934e+02	4.163e+04	2.040e+02	8.326e+04	2.885e+02
