# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=4		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=5		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=5		POL=3		POL=3	
1	5.762e+03	7.591e+01	3.464e+03	5.886e+01	7.408e+03	8.607e+01	3.496e+03	5.913e+01	5.865e+03	7.658e+01	4.789e+03	6.920e+01	6.684e+03	8.176e+01	2.934e+03	5.417e+01	5.539e+03	7.442e+01	6.769e+03	8.227e+01	5.401e+03	7.349e+01	5.788e+03	7.608e+01	4.190e+03	6.473e+01	4.460e+03	6.678e+01	4.205e+03	6.485e+01	4.754e+03	6.895e+01	3.790e+03	6.156e+01	4.878e+03	6.984e+01	9.723e+03	9.861e+01
2	6.860e+03	8.283e+01	3.951e+03	6.286e+01	9.024e+03	9.499e+01	4.359e+03	6.602e+01	7.061e+03	8.403e+01	5.906e+03	7.685e+01	8.051e+03	8.973e+01	3.328e+03	5.769e+01	6.607e+03	8.128e+01	8.088e+03	8.993e+01	6.396e+03	7.997e+01	7.084e+03	8.417e+01	4.950e+03	7.036e+01	5.309e+03	7.286e+01	5.251e+03	7.246e+01	5.445e+03	7.379e+01	4.445e+03	6.667e+01	6.128e+03	7.828e+01	1.162e+04	1.078e+02
3	8.066e+03	8.981e+01	4.744e+03	6.888e+01	1.051e+04	1.025e+02	5.057e+03	7.111e+01	8.295e+03	9.108e+01	7.095e+03	8.423e+01	9.390e+03	9.690e+01	3.886e+03	6.234e+01	7.578e+03	8.705e+01	9.296e+03	9.642e+01	7.545e+03	8.686e+01	8.415e+03	9.173e+01	5.801e+03	7.616e+01	6.190e+03	7.868e+01	5.892e+03	7.676e+01	6.222e+03	7.888e+01	5.223e+03	7.227e+01	7.201e+03	8.486e+01	1.339e+04	1.157e+02
4	9.293e+03	9.640e+01	5.584e+03	7.473e+01	1.181e+04	1.087e+02	5.686e+03	7.541e+01	9.268e+03	9.627e+01	7.908e+03	8.893e+01	1.036e+04	1.018e+02	4.346e+03	6.592e+01	8.855e+03	9.410e+01	1.036e+04	1.018e+02	8.510e+03	9.225e+01	9.567e+03	9.781e+01	6.603e+03	8.126e+01	7.093e+03	8.422e+01	6.414e+03	8.009e+01	6.670e+03	8.167e+01	5.718e+03	7.562e+01	7.994e+03	8.941e+01	1.522e+04	1.234e+02
5	1.054e+04	1.026e+02	6.056e+03	7.782e+01	1.305e+04	1.142e+02	6.268e+03	7.917e+01	1.017e+04	1.008e+02	8.699e+03	9.327e+01	1.128e+04	1.062e+02	4.823e+03	6.945e+01	9.444e+03	9.718e+01	1.122e+04	1.059e+02	9.169e+03	9.575e+01	1.022e+04	1.011e+02	7.180e+03	8.473e+01	7.873e+03	8.873e+01	7.138e+03	8.449e+01	7.318e+03	8.555e+01	6.277e+03	7.923e+01	8.792e+03	9.377e+01	1.657e+04	1.287e+02
6	1.122e+04	1.059e+02	6.489e+03	8.055e+01	1.415e+04	1.189e+02	7.173e+03	8.469e+01	1.118e+04	1.057e+02	9.336e+03	9.662e+01	1.229e+04	1.109e+02	5.254e+03	7.248e+01	1.035e+04	1.017e+02	1.259e+04	1.122e+02	1.021e+04	1.011e+02	1.114e+04	1.055e+02	7.646e+03	8.744e+01	8.575e+03	9.260e+01	7.554e+03	8.691e+01	7.991e+03	8.939e+01	6.624e+03	8.139e+01	9.509e+03	9.751e+01	1.799e+04	1.341e+02
7	1.216e+04	1.103e+02	6.989e+03	8.360e+01	1.513e+04	1.230e+02	7.408e+03	8.607e+01	1.205e+04	1.098e+02	9.943e+03	9.971e+01	1.318e+04	1.148e+02	5.581e+03	7.471e+01	1.083e+04	1.041e+02	1.345e+04	1.160e+02	1.091e+04	1.045e+02	1.180e+04	1.086e+02	8.203e+03	9.057e+01	9.028e+03	9.502e+01	8.259e+03	9.088e+01	8.319e+03	9.121e+01	7.257e+03	8.519e+01	1.010e+04	1.005e+02	1.917e+04	1.385e+02
8	1.301e+04	1.141e+02	7.392e+03	8.598e+01	1.611e+04	1.269e+02	7.896e+03	8.886e+01	1.290e+04	1.136e+02	1.049e+04	1.024e+02	1.398e+04	1.182e+02	5.873e+03	7.664e+01	1.192e+04	1.092e+02	1.407e+04	1.186e+02	1.161e+04	1.077e+02	1.276e+04	1.130e+02	8.545e+03	9.244e+01	9.574e+03	9.785e+01	8.730e+03	9.343e+01	9.051e+03	9.514e+01	7.760e+03	8.809e+01	1.072e+04	1.035e+02	1.980e+04	1.407e+02
9	1.388e+04	1.178e+02	7.790e+03	8.826e+01	1.722e+04	1.312e+02	8.406e+03	9.168e+01	1.365e+04	1.168e+02	1.109e+04	1.053e+02	1.471e+04	1.213e+02	6.458e+03	8.036e+01	1.233e+04	1.111e+02	1.520e+04	1.233e+02	1.232e+04	1.110e+02	1.335e+04	1.155e+02	9.271e+03	9.629e+01	1.023e+04	1.012e+02	9.418e+03	9.705e+01	9.751e+03	9.875e+01	8.114e+03	9.008e+01	1.157e+04	1.076e+02	2.119e+04	1.456e+02
10	1.484e+04	1.218e+02	8.572e+03	9.259e+01	1.826e+04	1.351e+02	8.870e+03	9.418e+01	1.425e+04	1.194e+02	1.173e+04	1.083e+02	1.578e+04	1.256e+02	7.040e+03	8.390e+01	1.300e+04	1.140e+02	1.641e+04	1.281e+02	1.314e+04	1.146e+02	1.432e+04	1.197e+02	1.019e+04	1.010e+02	1.088e+04	1.043e+02	1.002e+04	1.001e+02	1.035e+04	1.017e+02	8.815e+03	9.389e+01	1.240e+04	1.113e+02	2.282e+04	1.510e+02
