# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 13C/(12C+13C)*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.036e+00	5.195e-01	1.200e+00	6.949e-01	3.064e-01	2.504e-01	0.000e+00	0.000e+00	3.979e-01	3.252e-01	4.724e-01	3.862e-01	7.576e-01	4.382e-01	7.576e-01	6.197e-01	9.887e-01	5.298e-01	1.205e+00	5.405e-01	1.479e-01	2.093e-01	9.736e-01	5.217e-01	1.630e+00	7.718e-01	8.547e-01	5.417e-01	1.163e+00	6.733e-01	6.849e-01	4.852e-01	9.174e-01	5.816e-01	1.424e+00	6.737e-01	8.514e-01	3.638e-01
2	8.434e-01	4.518e-01	9.488e-01	6.015e-01	7.194e-01	3.852e-01	4.320e-01	4.324e-01	7.955e-01	4.260e-01	5.722e-01	4.052e-01	8.959e-01	4.489e-01	6.912e-01	5.654e-01	1.256e+00	5.636e-01	4.086e-01	2.892e-01	8.974e-01	4.808e-01	9.569e-01	4.796e-01	1.254e+00	6.289e-01	1.192e+00	5.979e-01	6.861e-01	4.860e-01	9.419e-01	5.451e-01	1.485e+00	7.027e-01	8.721e-01	5.046e-01	8.130e-01	3.474e-01
3	9.269e-01	4.380e-01	3.448e-01	3.451e-01	5.008e-01	2.895e-01	8.503e-01	5.390e-01	7.592e-01	4.066e-01	8.413e-01	4.507e-01	1.082e+00	4.625e-01	5.941e-01	4.858e-01	9.115e-01	4.883e-01	6.890e-01	3.689e-01	7.503e-01	4.018e-01	1.087e+00	4.874e-01	8.276e-01	4.788e-01	7.968e-01	4.610e-01	9.174e-01	5.309e-01	7.669e-01	4.859e-01	6.042e-01	4.279e-01	8.557e-01	4.584e-01	5.450e-01	2.729e-01
4	1.365e+00	5.001e-01	7.519e-01	4.764e-01	8.501e-01	3.633e-01	3.454e-01	3.457e-01	7.307e-01	3.913e-01	8.782e-01	4.400e-01	1.058e+00	4.522e-01	7.491e-01	5.307e-01	1.079e+00	4.837e-01	7.792e-01	3.680e-01	1.095e+00	4.680e-01	5.725e-01	3.310e-01	1.233e+00	5.532e-01	6.258e-01	3.964e-01	1.156e+00	5.797e-01	1.013e+00	5.076e-01	3.886e-01	3.176e-01	9.270e-01	4.646e-01	1.053e+00	3.622e-01
5	9.114e-01	3.895e-01	7.849e-01	4.974e-01	5.670e-01	2.839e-01	3.049e-01	3.051e-01	9.381e-01	4.205e-01	6.572e-01	3.800e-01	6.045e-01	3.236e-01	1.266e+00	6.349e-01	6.048e-01	3.497e-01	9.756e-01	3.993e-01	8.712e-01	4.116e-01	3.770e-01	2.668e-01	6.017e-01	3.811e-01	7.423e-01	3.975e-01	1.361e+00	6.105e-01	6.158e-01	3.900e-01	5.051e-01	3.576e-01	1.075e+00	4.822e-01	7.207e-01	2.948e-01
6	7.657e-01	3.431e-01	9.459e-01	5.068e-01	9.908e-01	3.627e-01	4.280e-01	3.498e-01	6.467e-01	3.239e-01	9.146e-01	4.322e-01	2.349e-01	1.919e-01	7.610e-01	4.822e-01	1.134e+00	4.644e-01	7.639e-01	3.423e-01	1.491e+00	5.134e-01	6.034e-01	3.230e-01	9.719e-01	4.593e-01	1.241e+00	5.082e-01	7.702e-01	4.455e-01	5.525e-01	3.499e-01	1.110e+00	5.246e-01	4.699e-01	2.976e-01	6.011e-01	2.567e-01
7	5.650e-01	2.829e-01	3.916e-01	3.201e-01	9.462e-01	3.353e-01	8.685e-01	4.652e-01	8.716e-01	3.725e-01	3.802e-01	2.691e-01	7.530e-01	3.374e-01	8.208e-01	4.749e-01	7.705e-01	3.639e-01	8.748e-01	3.439e-01	6.849e-01	3.431e-01	7.188e-01	3.395e-01	1.201e+00	4.727e-01	7.000e-01	3.748e-01	1.050e+00	4.964e-01	8.008e-01	4.012e-01	1.294e+00	5.302e-01	5.236e-01	3.027e-01	6.875e-01	2.701e-01
8	1.127e+00	3.995e-01	3.713e-01	3.034e-01	1.299e+00	3.929e-01	8.568e-01	4.590e-01	1.494e+00	4.627e-01	9.549e-01	4.081e-01	1.178e+00	4.053e-01	1.550e+00	6.354e-01	8.814e-01	3.767e-01	1.082e+00	3.835e-01	7.519e-01	3.369e-01	1.116e+00	4.087e-01	8.264e-01	3.904e-01	1.118e+00	4.579e-01	8.081e-01	4.049e-01	1.058e+00	4.522e-01	5.797e-01	3.352e-01	1.023e+00	4.187e-01	7.349e-01	2.689e-01
9	1.653e+00	4.519e-01	7.991e-01	4.280e-01	7.804e-01	2.955e-01	7.246e-01	3.880e-01	6.494e-01	3.066e-01	8.019e-01	3.594e-01	6.169e-01	2.912e-01	7.092e-01	4.102e-01	6.682e-01	3.155e-01	7.789e-01	3.061e-01	4.950e-01	2.649e-01	4.765e-01	2.550e-01	8.278e-01	3.710e-01	7.130e-01	3.571e-01	7.590e-01	3.802e-01	7.117e-01	3.565e-01	1.337e+00	5.071e-01	8.885e-01	3.797e-01	6.906e-01	2.526e-01
10	1.001e+00	3.443e-01	6.410e-01	3.432e-01	9.091e-01	2.956e-01	9.699e-01	4.348e-01	7.643e-01	3.126e-01	7.716e-01	3.457e-01	6.643e-01	2.837e-01	8.511e-01	4.264e-01	9.818e-01	3.720e-01	8.959e-01	3.174e-01	4.040e-01	2.335e-01	6.631e-01	2.832e-01	7.855e-01	3.520e-01	7.488e-01	3.536e-01	1.052e+00	4.305e-01	6.867e-01	3.439e-01	1.198e+00	4.540e-01	7.509e-01	3.208e-01	5.350e-01	2.101e-01
