# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=3		POL=1		POL=5		POL=3		POL=3		POL=1		POL=3		POL=1		POL=4		POL=3		POL=5		POL=5		POL=1		POL=5		POL=1		POL=1		POL=5		POL=1		POL=1	
1	2.510e+02	1.584e+01	1.830e+02	1.353e+01	7.010e+02	2.648e+01	1.640e+02	1.281e+01	4.150e+02	2.037e+01	2.960e+02	1.720e+01	2.750e+02	1.658e+01	1.470e+02	1.212e+01	2.780e+02	1.667e+01	3.110e+02	1.764e+01	2.950e+02	1.718e+01	2.710e+02	1.646e+01	1.990e+02	1.411e+01	2.050e+02	1.432e+01	1.810e+02	1.345e+01	1.860e+02	1.364e+01	1.810e+02	1.345e+01	2.290e+02	1.513e+01	4.860e+02	2.205e+01
2	2.990e+02	1.729e+01	1.840e+02	1.356e+01	7.980e+02	2.825e+01	1.870e+02	1.367e+01	4.390e+02	2.095e+01	3.670e+02	1.916e+01	3.290e+02	1.814e+01	1.920e+02	1.386e+01	3.110e+02	1.764e+01	3.430e+02	1.852e+01	2.510e+02	1.584e+01	3.070e+02	1.752e+01	2.120e+02	1.456e+01	2.530e+02	1.591e+01	1.910e+02	1.382e+01	2.060e+02	1.435e+01	2.030e+02	1.425e+01	2.610e+02	1.616e+01	5.010e+02	2.238e+01
3	3.620e+02	1.903e+01	2.030e+02	1.425e+01	8.290e+02	2.879e+01	2.010e+02	1.418e+01	5.510e+02	2.347e+01	4.220e+02	2.054e+01	4.060e+02	2.015e+01	2.410e+02	1.552e+01	3.150e+02	1.775e+01	3.990e+02	1.997e+01	3.330e+02	1.825e+01	3.880e+02	1.970e+01	2.850e+02	1.688e+01	2.910e+02	1.706e+01	2.270e+02	1.507e+01	2.410e+02	1.552e+01	2.150e+02	1.466e+01	3.140e+02	1.772e+01	5.800e+02	2.408e+01
4	4.210e+02	2.052e+01	2.360e+02	1.536e+01	9.450e+02	3.074e+01	2.250e+02	1.500e+01	6.900e+02	2.627e+01	4.790e+02	2.189e+01	4.480e+02	2.117e+01	2.400e+02	1.549e+01	3.620e+02	1.903e+01	4.380e+02	2.093e+01	3.660e+02	1.913e+01	4.090e+02	2.022e+01	2.920e+02	1.709e+01	3.270e+02	1.808e+01	2.760e+02	1.661e+01	3.180e+02	1.783e+01	2.540e+02	1.594e+01	3.390e+02	1.841e+01	6.770e+02	2.602e+01
5	4.650e+02	2.156e+01	3.000e+02	1.732e+01	8.970e+02	2.995e+01	2.990e+02	1.729e+01	6.850e+02	2.617e+01	4.400e+02	2.098e+01	4.420e+02	2.102e+01	2.670e+02	1.634e+01	4.230e+02	2.057e+01	4.580e+02	2.140e+01	3.950e+02	1.987e+01	4.370e+02	2.090e+01	3.170e+02	1.780e+01	3.500e+02	1.871e+01	3.060e+02	1.749e+01	2.940e+02	1.715e+01	2.700e+02	1.643e+01	3.420e+02	1.849e+01	7.530e+02	2.744e+01
6	5.210e+02	2.283e+01	2.630e+02	1.622e+01	1.011e+03	3.180e+01	2.650e+02	1.628e+01	7.130e+02	2.670e+01	5.740e+02	2.396e+01	4.800e+02	2.191e+01	3.030e+02	1.741e+01	4.600e+02	2.145e+01	5.100e+02	2.258e+01	4.410e+02	2.100e+01	4.590e+02	2.142e+01	3.090e+02	1.758e+01	3.880e+02	1.970e+01	3.180e+02	1.783e+01	3.020e+02	1.738e+01	2.780e+02	1.667e+01	4.240e+02	2.059e+01	7.280e+02	2.698e+01
7	5.510e+02	2.347e+01	3.040e+02	1.744e+01	1.047e+03	3.236e+01	3.030e+02	1.741e+01	8.040e+02	2.835e+01	5.690e+02	2.385e+01	5.240e+02	2.289e+01	3.460e+02	1.860e+01	4.220e+02	2.054e+01	5.550e+02	2.356e+01	4.360e+02	2.088e+01	5.110e+02	2.261e+01	3.820e+02	1.954e+01	3.960e+02	1.990e+01	2.890e+02	1.700e+01	3.620e+02	1.903e+01	3.520e+02	1.876e+01	4.040e+02	2.010e+01	7.170e+02	2.678e+01
8	6.280e+02	2.506e+01	3.010e+02	1.735e+01	1.037e+03	3.220e+01	3.390e+02	1.841e+01	8.120e+02	2.850e+01	5.580e+02	2.362e+01	5.270e+02	2.296e+01	3.220e+02	1.794e+01	4.670e+02	2.161e+01	6.040e+02	2.458e+01	4.550e+02	2.133e+01	4.980e+02	2.232e+01	4.160e+02	2.040e+01	4.030e+02	2.007e+01	3.350e+02	1.830e+01	3.490e+02	1.868e+01	3.880e+02	1.970e+01	4.610e+02	2.147e+01	8.080e+02	2.843e+01
9	6.360e+02	2.522e+01	3.510e+02	1.873e+01	1.150e+03	3.391e+01	3.460e+02	1.860e+01	8.380e+02	2.895e+01	5.750e+02	2.398e+01	5.870e+02	2.423e+01	3.600e+02	1.897e+01	4.960e+02	2.227e+01	5.800e+02	2.408e+01	4.910e+02	2.216e+01	5.570e+02	2.360e+01	4.500e+02	2.121e+01	4.350e+02	2.086e+01	3.420e+02	1.849e+01	3.830e+02	1.957e+01	3.850e+02	1.962e+01	4.740e+02	2.177e+01	8.780e+02	2.963e+01
10	6.610e+02	2.571e+01	4.000e+02	2.000e+01	1.194e+03	3.455e+01	3.520e+02	1.876e+01	9.220e+02	3.036e+01	5.880e+02	2.425e+01	6.020e+02	2.454e+01	3.990e+02	1.997e+01	5.620e+02	2.371e+01	6.520e+02	2.553e+01	5.370e+02	2.317e+01	5.900e+02	2.429e+01	4.390e+02	2.095e+01	4.600e+02	2.145e+01	3.740e+02	1.934e+01	3.990e+02	1.997e+01	4.440e+02	2.107e+01	5.040e+02	2.245e+01	8.870e+02	2.978e+01
