# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210910_std2_2/: Esi
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19
# plane	POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3		POL=3	
1	2.517e+04	1.586e+02	1.270e+04	1.127e+02	3.220e+04	1.794e+02	1.062e+04	1.030e+02	3.236e+04	1.799e+02	1.446e+04	1.203e+02	2.213e+04	1.488e+02	1.282e+04	1.132e+02	2.532e+04	1.591e+02	3.539e+04	1.881e+02	2.951e+04	1.718e+02	1.598e+04	1.264e+02	2.293e+04	1.514e+02	2.268e+04	1.506e+02	2.176e+04	1.475e+02	2.225e+04	1.492e+02	1.596e+04	1.263e+02	1.999e+04	1.414e+02	4.481e+04	2.117e+02
2	3.004e+04	1.733e+02	1.430e+04	1.196e+02	3.587e+04	1.894e+02	1.177e+04	1.085e+02	3.640e+04	1.908e+02	1.558e+04	1.248e+02	2.431e+04	1.559e+02	1.420e+04	1.192e+02	2.699e+04	1.643e+02	3.926e+04	1.981e+02	3.262e+04	1.806e+02	1.708e+04	1.307e+02	2.436e+04	1.561e+02	2.477e+04	1.574e+02	2.397e+04	1.548e+02	2.445e+04	1.564e+02	1.712e+04	1.309e+02	2.224e+04	1.491e+02	4.743e+04	2.178e+02
3	3.320e+04	1.822e+02	1.543e+04	1.242e+02	3.806e+04	1.951e+02	1.265e+04	1.125e+02	3.885e+04	1.971e+02	1.691e+04	1.301e+02	2.614e+04	1.617e+02	1.541e+04	1.241e+02	2.892e+04	1.700e+02	4.195e+04	2.048e+02	3.495e+04	1.869e+02	1.829e+04	1.353e+02	2.588e+04	1.609e+02	2.624e+04	1.620e+02	2.540e+04	1.594e+02	2.625e+04	1.620e+02	1.829e+04	1.353e+02	2.415e+04	1.554e+02	5.054e+04	2.248e+02
4	3.492e+04	1.869e+02	1.614e+04	1.271e+02	3.952e+04	1.988e+02	1.340e+04	1.158e+02	3.986e+04	1.997e+02	1.795e+04	1.340e+02	2.711e+04	1.647e+02	1.616e+04	1.271e+02	2.962e+04	1.721e+02	4.342e+04	2.084e+02	3.610e+04	1.900e+02	1.915e+04	1.384e+02	2.674e+04	1.635e+02	2.748e+04	1.658e+02	2.608e+04	1.615e+02	2.740e+04	1.655e+02	1.884e+04	1.373e+02	2.497e+04	1.580e+02	5.230e+04	2.287e+02
5	3.614e+04	1.901e+02	1.660e+04	1.288e+02	4.050e+04	2.012e+02	1.393e+04	1.180e+02	4.052e+04	2.013e+02	1.836e+04	1.355e+02	2.738e+04	1.655e+02	1.641e+04	1.281e+02	3.004e+04	1.733e+02	4.460e+04	2.112e+02	3.688e+04	1.920e+02	1.961e+04	1.400e+02	2.724e+04	1.651e+02	2.786e+04	1.669e+02	2.643e+04	1.626e+02	2.853e+04	1.689e+02	1.933e+04	1.390e+02	2.569e+04	1.603e+02	5.404e+04	2.325e+02
6	3.704e+04	1.925e+02	1.692e+04	1.301e+02	4.166e+04	2.041e+02	1.450e+04	1.204e+02	4.262e+04	2.064e+02	1.935e+04	1.391e+02	2.862e+04	1.692e+02	1.732e+04	1.316e+02	3.205e+04	1.790e+02	4.608e+04	2.147e+02	3.764e+04	1.940e+02	2.058e+04	1.435e+02	2.834e+04	1.683e+02	2.983e+04	1.727e+02	2.778e+04	1.667e+02	2.874e+04	1.695e+02	2.006e+04	1.416e+02	2.669e+04	1.634e+02	5.644e+04	2.376e+02
7	3.747e+04	1.936e+02	1.732e+04	1.316e+02	4.229e+04	2.056e+02	1.440e+04	1.200e+02	4.221e+04	2.054e+02	1.955e+04	1.398e+02	2.877e+04	1.696e+02	1.737e+04	1.318e+02	3.200e+04	1.789e+02	4.628e+04	2.151e+02	3.804e+04	1.950e+02	2.068e+04	1.438e+02	2.867e+04	1.693e+02	2.958e+04	1.720e+02	2.774e+04	1.665e+02	2.889e+04	1.700e+02	2.026e+04	1.424e+02	2.676e+04	1.636e+02	5.724e+04	2.393e+02
8	3.775e+04	1.943e+02	1.769e+04	1.330e+02	4.287e+04	2.071e+02	1.479e+04	1.216e+02	4.287e+04	2.070e+02	1.953e+04	1.398e+02	2.910e+04	1.706e+02	1.747e+04	1.322e+02	3.255e+04	1.804e+02	4.686e+04	2.165e+02	3.875e+04	1.969e+02	2.104e+04	1.451e+02	2.921e+04	1.709e+02	2.939e+04	1.714e+02	2.831e+04	1.683e+02	2.954e+04	1.719e+02	2.086e+04	1.444e+02	2.681e+04	1.637e+02	5.844e+04	2.418e+02
9	3.835e+04	1.958e+02	1.786e+04	1.336e+02	4.318e+04	2.078e+02	1.496e+04	1.223e+02	4.290e+04	2.071e+02	1.978e+04	1.406e+02	2.962e+04	1.721e+02	1.764e+04	1.328e+02	3.282e+04	1.812e+02	4.715e+04	2.171e+02	3.926e+04	1.982e+02	2.137e+04	1.462e+02	2.968e+04	1.723e+02	2.910e+04	1.706e+02	2.840e+04	1.685e+02	2.982e+04	1.727e+02	2.108e+04	1.452e+02	2.714e+04	1.648e+02	5.906e+04	2.430e+02
10	3.889e+04	1.972e+02	1.814e+04	1.347e+02	4.400e+04	2.098e+02	1.526e+04	1.235e+02	4.360e+04	2.088e+02	2.006e+04	1.416e+02	3.024e+04	1.739e+02	1.805e+04	1.343e+02	3.372e+04	1.836e+02	4.802e+04	2.191e+02	3.962e+04	1.990e+02	2.187e+04	1.479e+02	3.011e+04	1.735e+02	3.050e+04	1.746e+02	2.898e+04	1.702e+02	2.994e+04	1.730e+02	2.153e+04	1.467e+02	2.777e+04	1.666e+02	6.010e+04	2.451e+02
